application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
13436341,7,2012-04-13,COMP,0,,0,
13436341,8,2012-07-09,DOCK,0,,0,
13436341,9,2012-07-26,PG-ISSUE,0,,0,
13436341,13,2012-08-13,CTNF,0,,0,
13436341,15,2012-08-15,MCTNF,0,,0,
13436341,16,2012-12-14,WIDS,0,,0,
13436341,17,2012-12-14,XT/G,0,,0,
13436341,18,2012-12-14,A...,29,APPL,15,
13436341,18.1,2012-12-14,A.I.,0,,0,
13436341,20,2012-12-14,M844,0,,0,
13436341,30,2012-12-14,IDSC,0,,0,
13436341,19,2012-12-29,FWDX,0,,0,
13142875,9,2011-09-27,FLRCPT.O,0,,0,
13142875,12,2011-09-27,EML_NTR,0,,0,
13142875,13,2011-09-27,EML_NTR,0,,0,
13142875,14,2011-10-24,OIPE,0,,0,
13142875,19,2011-11-26,DOCK,0,,0,
13142875,20,2012-01-05,PG-ISSUE,0,,0,
13142875,21,2012-01-06,EML_NTR,0,,0,
13142875,25,2012-12-03,CTNF,0,,0,
13142875,27,2012-12-07,MCTNF,16,PTO,11,
13142875,28,2012-12-07,EML_NTF,0,,0,
13142875,29,2012-12-07,ELC_RVW,0,,0,
13142875,30,2013-06-06,WIDS,0,,0,
13142875,31,2013-06-06,XT/G,0,,0,
13142875,32,2013-06-06,A...,91,APPL,27,
13142875,34,2013-06-06,IDSC,0,,0,
13142875,41,2013-06-06,M844,0,APPL,32,
13142875,42,2013-06-06,RCAP,0,,0,
13142875,33,2013-06-10,FWDX,0,,0,
13142875,39,2013-06-17,DVER,0,,0,
13142875,43,2013-06-20,N/=.,0,,0,
13142875,50,2013-07-29,MN/=.,0,,0,
13142875,.5,2009-12-30,NEFILE,0,,0,
13142875,56,2013-10-04,IDSC,0,,0,
13142875,55,2013-10-04,WIDS,0,,0,
13142875,65,2013-10-28,N084,0,,0,
13142875,58,2013-10-28,M327,0,,0,
13142875,60,2013-10-28,IFEE,0,,0,
13142875,61,2013-11-01,MM327,0,,0,
13142875,63,2013-11-01,M327-D,0,,0,
13142875,62,2013-11-01,EML_NTR,0,,0,
13142875,66,2013-11-04,PILS,0,,0,
13142875,67,2013-11-05,EML_NTR,0,,0,
13142875,64,2013-11-05,MM327-D,0,,0,
13142875,68,2013-12-04,A.NA,7,APPL,70,
13142875,69,2013-12-06,N271,0,,0,
13142875,71,2013-12-10,EML_NTR,0,,0,
13142875,70,2013-12-10,MN271,0,,0,
12200111,121,2013-08-27,EXIE,0,,0,
12200111,122,2013-08-27,EX.A,0,,0,
12200111,123,2013-08-27,EX.R,0,,0,
12200111,124,2013-09-05,MN/=.,0,,0,
12200111,.5,2008-08-28,EFILE,0,,0,
12200111,128,2013-11-08,PUBTC,0,,0,
12200111,129,2013-11-13,CNOA,0,,0,
12200111,130,2013-11-13,EX.A,0,,0,
12200111,133,2013-11-18,MCNOA,0,,0,
12200111,134,2013-11-18,TCPB,0,,0,
12200111,135,2013-11-18,EML_NTR,0,,0,
12200111,137,2013-12-02,N084,0,,0,
12200111,136,2013-12-02,IFEE,0,,0,
12200111,138,2013-12-05,PILS,0,,0,
12200111,139,2013-12-09,D1935,0,,0,
12200111,142,2014-01-07,PTAC,0,,0,
12200111,142.5,2011-12-14,PTA36M,108,PTO,.5,
13638574,33,2013-11-26,N084,0,,0,
13638574,32,2013-11-26,IFEE,0,,0,
13638574,34,2013-12-02,PILS,0,,0,
13638574,35,2013-12-03,D1935,0,,0,
13638574,37,2014-01-07,PTAC,0,,0,
13638574,37.5,2014-01-07,PTA36M,0,PTO,37.4,
13638574,37.4,2012-10-01,COMMN,0,,0,
13480860,10,2012-07-24,ADDFLFEE,0,,0,
13480860,12,2012-08-01,PGPC,0,,0,
13480860,11,2012-08-02,FLRCPT.U,0,,0,
13480860,13,2012-08-02,EML_NTR,0,,0,
13480860,14,2012-08-02,COMP,0,,0,
13480860,15,2012-08-28,OIPE,0,,0,
13480860,46,2012-08-28,EXIE,0,,0,
13480860,16,2012-08-29,DOCK,0,,0,
13480860,17,2012-11-29,PG-ISSUE,0,,0,
13480860,18,2012-11-30,EML_NTR,0,,0,
13480860,20,2013-01-08,CTRS,0,,0,
13480860,22,2013-01-11,MCTRS,0,,0,
13480860,23,2013-01-11,EML_NTF,0,,0,
13480860,24,2013-01-11,ELC_RVW,0,,0,
13480860,25,2013-01-28,ELC.,0,,0,
13480860,26,2013-01-30,FWDX,0,,0,
13480860,31,2013-03-11,CTNF,0,,0,
13480860,34,2013-03-19,MCTNF,0,,0,
13480860,35,2013-03-19,EML_NTF,0,,0,
13480860,36,2013-03-19,ELC_RVW,0,,0,
13480860,37,2013-06-19,A...,0,,0,
13480860,38,2013-06-26,FWDX,0,,0,
13480860,39,2013-06-26,EIDS.,0,,0,
13480860,40,2013-06-26,WIDS,0,,0,
13480860,41,2013-06-26,M844,7,APPL,37,
13480860,43,2013-06-26,IDSC,0,,0,
13480860,47,2013-09-03,EX.A,0,,0,
13480860,48,2013-09-03,EX.R,0,,0,
13480860,49,2013-09-04,DOCK,0,,0,
13480860,50,2013-09-04,N/=.,0,,0,
13480860,51,2013-09-04,DVER,0,,0,
13480860,57,2013-09-09,MN/=.,0,,0,
13480860,.5,2012-05-25,EFILE,0,,0,
13480860,63,2013-11-25,A.NA,44,APPL,0,
13480860,71,2013-11-26,N271,0,,0,
13480860,62,2013-11-26,IFEE,0,,0,
12865007,5,2010-11-05,OATHDECL,0,,0,
12865007,8,2010-11-05,ADDFLFEE,0,,0,
12865007,12,2010-11-05,371COMP,0,,0,
12865007,9,2010-11-15,M903,0,,0,
11938006,82.5,2013-06-20,PTA36M,954,PTO,.5,
11938006,33,2011-12-13,MCTRS,399,,.5,
11938006,42,2012-05-21,MCTNF,8,,36,
11938006,50,2013-03-01,MCTFR,70,,45,
13549387,7,2012-07-27,FLRCPT.O,0,,0,
13549387,8,2012-09-25,CORRDRW,0,,0,
13549387,9,2012-09-25,OATHDECL,0,,0,
13549387,10,2012-09-25,FLFEE,0,,0,
13549387,15,2012-09-25,A.PE,0,,0,
13549387,16,2012-09-25,C614,0,,0,
13549387,11,2012-10-04,FLRCPT.U,0,,0,
13549387,12,2012-10-04,PGPC,0,,0,
13549387,13,2012-10-04,COMP,0,,0,
13549387,14,2012-10-30,OIPE,0,,0,
13549387,17,2012-11-14,DOCK,0,,0,
13549387,18,2013-01-17,PG-ISSUE,0,,0,
13549387,19,2013-02-13,CTRS,0,,0,
13549387,21,2013-02-20,MCTRS,0,,0,
13549387,22,2013-03-20,ELC.,0,,0,
13549387,24,2013-03-20,M844,0,APPL,22,
13549387,25,2013-03-20,RCAP,0,,0,
13549387,23,2013-03-21,FWDX,0,,0,
13549387,26,2013-04-16,CTNF,0,,0,
13549387,28,2013-04-19,MCTNF,0,,0,
13549387,29,2013-04-19,EML_NTF,0,,0,
13549387,30,2013-04-19,ELC_RVW,0,,0,
13549387,31,2013-07-19,A...,0,,0,
13549387,37,2013-07-19,AF/D,0,,0,
13549387,32,2013-07-22,FWDX,0,,0,
13549387,38,2013-08-15,DOCK,0,,0,
13549387,39,2013-08-15,N/=.,0,,0,
13549387,40,2013-08-15,DVER,0,,0,
13549387,43,2013-08-21,MN/=.,0,,0,
13549387,.5,2012-07-13,EFILE,0,,0,
13549387,47,2013-09-03,CRFT,0,,0,
13549387,48,2013-09-24,M327,0,,0,
13549387,50,2013-09-30,MM327,0,,0,
13549387,51,2013-09-30,EML_NTR,0,,0,
13549387,52,2013-10-17,M327-D,0,,0,
13549387,53,2013-10-21,MM327-D,0,,0,
13549387,54,2013-10-21,EML_NTR,0,,0,
13549387,58,2013-11-19,A.NA,9,APPL,60,
13549387,56,2013-11-20,N084,0,,0,
13549387,55,2013-11-20,IFEE,0,,0,
12336264,48,2012-02-09,CTFR,0,,0,
12336264,50,2012-02-14,MCTFR,0,,0,
12336264,51,2012-02-14,EML_NTF,0,,0,
12336264,52,2012-02-14,ELC_RVW,0,,0,
12336264,53,2012-05-14,A.NE,0,,0,
12336264,54,2012-05-15,FWDX,0,,0,
12336264,55,2012-05-18,CTAV,0,,0,
12336264,57,2012-05-23,MCTAV,0,,0,
12336264,58,2012-05-23,EML_NTR,0,,0,
12336264,59,2012-07-12,BRCE,0,,0,
12336264,60,2012-07-12,XT/G,0,,0,
12336264,62,2012-07-12,RCEX,59,APPL,50,
12336264,61,2012-07-13,ABN9,0,,0,
