application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11901291,39,2011-07-22,IDSC,0,,0,
11901291,38,2011-08-02,FWDX,0,,0,
11901291,40,2011-10-07,CTFR,0,,0,
11901291,41,2011-10-07,EXIE,0,,0,
11901291,44,2011-10-12,MCTFR,0,,0,
11901291,45,2012-02-08,WIDS,0,,0,
11901291,46,2012-02-08,XT/G,0,,0,
11901291,47,2012-02-08,A.NE,27,APPL,44,
11901291,49,2012-02-08,EIDS.,0,APPL,47,
11901291,50,2012-02-08,RCAP,0,,0,
11901291,51,2012-02-08,IDSC,0,,0,
11901291,48,2012-02-09,FWDX,0,,0,
11901291,52,2012-02-18,CTNF,0,,0,
11901291,54,2012-02-21,MCTNF,0,,0,
11901291,55,2012-07-11,XT/G,0,,0,
11901291,56,2012-07-11,A...,51,APPL,54,
11901291,57,2012-07-12,FWDX,0,,0,
11901291,58,2012-10-12,CTFR,0,,0,
11901291,60,2012-10-16,MCTFR,0,,0,
11901291,61,2013-01-31,EXAC,0,,0,
11901291,62,2013-01-31,EXIA,0,,0,
11901291,65,2013-02-04,MEXAC,0,,0,
11901291,66,2013-03-19,XT/G,0,,0,
11901291,67,2013-03-19,A.NE,0,,0,
11901291,69,2013-03-19,AF/D,0,,0,
11901291,68,2013-03-21,FWDX,0,,0,
11901291,71,2013-03-27,EXIE,0,,0,
11901291,70,2013-03-29,CTAV,0,,0,
11901291,74,2013-04-05,MCTAV,0,,0,
11901291,75,2013-04-05,EML_NTR,0,,0,
11901291,76,2013-04-16,BRCE,0,,0,
13333543,74,2013-06-19,BRCE,0,,0,
13333543,76,2013-06-19,WIDS,0,,0,
13333543,78,2013-06-19,RCEX,0,,0,
13333543,79,2013-06-19,M844,0,,0,
13333543,80,2013-06-19,RCAP,0,,0,
13333543,81,2013-06-19,IDSC,0,,0,
13333543,73,2013-06-20,MCNOA,0,,0,
13333543,75,2013-06-20,EML_NTR,0,,0,
13333543,77,2013-06-24,ABN9,0,,0,
13333543,83,2013-09-11,EX.A,0,,0,
13333543,84,2013-09-16,DVER,0,,0,
13333543,85,2013-09-16,N/=.,0,,0,
13333543,89,2013-09-23,MN/=.,0,,0,
13333543,.5,2011-12-21,EFILE,0,,0,
13333543,95,2013-09-30,PUBTC,0,,0,
13333543,97,2013-10-01,TCPB,0,,0,
13333543,96,2013-10-01,TCPB,0,,0,
13333543,100,2013-12-20,N084,0,,0,
13333543,101,2013-12-20,A.NA,0,APPL,110,
13333543,98,2013-12-20,IFEE,0,,0,
13333543,99,2013-12-20,WIDS,0,,0,
13333543,102,2013-12-20,M844,54,APPL,110,
13333543,104,2013-12-20,IDSC,0,,0,
13333543,103,2013-12-23,PUBTC,0,,0,
13333543,105,2014-01-03,N271,0,,0,
13333543,106,2014-01-03,PILS,0,,0,
13333543,109,2014-01-06,DOCK,0,,0,
13333543,108,2014-01-06,DOCK,0,,0,
