application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
12296495,62,2014-03-20,D1935,0,,0,
12296495,64,2014-04-15,PTAC,0,,0,
12296495,64.5,2014-04-15,PTA36M,920,PTO,64.4,
12296495,64.4,2008-10-08,COMMN,0,,0,
12296495,33,2011-10-12,MCTNF,4,,8,
12296495,42,2013-10-25,MCTFR,503,,37,
12332124,40,2011-12-08,EXIN,0,,0,
12332124,41,2011-12-08,EXIE,0,,0,
12332124,44,2011-12-14,MEXIN,0,,0,
12332124,45,2011-12-14,EML_NTR,0,,0,
12332124,46,2012-02-28,A...,0,,0,
12332124,47,2012-03-02,FWDX,0,,0,
12332124,48,2012-05-07,CTFR,0,,0,
12332124,50,2012-05-11,MCTFR,0,,0,
12332124,51,2012-05-11,EML_NTF,0,,0,
12332124,52,2012-05-12,ELC_RVW,0,,0,
12332124,53,2012-06-04,BRCE,0,,0,
12332124,55,2012-06-04,RCEX,0,,0,
12332124,54,2012-06-10,ABN9,0,,0,
12332124,57,2012-06-10,FWDX,0,,0,
12332124,58,2013-03-09,CTNF,0,,0,
12332124,60,2013-03-20,MCTNF,167,PTO,55,
12332124,61,2013-03-20,EML_NTF,0,,0,
12332124,62,2013-03-20,ELC_RVW,0,,0,
12332124,63,2013-05-01,WIDS,0,,0,
12332124,64,2013-05-01,M844,0,,0,
12332124,65,2013-05-01,RCAP,0,,0,
12332124,77,2013-05-01,IDSC,0,,0,
12332124,66,2013-06-10,EXAT,0,,0,
12332124,67,2013-06-10,EXIA,0,,0,
12332124,70,2013-06-10,A...,0,,0,
12332124,71,2013-06-12,FWDX,0,,0,
12332124,72,2013-06-17,MEXAT,0,,0,
12332124,73,2013-07-01,WIDS,0,,0,
12332124,74,2013-07-01,M844,21,APPL,70,
12332124,75,2013-07-01,RCAP,0,,0,
12332124,76,2013-07-01,IDSC,0,,0,
12332124,78,2013-07-25,CTFR,0,,0,
12332124,80,2013-07-30,MCTFR,0,,0,
12332124,81,2013-07-30,EML_NTF,0,,0,
12332124,82,2013-07-30,ELC_RVW,0,,0,
12332124,83,2013-10-14,BRCE,0,,0,
12332124,85,2013-10-14,RCEX,0,,0,
11366938,7,2006-07-27,COMP,0,,0,
11366938,9,2006-08-08,DOCK,0,,0,
11366938,10,2006-08-08,TSSCOMP,0,,0,
11366938,13,2007-05-22,DOCK,0,,0,
11366938,14,2007-09-06,PG-ISSUE,0,,0,
11366938,15,2008-01-22,DOCK,0,,0,
11366938,16,2008-08-18,CTRS,0,,0,
11366938,17,2008-08-19,MCTRS,475,PTO,.5,
11366938,18,2008-09-22,ELC.,0,,0,
11366938,19,2008-10-14,FWDX,0,,0,
11366938,21,2008-11-20,CTNF,0,,0,
11366938,22,2008-11-20,MCTNF,0,,0,
11366938,23,2009-05-22,XT/G,0,,0,
11366938,24,2009-05-22,A...,91,APPL,22,
11366938,25,2009-07-22,FWDX,0,,0,
11366938,26,2009-07-29,CTFR,0,,0,
11366938,27,2009-07-30,MCTFR,0,,0,
11366938,28,2009-10-05,A.NE,0,,0,
11366938,29,2009-10-19,FWDX,0,,0,
11366938,30,2009-10-23,CTAV,0,,0,
11366938,31,2009-10-26,MCTAV,0,,0,
11366938,32,2009-11-02,BRCE,0,,0,
11366938,34,2009-11-02,RCEX,3,APPL,27,
11366938,33,2009-11-10,ABN9,0,,0,
11366938,35,2009-11-10,FWDX,0,,0,
11366938,37,2009-11-10,FWDX,0,,0,
11366938,38,2010-01-07,CTNF,0,,0,
11366938,39,2010-01-13,MCTNF,0,,0,
11366938,40,2010-04-19,A...,6,APPL,39,
11366938,41,2010-05-04,FWDX,0,,0,
11366938,42,2010-05-11,CTFR,0,,0,
11366938,43,2010-05-14,MCTFR,0,,0,
11366938,44,2010-05-25,DOCK,0,,0,
11366938,46,2010-10-22,DOCK,0,,0,
11366938,48,2010-11-24,ABN2,0,,0,
11366938,49,2010-11-29,MABN2,0,,0,
11366938,50,2011-06-20,PET.,0,,0,
11366938,56,2011-06-20,N/AP,0,,0,
11366938,51,2011-07-13,PREV,226,APPL,49,
11366938,52,2011-07-13,MPREV,0,,0,
11366938,53,2011-08-23,DOCK,0,,0,
11366938,54,2011-08-24,NRAB,0,,0,
12402800,1,2009-03-12,IEXX,0,,0,
12402800,2,2009-03-12,SCAN,0,,0,
12402800,4,2009-03-12,APPERMS,0,,0,
12402800,3,2009-03-14,L194,0,,0,
12402800,6,2009-03-31,PGPC,0,,0,
12402800,5,2009-04-01,FLRCPT.O,0,,0,
12402800,7,2009-04-01,EML_NTR,0,,0,
12402800,8,2009-04-10,OIPE,0,,0,
12402800,9,2009-06-03,TSSCOMP,0,,0,
12402800,10,2010-06-10,DOCK,0,,0,
12402800,11,2010-09-16,PG-ISSUE,0,,0,
12402800,12,2010-09-17,EML_NTR,0,,0,
12402800,13,2011-04-29,DOCK,0,,0,
12402800,14,2011-05-10,DOCK,0,,0,
12402800,15,2011-05-16,DOCK,0,,0,
12402800,16,2011-06-08,DOCK,0,,0,
13392592,5,2012-05-01,OATHDECL,0,,0,
13392592,6,2012-05-01,ADDFLFEE,0,,0,
13409631,4,2012-03-21,FLRCPT.O,0,,0,
13409631,6,2012-03-21,PA..,0,,0,
13409631,7,2012-03-21,EML_NTR,0,,0,
13409631,8,2012-03-21,EML_NTR,0,,0,
13409631,9,2012-03-21,COMP,0,,0,
13409631,11,2012-04-27,DOCK,0,,0,
13409631,12,2012-06-25,WIDS,0,,0,
13409631,13,2012-06-25,EIDS.,0,,0,
13409631,22,2012-06-25,IDSC,0,,0,
13409631,14,2012-06-28,PG-ISSUE,0,,0,
13409631,15,2012-06-29,EML_NTR,0,,0,
13409631,16,2012-10-11,WIDS,0,,0,
13409631,17,2012-10-11,EIDS.,0,,0,
13409631,21,2012-10-11,IDSC,0,,0,
13409631,18,2012-11-27,EIDS.,0,,0,
13409631,19,2012-11-27,WIDS,0,,0,
13409631,20,2012-11-27,IDSC,0,,0,
13409631,23,2013-03-11,CTNF,0,,0,
13409631,25,2013-03-19,MCTNF,0,,0,
13409631,26,2013-03-19,EML_NTF,0,,0,
13409631,27,2013-03-19,ELC_RVW,0,,0,
13409631,28,2013-04-18,EXAT,0,,0,
13409631,29,2013-04-18,EXIA,0,,0,
13409631,32,2013-04-23,MEXAT,0,,0,
13409631,33,2013-04-29,WIDS,0,,0,
13409631,34,2013-04-29,EIDS.,0,,0,
13409631,37,2013-04-29,IDSC,0,,0,
13409631,35,2013-05-02,A...,0,,0,
13409631,36,2013-05-03,FWDX,0,,0,
13409631,38,2013-06-15,CTFR,0,,0,
13409631,40,2013-06-26,MCTFR,0,,0,
13409631,41,2013-06-26,EML_NTF,0,,0,
13409631,42,2013-06-26,ELC_RVW,0,,0,
13409631,43,2013-09-10,WIDS,0,,0,
13409631,44,2013-09-10,EIDS.,0,,0,
13409631,51,2013-09-10,IDSC,0,,0,
13409631,45,2013-10-18,WIDS,0,,0,
13409631,46,2013-10-18,EIDS.,0,,0,
13409631,52,2013-10-18,IDSC,0,,0,
13409631,57,2013-10-22,EXIA,0,,0,
13409631,47,2013-10-25,XT/G,0,,0,
13409631,48,2013-10-25,A.NE,29,APPL,40,
13638086,68,2014-03-05,EXIA,0,,0,
13638086,69,2014-03-05,EXAT,0,,0,
13638086,67,2014-03-06,CNOA,0,,0,
13638086,66,2014-03-06,IDSC,0,,0,
13638086,75,2014-03-12,PILS,0,,0,
13638086,76,2014-03-13,D1935,0,,0,
13638086,77,2014-03-14,EML_NTR,0,,0,
13638086,78,2014-03-14,D1935,0,,0,
