application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
12475740,110,2014-04-22,PTAC,0,,0,
12475740,110.5,2011-11-15,PTA36M,0,PTO,.5,
12313819,51,2014-01-06,LTDR,0,,0,
12313819,52,2014-01-06,RAFC,0,,0,
12313819,55,2014-01-07,EXIE,0,,0,
12313819,56,2014-01-07,EXET,0,,0,
12313819,54,2014-01-13,EX.A,0,,0,
12313819,57,2014-01-16,N/=.,0,,0,
12313819,58,2014-01-16,DVER,0,,0,
12313819,64,2014-01-17,MN/=.,0,,0,
12313819,.5,2008-11-25,EFILE,0,,0,
12313819,67,2014-03-05,IFEE,0,,0,
12313819,68,2014-03-05,N084,0,,0,
12313819,69,2014-03-24,PILS,0,,0,
12313819,70,2014-03-25,D1935,0,,0,
12313819,72,2014-04-22,PTAC,0,,0,
12313819,72.5,2011-11-13,PTA36M,0,PTO,.5,
12135415,1,2008-06-09,IEXX,0,,0,
12135415,2,2008-06-09,SCAN,0,,0,
12135415,3,2008-06-12,L194,0,,0,
12135415,4,2008-06-18,WIDS,0,,0,
12135415,13,2008-06-18,EIDS.,0,,0,
12135415,14,2008-06-18,RCAP,0,,0,
12135415,28,2008-06-18,IDSC,0,,0,
12135415,5,2008-06-20,INCD,0,,0,
12135415,6,2008-06-20,FLRCPT.O,0,,0,
12135415,8,2008-06-25,OATHDECL,0,,0,
12135415,9,2008-06-25,ADDFLFEE,0,,0,
12135415,7,2008-10-15,WIDS,0,,0,
12135415,15,2008-10-15,EIDS.,0,,0,
12135415,16,2008-10-15,RCAP,0,,0,
12135415,27,2008-10-15,IDSC,0,,0,
12135415,10,2009-02-23,FLRCPT.U,0,,0,
12135415,11,2009-02-23,PGPC,0,,0,
12135415,12,2009-03-13,OIPE,0,,0,
12135415,17,2009-04-30,TSSCOMP,0,,0,
12135415,18,2009-05-18,DOCK,0,,0,
12135415,19,2009-06-04,PG-ISSUE,0,,0,
12135415,20,2009-09-23,C.AD,0,,0,
12135415,21,2009-09-28,PA..,0,,0,
12135415,22,2010-07-13,DOCK,0,,0,
12135415,30,2010-09-29,CTNF,0,,0,
