application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
13530747,12,2012-08-23,OIPE,0,,0,
13530747,14,2012-10-03,WIDS,0,,0,
13530747,23,2012-10-03,IDSC,0,,0,
13530747,15,2012-10-03,EIDS.,0,,0,
13530747,16,2012-12-27,PG-ISSUE,0,,0,
13530747,17,2013-03-21,DOCK,0,,0,
13530747,22,2013-05-29,IDSC,0,,0,
13530747,19,2013-05-29,M844,0,,0,
13244597,28,2013-04-25,MCTRS,151,PTO,.5,
13244597,30,2013-04-26,ELC_RVW,0,,0,
13244597,31,2013-05-28,WIDS,0,,0,
13244597,39,2013-05-28,IDSC,0,,0,
13244597,32,2013-05-28,M844,0,,0,
13244597,33,2013-05-28,ELC.,0,,0,
13244597,33.1,2013-05-28,A.I.,0,,0,
13244597,34,2013-05-29,FWDX,0,,0,
13244597,35,2013-05-31,NINA,0,,0,
13244597,36,2013-05-31,EML_NTR,0,,0,
13244597,37,2013-07-01,ELC.,34,APPL,33,
13244597,38,2013-07-04,FWDX,0,,0,
13244597,47,2013-09-05,CTEQ,0,,0,
13244597,50,2013-09-11,EML_NTF,0,,0,
13244597,49,2013-09-11,MCTEQ,0,,0,
13244597,51,2013-09-11,ELC_RVW,0,,0,
13244597,52,2013-11-12,A.QU,0,,0,
13244597,53,2013-11-13,FWDX,0,,0,
13244597,58,2013-12-23,EX.A,0,,0,
13244597,59,2013-12-24,N/=.,0,,0,
13244597,60,2013-12-24,DVER,0,,0,
13244597,65,2013-12-27,EML_NTF,0,,0,
13244597,64,2013-12-27,MN/=.,0,,0,
13244597,66,2013-12-27,ELC_RVW,0,,0,
13244597,69,2014-03-27,IFEE,0,,0,
13244597,73,2014-03-27,A.NA,0,,0,
13244597,72,2014-03-27,REAS,0,,0,
13244597,70,2014-03-27,N084,0,,0,
13244597,71,2014-04-12,PILS,0,,0,
13244597,74,2014-04-17,PUBTC,0,,0,
13244597,75,2014-04-22,N271,0,,0,
13575503,23,2013-06-21,XT/G,0,,0,
13575503,24,2013-06-21,A...,31,APPL,22,
13575503,25,2013-06-28,FWDX,0,,0,
13575503,26,2013-10-01,CTFR,0,,0,
13575503,28,2013-10-07,MCTFR,0,,0,
13575503,30,2013-10-07,ELC_RVW,0,,0,
13575503,29,2013-10-07,EML_NTF,0,,0,
13575503,31,2013-12-09,RAFC,0,,0,
13575503,32,2013-12-09,A.NE,0,,0,
13575503,33,2013-12-10,FWDX,0,,0,
13575503,35,2013-12-16,EXIA,0,,0,
13575503,34,2013-12-16,EXAT,0,,0,
13575503,39,2013-12-27,MEXAT,0,,0,
13575503,43,2013-12-29,EX.R,0,,0,
13575503,42,2013-12-29,EX.A,0,,0,
13575503,45,2013-12-31,DVER,0,,0,
13575503,44,2013-12-31,N/=.,0,,0,
13575503,50,2014-01-06,MN/=.,0,,0,
13575503,53,2014-01-06,ELC_RVW,0,,0,
13575503,51,2014-01-06,EML_NTF,0,,0,
13575503,55,2014-04-04,IFEE,0,,0,
13575503,56,2014-04-04,N084,0,,0,
13575503,57,2014-04-18,PILS,0,,0,
13575503,58,2014-04-18,D1935,0,,0,
13575503,60,2014-05-20,PTAC,0,,0,
13575503,60.5,2014-05-20,PTA36M,0,,60.4,
12783056,80,2014-04-09,TCPB,0,,0,
12783056,81,2014-04-09,EML_NTR,0,,0,
12783056,83,2014-04-21,PILS,0,,0,
12783056,84,2014-04-21,D1935,0,,0,
12783056,86,2014-05-20,PTAC,0,,0,
12783056,86.5,2014-05-20,PTA36M,366,PTO,.5,
13337948,.5,2011-12-27,EFILE,0,,0,
13337948,43,2014-01-21,MN/=.,0,,32,
13337948,53,2014-05-20,PTAC,0,,49,
13337948,32,2013-12-20,A...,0,,25,
13337948,49,2014-04-03,N084,0,,43,
13337948,2,2011-12-27,SCAN,0,,0,
13337948,1,2011-12-27,IEXX,0,,0,
13337948,3,2011-12-27,WIDS,0,,0,
13337948,6,2011-12-27,APPERMS,0,,0,
13337948,22,2011-12-27,IDSC,0,,0,
13337948,5,2011-12-27,PDREQUST,0,,0,
13337948,4,2012-01-03,L194,0,,0,
13337948,8,2012-01-11,PGPC,0,,0,
13337948,10,2012-01-12,COMP,0,,0,
13337948,9,2012-01-12,EML_NTR,0,,0,
13337948,7,2012-01-12,FLRCPT.O,0,,0,
13337948,11,2012-02-10,OIPE,0,,0,
13337948,12,2012-02-15,DOCK,0,,0,
13337948,13,2012-02-17,DOCK,0,,0,
13551920,.5,2012-07-18,EFILE,0,,0,
13551920,40,2013-07-08,MCTNF,0,,.5,
13551920,61,2014-01-16,MN/=.,0,,45,
13551920,74,2014-05-20,PTAC,0,,68,
13551920,45,2013-10-02,A...,0,,40,
13551920,68,2014-03-24,N084,0,,61,
13551920,69,2014-04-01,DRWF,0,,0,
13551920,30,2012-07-18,RCAP,0,,0,
13551920,1,2012-07-18,IEXX,0,,0,
13551920,2,2012-07-18,SCAN,0,,0,
13551920,35,2012-07-18,IDSC,0,,0,
13551920,24,2012-07-18,M844,0,,0,
13551920,31,2012-07-18,WIDS,0,,0,
13551920,16,2012-07-18,ADDFLFEE,0,,0,
13551920,4,2012-07-20,L194,0,,0,
13551920,25,2012-07-24,RQPR,0,,0,
13551920,5,2012-07-27,C.AD,0,,0,
13551920,6,2012-07-27,C.AD,0,,0,
13009301,.5,2011-01-19,EFILE,0,,0,
13009301,43,2013-10-28,MCTFR,0,,36,
13009301,70,2014-01-29,MN/=.,0,,59,
13009301,80,2014-05-20,PTAC,0,,76,
13009301,36,2013-10-09,A...,0,,31,
13009301,52,2014-01-17,A.NE,0,,43,
13009301,76,2014-04-10,N084,0,,70,
13009301,14,2011-01-19,A.PE,0,,0,
13009301,13,2011-01-19,EIDS.,0,,0,
13009301,1,2011-01-19,IEXX,0,,0,
13009301,6,2011-01-19,APPERMS,0,,0,
13009301,2,2011-01-19,WIDS,0,,0,
13009301,23,2011-01-19,IDSC,0,,0,
13009301,15,2011-01-19,C614,0,,0,
13009301,3,2011-01-22,SCAN,0,,0,
13009301,4,2011-01-24,L194,0,,0,
13009301,8,2011-01-31,PGPC,0,,0,
13009301,10,2011-02-01,COMP,0,,0,
13757252,34,2013-05-14,MCTRS,0,,.5,
13757252,54,2013-09-09,MCTNF,0,,45,
13757252,68,2013-12-31,MN/=.,0,,61,
13757252,78,2014-05-20,PTAC,0,,74,
12544395,.5,2009-08-20,EFILE,0,,0,
12544395,70,2014-05-20,PTAC,111,,0,
