application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
12777978,21,2013-09-04,CTNF,0,,0,
12777978,23,2013-09-11,MCTNF,670,PTO,.5,
12777978,25,2013-12-09,EXIA,0,,0,
12777978,24,2013-12-09,EXAT,0,,0,
12777978,33,2013-12-11,LTDR,0,,0,
12777978,29,2013-12-11,MEXAT,0,,0,
12777978,31,2013-12-11,A...,0,,0,
12777978,30,2013-12-13,WIDS,0,,0,
12777978,34,2013-12-13,M844,2,APPL,31,
12777978,36,2013-12-13,IDSC,0,,0,
12777978,35,2013-12-13,RCAP,0,,0,
12777978,32,2013-12-17,FWDX,0,,0,
12777978,40,2013-12-26,EXIE,0,,0,
12777978,41,2013-12-26,EXET,0,,0,
12777978,39,2013-12-30,EX.R,0,,0,
12777978,38,2013-12-30,EX.A,0,,0,
12777978,43,2013-12-30,N/=.,0,,0,
12777978,42,2013-12-30,DOCK,0,,0,
11108396,76,2011-05-09,MAPEA,0,,73,
11108396,110,2014-04-08,MN/=.,0,,91,
11108396,121,2014-05-27,PTAC,0,,116,
11108396,91,2014-01-09,MAPDA,0,,0,
11108396,47,2009-11-12,A...,0,,43,
11108396,58,2010-03-25,RCEX,0,,51,
11108396,65,2010-11-15,A...,0,,62,
11108396,71,2011-02-10,N/AP,0,,68,
11108396,116,2014-04-15,N084,0,,110,
11108396,28,2005-04-18,IDSC,0,,0,
11108396,9.7,2005-04-18,M844,0,,0,
11108396,1,2005-04-18,IEXX,0,,0,
11108396,9,2005-04-18,WIDS,0,,0,
11108396,2,2005-04-28,SCAN,0,,0,
11108396,4,2005-05-02,L194,0,,0,
11108396,5,2005-05-10,COMP,0,,0,
11108396,6,2005-05-10,OIPE,0,,0,
11108396,8,2006-06-27,DOCK,0,,0,
11108396,7,2006-06-27,DOCK,0,,0,
11108396,10,2006-07-28,TSSCOMP,0,,0,
11108396,11,2006-09-12,DOCK,0,,0,
11108396,12,2006-09-22,DOCK,0,,0,
11108396,13,2006-10-05,DOCK,0,,0,
11108396,14,2007-10-09,DOCK,0,,0,
11108396,15,2007-10-16,F525,0,,0,
11108396,16,2007-10-17,W525,0,,0,
11108396,17,2008-02-27,DOCK,0,,0,
