application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
13274486,84,2014-01-09,A...,0,,0,
13274486,85,2014-01-21,FWDX,0,,0,
13274486,93,2014-01-23,EX.R,0,,0,
13274486,94,2014-01-28,N/=.,0,,0,
13274486,95,2014-01-28,DVER,0,,0,
13274486,99,2014-01-29,MN/=.,0,,0,
13274486,101,2014-02-18,CNOA,0,,0,
13274486,103,2014-02-20,MCNOA,0,,0,
13274486,107,2014-04-28,N084,0,,0,
13274486,105,2014-04-28,IFEE,0,,0,
13274486,106,2014-04-29,TCPB,0,,0,
13274486,109,2014-05-02,D1935,0,,0,
13274486,108,2014-05-02,D1935,0,,0,
13274486,111,2014-06-03,PTAC,0,,0,
13274486,111.5,2012-10-24,PTA36M,0,,.5,
13626946,.5,2012-09-26,EFILE,0,,0,
13626946,44,2014-06-03,PTAC,0,,40,
13626946,40,2014-04-17,N084,0,,34,
13626946,1,2012-09-26,IEXX,0,,0,
13626946,3,2012-09-26,L194,0,,0,
13626946,21,2012-09-26,IDSC,0,,0,
13626946,14,2012-09-26,RCAP,0,,0,
13626946,13,2012-09-26,M844,0,,0,
13626946,5,2012-09-26,PDREQUST,0,,0,
13626946,4,2012-09-26,WIDS,0,,0,
13626946,2,2012-09-26,SCAN,0,,0,
13626946,7,2012-10-12,PGPC,0,,0,
13626946,8,2012-10-15,PA..,0,,0,
13626946,11,2012-10-15,COMP,0,,0,
13626946,6,2012-10-15,FLRCPT.O,0,,0,
13626946,9,2012-10-15,EML_NTR,0,,0,
13626946,10,2012-10-15,EML_NTR,0,,0,
13626946,12,2012-11-02,OIPE,0,,0,
13736025,.5,2013-01-07,EFILE,0,,0,
13147712,17,2011-10-06,OIPE,0,,0,
13147712,23,2011-10-27,DOCK,0,,0,
13147712,24,2011-12-22,PG-ISSUE,0,,0,
13147712,25,2011-12-23,EML_NTR,0,,0,
13147712,35,2012-12-17,IDSC,0,,0,
13147712,26,2012-12-17,WIDS,0,,0,
13147712,27,2012-12-17,EIDS.,0,,0,
13147712,28,2012-12-17,RCAP,0,,0,
13147712,31,2013-07-01,RCAP,0,,0,
13147712,29,2013-07-01,WIDS,0,,0,
13147712,30,2013-07-01,M844,0,,0,
13147712,34,2013-07-01,IDSC,0,,0,
13147712,32,2013-10-03,DOCK,0,,0,
13147712,33,2013-10-09,DOCK,0,,0,
13147712,37,2013-11-22,CTNF,0,,0,
13147712,41,2013-12-04,ELC_RVW,0,,0,
13147712,40,2013-12-04,EML_NTF,0,,0,
13147712,39,2013-12-04,MCTNF,426,PTO,69.4,
13147712,44,2013-12-06,RCAP,0,,0,
13147712,42,2013-12-06,WIDS,0,,0,
13147712,43,2013-12-06,M844,0,,0,
13147712,45,2014-02-25,A...,0,,0,
13147712,46,2014-02-27,FWDX,0,,0,
13147712,51,2014-03-10,IDSC,0,,0,
13147712,53,2014-03-10,EX.R,0,,0,
13147712,54,2014-03-11,DVER,0,,0,
13147712,55,2014-03-11,N/=.,0,,0,
13147712,59,2014-03-14,MN/=.,0,,0,
13147712,61,2014-03-14,ELC_RVW,0,,0,
13147712,60,2014-03-14,EML_NTF,0,,0,
13147712,63,2014-04-23,IFEE,0,,0,
13147712,65,2014-04-23,N084,0,,0,
13278461,22,2013-04-25,PG-ISSUE,0,,0,
13278461,23,2013-04-26,EML_NTR,0,,0,
13278461,24,2013-07-30,WIDS,0,,0,
13278461,25,2013-07-30,M844,0,,0,
13278461,33,2013-07-30,IDSC,0,,0,
13278461,34,2013-09-17,CTNF,0,,0,
13278461,38,2013-09-20,ELC_RVW,0,,0,
13278461,37,2013-09-20,EML_NTF,0,,0,
13278461,36,2013-09-20,MCTNF,273,PTO,.5,
13278461,41,2013-09-23,RCAP,0,,0,
13278461,39,2013-09-23,WIDS,0,,0,
13278461,40,2013-09-23,M844,0,,0,
13278461,44,2013-09-23,IDSC,0,,0,
13278461,42,2013-12-10,A...,0,,0,
13278461,43,2013-12-25,FWDX,0,,0,
13278461,46,2014-01-03,EX.R,0,,0,
13278461,47,2014-01-08,DVER,0,,0,
13278461,50,2014-01-09,N/=.,0,,0,
13278461,59,2014-01-16,WIDS,0,,0,
13278461,58,2014-01-21,MN/=.,0,,0,
13278461,60,2014-01-21,EML_NTF,0,,0,
13278461,61,2014-01-21,ELC_RVW,0,,0,
13278461,63,2014-04-12,PUBTC,0,,0,
13278461,64,2014-04-13,IDSC,0,,0,
13278461,65,2014-04-13,M327,0,,0,
13116234,74,2014-02-20,MN/=.,0,,0,
13116234,75,2014-02-20,EML_NTF,0,,0,
13116234,77,2014-02-28,PST_CRD,0,,0,
13116234,78,2014-04-21,IFEE,0,,0,
13116234,79,2014-04-21,N084,0,,0,
13116234,80,2014-05-01,PILS,0,,0,
13116234,81,2014-05-01,D1935,0,,0,
13116234,83,2014-06-03,PTAC,0,,0,
13116234,83.5,2013-09-09,PTA36M,0,,.5,
12957843,.5,2010-12-01,EFILE,0,,0,
12957843,38,2013-11-21,MCTNF,0,,31,
12957843,52,2014-02-07,MN/=.,0,,41,
13174805,43,2014-04-22,IFEE,0,,0,
13174805,44,2014-04-22,N084,0,,0,
13174805,45,2014-05-02,PILS,0,,0,
13174805,46,2014-05-02,D1935,0,,0,
13174805,48,2014-06-03,PTAC,0,,0,
13174805,48.5,2014-06-03,PTA36M,0,,.5,
11423080,29,2011-04-25,CTNF,0,,0,
11423080,31,2011-04-27,MCTNF,0,,0,
11423080,33,2011-10-26,XT/G,0,,0,
11423080,32,2011-10-26,WIDS,0,,0,
11423080,34,2011-10-26,A...,91,APPL,31,
11423080,37,2011-10-26,IDSC,0,,0,
11423080,36,2011-10-26,EIDS.,0,,0,
11423080,35,2011-10-27,FWDX,0,,0,
11423080,38,2012-02-09,CTFR,0,,0,
11423080,42,2012-03-05,MCTFR,0,PTO,34,
11423080,43,2012-07-05,BRCE,0,,0,
11423080,45,2012-07-05,RCEX,30,APPL,42,
11423080,47,2012-07-09,FWDX,0,,0,
11423080,44,2012-07-09,ABN9,0,,0,
11423080,48,2012-07-16,CTNF,0,,0,
11423080,52,2012-08-20,MCTNF,0,,0,
11423080,64,2012-12-19,IDSC,0,,0,
11423080,54,2012-12-19,XT/G,0,,0,
11423080,53,2012-12-19,WIDS,0,,0,
11423080,55,2012-12-19,A...,0,,0,
11423080,55.1,2012-12-19,A.I.,0,,0,
11423080,57,2012-12-19,M844,0,,0,
11423080,56,2012-12-21,FWDX,0,,0,
11423080,58,2013-01-29,SA..,0,,0,
11423080,59,2013-02-01,FWDX,0,,0,
11423080,61,2013-05-20,NINA,0,,0,
11423080,62,2013-06-19,A...,211,APPL,52,
11423080,63,2013-06-22,FWDX,0,,0,
13416226,15,2012-08-23,M844,0,,0,
13416226,14,2012-08-23,WIDS,0,,0,
13416226,17,2012-09-27,PG-ISSUE,0,,0,
13416226,18,2012-09-28,EML_NTR,0,,0,
13416226,19,2013-06-13,DOCK,0,,0,
13416226,21,2013-07-09,RCAP,0,,0,
13416226,22,2013-07-09,M844,0,,0,
13416226,23,2013-07-09,IDSC,0,,0,
13416226,20,2013-07-09,WIDS,0,,0,
13416226,29,2013-09-20,CTNF,0,,0,
13416226,33,2013-09-25,ELC_RVW,0,,0,
13416226,31,2013-09-25,MCTNF,139,PTO,.5,
13416226,32,2013-09-25,EML_NTF,0,,0,
13416226,34,2013-12-26,A...,0,,0,
13416226,35,2014-01-07,FWDX,0,,0,
13416226,37,2014-01-10,EX.A,0,,0,
13416226,38,2014-01-16,N/=.,0,,0,
13416226,39,2014-01-16,DVER,0,,0,
13416226,46,2014-01-21,ELC_RVW,0,,0,
13416226,43,2014-01-21,MN/=.,0,,0,
13416226,44,2014-01-21,EML_NTF,0,,0,
13416226,48,2014-04-21,IFEE,0,,0,
13416226,49,2014-04-21,N084,0,,0,
13416226,51,2014-05-02,D1935,0,,0,
13416226,50,2014-05-02,PILS,0,,0,
13416226,53,2014-06-03,PTAC,0,,0,
13416226,53.5,2014-06-03,PTA36M,0,,.5,
13129258,37,2013-04-12,ELC_RVW,0,,0,
13129258,38,2013-06-28,WIDS,0,,0,
13129258,51,2013-06-28,IDSC,0,,0,
13129258,39,2013-08-08,EXAT,0,,0,
13129258,40,2013-08-08,EXIA,0,,0,
13129258,43,2013-08-23,MEXAT,0,,0,
13129258,48,2013-08-30,M844,0,,0,
13129258,49,2013-08-30,M844,0,,0,
13129258,44,2013-08-30,XT/G,0,,0,
13129258,45,2013-08-30,A.NE,0,,0,
13129258,47,2013-08-30,RAFC,0,,0,
13129258,46,2013-09-03,FWDX,0,,0,
13129258,57,2013-09-11,RCEX,61,APPL,35,
13129258,50,2013-09-11,BRCE,0,,0,
13129258,52,2013-09-12,CTAV,0,,0,
13129258,54,2013-09-17,MCTAV,0,,0,
13129258,55,2013-09-17,EML_NTR,0,,0,
13129258,59,2013-09-19,FWDX,0,,0,
13129258,56,2013-09-19,ABN9,0,,0,
13129258,65,2014-01-13,EX.R,0,,0,
13129258,66,2014-01-17,N/=.,0,,0,
13129258,67,2014-01-17,DVER,0,,0,
13129258,71,2014-01-24,MN/=.,13,PTO,57,
13129258,72,2014-01-24,EML_NTF,0,,0,
13129258,73,2014-01-24,ELC_RVW,0,,0,
13129258,75,2014-02-19,WIDS,0,,0,
13129258,77,2014-02-19,M844,0,,0,
13129258,78,2014-04-02,PUBTC,0,,0,
13129258,79,2014-04-09,IDSC,0,,0,
12953033,.5,2010-11-23,EFILE,0,,0,
12953033,98,2014-06-03,PTAC,225,,70,
12953033,31,2013-02-04,MCTNF,0,,22,
12953033,53,2013-07-26,MCTFR,0,,49,
12953033,88,2014-01-31,MN/=.,0,,70,
12953033,98,2014-06-03,PTAC,0,,94,
12953033,0,2014-06-03,PTA36M,0,,0,
12953033,22,2012-12-27,ELC.,0,,19,
12953033,49,2013-06-11,A...,0,,47,
12953033,61,2013-10-22,RCEX,0,,53,
12953033,94,2014-04-25,N084,0,,88,
12953033,2,2010-11-23,SCAN,0,,0,
12953033,1,2010-11-23,IEXX,0,,0,
12953033,3,2010-11-23,WIDS,0,,0,
12953033,24,2010-11-23,IDSC,0,,0,
12953033,4,2010-11-30,L194,0,,0,
12953033,6,2010-12-09,PGPC,0,,0,
12953033,8,2010-12-10,COMP,0,,0,
12953033,5,2010-12-10,FLRCPT.O,0,,0,
12953033,7,2010-12-10,EML_NTR,0,,0,
12953033,9,2011-01-05,OIPE,0,,0,
12953033,10,2012-03-19,DOCK,0,,0,
12953033,11,2012-05-24,PG-ISSUE,0,,0,
12953033,12,2012-05-25,EML_NTR,0,,0,
12953033,13,2012-08-09,WIDS,0,,0,
12953033,14,2012-08-09,EIDS.,0,,0,
12953033,25,2012-08-09,IDSC,0,,0,
12953033,82,2012-10-19,WIDS,0,,0,
12953033,16,2012-10-19,EIDS.,0,,0,
12953033,83,2012-10-19,IDSC,0,,0,
12953033,17,2012-11-28,CTRS,0,,0,
12953033,20,2012-12-03,EML_NTF,0,,0,
12953033,19,2012-12-03,MCTRS,315,PTO,.5,
12953033,21,2012-12-03,ELC_RVW,0,,0,
12705599,6,2010-03-03,FLRCPT.O,0,,0,
12705599,9,2010-03-26,OIPE,0,,0,
12705599,11,2010-07-12,DOCK,0,,0,
12705599,12,2010-07-13,DOCK,0,,0,
