application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
13477580,13,2012-06-12,FLRCPT.O,0,,0,
13477580,14,2012-06-12,EML_NTR,0,,0,
13477580,15,2012-06-12,COMP,0,,0,
13477580,16,2012-06-22,OIPE,0,,0,
13477580,18,2012-12-30,DOCK,0,,0,
13477580,19,2013-03-13,DOCK,0,,0,
13477580,24,2013-05-20,CTNF,0,,0,
13015123,36,2013-02-07,A.NE,0,,33,
13015123,57,2013-11-12,A...,0,,49,
13015123,75,2014-05-08,N084,0,,69,
13015123,10,2011-01-27,RCAP,0,,0,
13015123,11,2011-01-27,M844,0,,0,
13015123,3,2011-01-27,WIDS,0,,0,
13015123,5,2011-01-27,APPERMS,0,,0,
13015123,2,2011-01-27,SCAN,0,,0,
13015123,1,2011-01-27,IEXX,0,,0,
13015123,14,2011-01-27,IDSC,0,,0,
13015123,4,2011-02-01,L194,0,,0,
13015123,7,2011-02-16,PGPC,0,,0,
13015123,8,2011-02-16,COMP,0,,0,
13015123,6,2011-02-16,FLRCPT.O,0,,0,
13015123,9,2011-03-09,OIPE,0,,0,
13015123,12,2011-09-07,DOCK,0,,0,
13015123,13,2012-03-21,DOCK,0,,0,
13015123,18,2012-05-18,CTNF,0,,0,
13015123,21,2012-05-25,EML_NTF,0,,0,
13015123,20,2012-05-25,MCTNF,59,PTO,.5,
13015123,22,2012-05-26,ELC_RVW,0,,0,
13015123,24,2012-07-17,M844,0,,0,
13015123,23,2012-07-17,WIDS,0,,0,
13015123,41,2012-07-17,IDSC,0,,0,
13015123,25,2012-08-02,PG-ISSUE,0,,0,
13015123,26,2012-08-03,EML_NTR,0,,0,
13015123,27,2012-08-27,A...,0,,0,
13015123,28,2012-09-19,FWDX,0,,0,
13015123,31,2012-12-03,CTFR,0,,0,
13015123,33,2012-12-07,MCTFR,0,,0,
13015123,34,2012-12-07,EML_NTF,0,,0,
13015123,35,2012-12-10,ELC_RVW,0,,0,
13015123,36,2013-02-07,A.NE,0,,0,
13015123,37,2013-02-10,FWDX,0,,0,
