application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
13398460,51,2014-05-13,IFEE,0,,0,
13398460,52,2014-05-13,N084,0,,0,
13398460,54,2014-05-21,D1935,0,,0,
13398460,53,2014-05-21,PILS,0,,0,
13398460,56,2014-06-24,PTAC,0,,0,
13398460,56.5,2014-06-24,PTA36M,0,,.5,
10543755,125,2012-07-13,CRFT,0,,0,
10543755,126,2012-08-03,FLRCPT.C,0,,0,
10543755,127,2012-09-26,LET.,63,APPL,0,
10543755,129,2012-09-27,PET2,0,,0,
10543755,128,2012-09-28,IFEE,0,,0,
10543755,132,2012-09-28,N084,0,,0,
10543755,133,2012-09-28,BIG.,0,,0,
10543755,134,2012-10-03,PILS,0,,0,
10543755,131,2012-10-03,FLRCPT.C,0,,0,
10543755,135,2012-10-09,PTDI,0,,0,
10543755,136,2012-10-09,MPTDI,0,,0,
10543755,137,2012-10-16,FLRCPT.C,0,,0,
10543755,138,2012-10-19,D1935,0,,0,
10543755,141,2012-11-07,WPIR,0,,0,
10543755,142,2012-11-27,PGM/,0,,0,
10543755,140,2012-11-27,PTAC,0,,0,
10543755,143,2012-11-29,CRFA,0,,0,
10543755,144,2013-01-18,PET2,0,,0,
10543755,145,2014-05-22,P028,0,,0,
10543755,146,2014-05-22,P028,0,,0,
10543755,147,2014-06-05,P034,0,,0,
10543755,140.5,2010-03-28,PTA36M,604,PTO,140.4,
10543755,140.4,2005-08-01,COMMN,0,,0,
10543755,52,2009-10-27,MCTFR,9,,45,
13592299,6,2012-09-07,EML_NTF,0,,0,
13922717,30,2013-10-04,ELC_RVW,0,,0,
13592299,7,2012-09-07,EML_NTR,0,,0,
13922717,29,2013-10-04,EML_NTF,0,,0,
13592299,4,2012-09-07,FLRCPT.O,0,,0,
13922717,28,2013-10-04,MCTNF,0,,0,
13592299,5,2012-09-07,INCD,0,,0,
13922717,31,2013-10-31,PG-ISSUE,0,,0,
13592299,8,2012-09-07,ELC_RVW,0,,0,
13922717,34,2013-11-01,EIDS.,0,,0,
13592299,9,2012-12-07,OATHDECL,0,,0,
13922717,32,2013-11-01,EML_NTR,0,,0,
13592299,10,2012-12-07,ADDFLFEE,0,,0,
13922717,33,2013-11-01,WIDS,0,,0,
13592299,12,2012-12-14,PGPC,0,,0,
13922717,35,2013-11-01,RCAP,0,,0,
13592299,13,2012-12-17,PA..,0,,0,
13922717,43,2013-11-01,IDSC,0,,0,
13592299,16,2012-12-17,COMP,0,,0,
13922717,36,2013-11-13,P003,0,,0,
13592299,15,2012-12-17,EML_NTR,0,,0,
13922717,37,2013-11-14,MP003,0,,0,
13592299,14,2012-12-17,EML_NTR,0,,0,
13922717,38,2013-11-20,EML_NTR,0,,0,
13592299,11,2012-12-17,FLRCPT.U,0,,0,
13922717,39,2014-01-06,DIST,0,,0,
13592299,17,2013-01-09,OIPE,0,,0,
13922717,40,2014-01-06,P574,0,,0,
13592299,18,2013-01-10,DOCK,0,,0,
13922717,41,2014-01-06,A...,0,,0,
13922717,42,2014-01-24,FWDX,0,,0,
13592299,19,2013-02-12,DOCK,0,,0,
13592299,20,2013-03-28,PG-ISSUE,0,,0,
13592299,21,2013-03-29,EML_NTR,0,,0,
13922717,45,2014-01-28,N/=.,0,,0,
13592299,22,2013-04-18,CTNF,0,,0,
12814279,66,2013-02-22,NINA,0,,0,
12814279,67,2013-02-23,EML_NTR,0,,0,
12814279,68,2013-03-12,EXIA,0,,0,
12814279,71,2013-03-22,EML_NTR,0,,0,
12814279,72,2013-03-22,A...,31,APPL,64,
12814279,70,2013-03-22,MEXIA,0,,0,
12814279,73,2013-03-25,FWDX,0,,0,
12814279,74,2013-05-08,LET.,0,,0,
12814279,75,2013-06-19,CTFR,0,,0,
12814279,78,2013-06-27,EML_NTF,0,,0,
12814279,77,2013-06-27,MCTFR,0,,0,
12814279,97,2014-01-28,WIDS,0,,0,
12814279,98,2014-01-28,M844,0,,0,
12814279,99,2014-01-28,RCAP,0,,0,
12814279,108,2014-02-28,EXET,0,,0,
12814279,107,2014-02-28,EXIE,0,,0,
12814279,101,2014-02-28,P574,0,,0,
12814279,100,2014-02-28,DIST,165,APPL,92,
12814279,103,2014-03-03,IDSC,0,,0,
12814279,102,2014-03-03,IDSC,0,,0,
12814279,110,2014-03-04,EX.R,0,,0,
13058440,13,2011-02-10,RCAP,0,,0,
13058440,3,2011-02-10,WIDS,0,,0,
13058440,1,2011-02-10,IEXX,0,,0,
13058440,2,2011-02-10,L194,0,,0,
13058440,24,2011-02-10,IDSC,0,,0,
13058440,7,2011-02-10,371COMP,0,,0,
13058440,6,2011-03-01,PGPC,0,,0,
13058440,5,2011-03-02,FLRCPT.O,0,,0,
13058440,9,2011-03-02,EML_NTR,0,,0,
13058440,8,2011-03-02,EML_NTR,0,,0,
13058440,4,2011-03-02,M903,0,,0,
13058440,10,2011-03-16,OIPE,0,,0,
13058440,16,2011-04-26,DOCK,0,,0,
13058440,17,2011-06-09,PG-ISSUE,0,,0,
13058440,18,2011-06-10,EML_NTR,0,,0,
13058440,19,2012-04-11,DOCK,0,,0,
13058440,20,2012-09-17,DOCK,0,,0,
13058440,22,2013-02-13,M844,0,,0,
13058440,21,2013-02-13,WIDS,0,,0,
13058440,23,2013-02-13,IDSC,0,,0,
13079387,.5,2011-04-04,EFILE,0,,0,
13079387,34,2014-02-21,MN/=.,0,,24,
13079387,46,2014-07-01,PTAC,0,,40,
13079387,40,2014-05-19,N084,0,,34,
12302914,12,2010-01-12,OIPE,0,,0,
12302914,13,2010-04-08,PG-ISSUE,0,,0,
12302914,17,2010-12-28,DOCK,0,,0,
12302914,20,2011-03-18,EIDS.,0,,0,
