application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11589590,49,2010-09-29,EML_NTF,0,,0,
11589590,51,2010-11-23,A...,0,,0,
11589590,52,2010-11-28,FWDX,0,,0,
11589590,53,2011-01-31,CTFR,0,,0,
11589590,56,2011-02-03,ELC_RVW,0,,0,
11589590,54,2011-02-03,MCTFR,0,,0,
11589590,55,2011-02-03,EML_NTF,0,,0,
11589590,57,2011-05-03,N/AP,0,,0,
11589590,59,2011-06-22,AP.B,0,,0,
13523421,8,2012-07-18,EML_NTR,0,,0,
13523421,9,2012-07-18,EML_NTR,0,,0,
13523421,7,2012-07-18,PA..,0,,0,
13523421,5,2012-07-18,FLRCPT.O,0,,0,
13523421,11,2012-08-09,DOCK,0,,0,
13523421,17,2012-09-12,CTNF,0,,0,
13523421,20,2012-09-18,EML_NTF,0,,0,
13523421,19,2012-09-18,MCTNF,0,,0,
13523421,21,2012-09-19,ELC_RVW,0,,0,
13523421,22,2012-10-25,PG-ISSUE,0,,0,
13523421,23,2012-10-26,EML_NTR,0,,0,
13523421,25,2012-12-10,EIDS.,0,,0,
13523421,30,2012-12-10,IDSC,0,,0,
13523421,24,2012-12-10,WIDS,0,,0,
13523421,26,2012-12-18,A...,0,,0,
13523421,41,2012-12-18,DIST,0,,0,
13523421,28,2012-12-18,DIST,0,,0,
13523421,27,2012-12-30,FWDX,0,,0,
13523421,31,2013-01-07,CTFR,0,,0,
13523421,34,2013-01-10,EML_NTF,0,,0,
13523421,33,2013-01-10,MCTFR,0,,0,
13523421,35,2013-01-10,ELC_RVW,0,,0,
13523421,36,2013-03-11,BRCE,0,,0,
12408411,28,2011-08-17,MCTRS,454,PTO,.5,
12408411,29,2011-09-09,ELC.,0,,0,
12408411,30,2011-09-19,FWDX,0,,0,
12408411,37,2011-09-29,CTNF,0,,0,
12408411,39,2011-10-03,MCTNF,0,,0,
12408411,41,2011-12-19,A...,0,,0,
12408411,45,2011-12-19,IDSC,0,,0,
12408411,43,2011-12-19,EIDS.,0,,0,
12408411,44,2011-12-19,RCAP,0,,0,
12408411,40,2011-12-19,WIDS,0,,0,
12408411,42,2011-12-22,FWDX,0,,0,
12408411,46,2012-03-26,CTFR,0,,0,
12408411,48,2012-03-28,MCTFR,0,,0,
12408411,51,2012-05-23,EXIA,0,,0,
12408411,49,2012-05-25,A.NE,0,,0,
12408411,50,2012-05-26,FWDX,0,,0,
12408411,53,2012-06-01,MEXIA,0,,0,
12408411,54,2012-06-22,CTAV,0,,0,
12408411,58,2012-07-10,MCTAV,0,,0,
12408411,59,2012-07-26,BRCE,0,,0,
12408411,61,2012-07-26,RCEX,28,APPL,48,
12408411,60,2012-07-30,ABN9,0,,0,
12408411,62,2012-09-10,WIDS,0,,0,
12408411,63,2012-09-10,EIDS.,0,,0,
12408411,64,2012-09-10,IDSC,0,,0,
12408411,69,2013-09-20,EIDS.,421,APPL,61,
12408411,70,2013-09-20,WIDS,0,,0,
12408411,71,2013-09-20,IDSC,0,,0,
12408411,75,2014-02-03,EXIE,0,,0,
12408411,76,2014-02-03,EXET,0,,0,
12408411,74,2014-02-09,EX.R,0,,0,
12408411,73,2014-02-09,EX.A,0,,0,
12944317,22,2012-05-18,EML_NTR,0,,0,
12944317,23,2012-07-31,WIDS,0,,0,
12944317,24,2012-07-31,M844,0,,0,
12944317,25,2012-07-31,RCAP,0,,0,
12944317,37,2012-07-31,IDSC,0,,0,
12944317,27,2013-01-18,CTRS,0,,0,
12944317,29,2013-01-24,MCTRS,379,PTO,.5,
12944317,30,2013-01-24,EML_NTF,0,,0,
12944317,31,2013-02-01,PST_CRD,0,,0,
12944317,32,2013-06-24,XT/G,0,,0,
12944317,33,2013-06-24,ELC.,61,APPL,29,
12944317,34,2013-06-26,FWDX,0,,0,
12944317,35,2013-06-27,TI1050,0,,0,
12944317,36,2013-06-28,DOCK,0,,0,
12944317,43,2013-07-26,CTNF,0,,0,
12944317,46,2013-07-31,EML_NTF,0,,0,
12944317,47,2013-07-31,ELC_RVW,0,,0,
12944317,45,2013-07-31,MCTNF,0,,0,
13870460,37,2014-02-19,ELC_RVW,0,,0,
13870460,36,2014-02-19,EML_NTF,0,,0,
13870460,38,2014-03-21,A.NE,0,,0,
13870460,39,2014-03-22,FWDX,0,,0,
13870460,40,2014-03-24,CTAV,0,,0,
13870460,42,2014-03-27,MCTAV,0,,0,
13870460,43,2014-03-27,EML_NTR,0,,0,
13870460,45,2014-04-08,EXIA,0,,0,
13870460,44,2014-04-08,EXAT,0,,0,
13870460,46,2014-04-09,A.NE,0,,0,
13870460,47,2014-04-10,FWDX,0,,0,
13870460,51,2014-04-18,MEXAT,0,,0,
13870460,54,2014-04-21,EX.R,0,,0,
13870460,55,2014-04-23,N/=.,0,,0,
13870460,56,2014-04-23,DVER,0,,0,
13870460,62,2014-04-28,ELC_RVW,0,,0,
13870460,60,2014-04-28,MN/=.,0,,0,
13870460,61,2014-04-28,EML_NTF,0,,0,
13870460,64,2014-06-04,IFEE,0,,0,
13870460,65,2014-06-04,N084,0,,0,
13870460,66,2014-06-12,PILS,0,,0,
13870460,68,2014-06-16,D1935,0,,0,
13870460,70,2014-07-15,PTAC,0,,0,
13870460,70.5,2014-07-15,PTA36M,0,,.5,
11883071,128,2014-07-15,PTAC,734,,76,
