application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
12162470,105,2014-06-30,TCPB,0,,0,
12162470,110,2014-07-01,N084,0,,0,
12162470,108,2014-07-01,LET.,57,APPL,115,
12162470,107,2014-07-01,IFEE,0,,0,
12162470,111,2014-07-12,PILS,0,,0,
12162470,112,2014-07-14,D1935,0,,0,
12162470,113,2014-07-25,D1935,0,,0,
12162470,115,2014-08-26,PTAC,0,,0,
12162470,115.5,2012-02-09,PTA36M,196,PTO,115.4,
11234634,96,2013-11-08,PA..,0,,0,
11234634,97,2013-11-08,EML_NTR,0,,0,
11234634,99,2013-11-18,P574,0,,0,
11234634,102,2013-11-22,RCAP,0,,0,
11234634,100,2013-11-22,WIDS,0,,0,
11234634,101,2013-11-22,M844,0,,0,
11234634,103,2014-01-09,ABN2,0,,0,
11234634,105,2014-01-14,MABN2,0,,0,
11234634,106,2014-01-14,EML_NTR,0,,0,
11234634,108,2014-01-22,PREV,0,,0,
11234634,107,2014-01-22,PET.,0,,0,
11234634,109,2014-01-23,MPREV,79,APPL,103,
11234634,110,2014-02-12,NRAB,0,,0,
11234634,113,2014-02-12,FWDX,0,,0,
11234634,111,2014-02-14,MNRAB,0,,0,
11234634,116,2014-04-09,IDSC,0,,0,
11234634,121,2014-04-10,DVER,0,,0,
11234634,118,2014-04-10,EX.R,0,,0,
11234634,120,2014-04-10,N/=.,0,,0,
11234634,119,2014-04-10,DOCK,0,,0,
13196310,36,2014-07-21,N084,0,,0,
13196310,37,2014-07-26,PILS,0,,0,
13196310,38,2014-07-28,D1935,0,,0,
13196310,39,2014-07-28,D1935,0,,0,
13196310,42,2014-08-26,PTAC,0,,0,
13196310,42.5,2014-08-26,PTA36M,24,PTO,.5,
13174740,61,2013-12-19,RCEX,0,,0,
13174740,57,2013-12-19,WIDS,0,,0,
13174740,64,2013-12-19,M844,0,,0,
13174740,65,2013-12-19,RCAP,0,,0,
13174740,68,2013-12-19,IDSC,0,,0,
13174740,63,2013-12-20,FWDX,0,,0,
13174740,60,2013-12-20,ABN9,0,,0,
13174740,58,2013-12-20,DOCK,0,,0,
13174740,66,2014-01-24,DOCK,0,,0,
13174740,69,2014-01-28,CTNF,0,,0,
13174740,74,2014-02-04,EML_NTF,0,,0,
13174740,75,2014-02-04,ELC_RVW,0,,0,
13174740,73,2014-02-04,MCTNF,0,,0,
13174740,83,2014-05-05,EXIE,0,,0,
13174740,76,2014-05-05,A...,0,,0,
13174740,84,2014-05-05,EXET,0,,0,
13174740,77,2014-05-11,FWDX,0,,0,
13174740,81,2014-05-13,EX.A,0,,0,
13174740,82,2014-05-13,EX.R,0,,0,
13174740,85,2014-05-14,N/=.,0,,0,
13174740,86,2014-05-14,DVER,0,,0,
13174740,95,2014-05-16,ELC_RVW,0,,0,
13174740,93,2014-05-16,MN/=.,0,,0,
13174740,94,2014-05-16,EML_NTF,0,,0,
13798463,.5,2013-03-13,EFILE,0,,0,
13798463,21,2013-11-06,MCTNF,0,,.5,
13798463,26,2014-02-24,MCTFR,0,,22,
13798463,37,2014-05-12,MN/=.,0,,27,
13798463,46,2014-08-26,PTAC,0,,41,
13798463,22,2014-02-06,A...,0,,21,
14078581,9,2013-12-05,EML_NTR,0,,0,
14078581,6,2013-12-05,FLRCPT.O,0,,0,
14078581,8,2013-12-05,PA..,0,,0,
14078581,11,2013-12-05,COMP,0,,0,
14078581,10,2013-12-05,EML_NTR,0,,0,
14078581,13,2013-12-16,EIDS.,0,,0,
14078581,17,2013-12-16,EIDS.,0,,0,
14078581,12,2013-12-16,WIDS,0,,0,
14078581,16,2014-04-01,FTFS,0,,0,
14078581,15,2014-04-01,OIPE,0,,0,
14078581,18,2014-04-28,DOCK,0,,0,
14078581,19,2014-04-29,IDSC,0,,0,
14078581,25,2014-04-30,EX.R,0,,0,
14078581,24,2014-04-30,EX.A,0,,0,
14078581,27,2014-05-05,N/=.,0,,0,
14078581,26,2014-05-05,DOCK,0,,0,
13065915,44,2013-03-05,MCTFR,85,PTO,35,
13065915,46,2013-03-05,ELC_RVW,0,,0,
13065915,45,2013-03-05,EML_NTF,0,,0,
13065915,47,2013-04-17,BRCE,0,,0,
13065915,49,2013-04-17,RCEX,0,,0,
13065915,51,2013-04-18,FWDX,0,,0,
13835966,.5,2013-03-15,EFILE,0,,0,
13835966,26,2014-02-25,MCTEQ,0,,.5,
13835966,38,2014-05-09,MN/=.,0,,27,
13835966,46,2014-08-26,PTAC,0,,42,
13835966,27,2014-04-28,A.QU,0,,26,
13835966,42,2014-07-17,N084,0,,38,
11183267,137,2014-04-07,EX.R,0,,0,
13631128,34,2013-09-10,MCTNF,0,,0,
13631128,36,2013-09-10,ELC_RVW,0,,0,
13631128,35,2013-09-10,EML_NTF,0,,0,
13631128,38,2014-01-10,A...,31,APPL,34,
13631128,37,2014-01-10,XT/G,0,,0,
13631128,39,2014-01-17,FWDX,0,,0,
13631128,41,2014-01-23,EXIE,0,,0,
