application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11905948,24,2010-07-23,M844,0,,0,
11905948,22,2010-07-23,WIDS,0,,0,
11905948,23,2010-07-23,RCAP,0,,0,
11905948,26,2010-07-23,IDSC,0,,0,
11905948,33,2010-09-13,CTNF,0,,0,
11905948,34,2010-09-14,MCTNF,648,PTO,.5,
11905948,35,2011-01-14,XT/G,0,,0,
11905948,36,2011-01-14,A...,31,APPL,34,
11905948,37,2011-01-20,FWDX,0,,0,
11905948,38,2011-03-10,WIDS,0,,0,
11905948,40,2011-03-10,RCAP,0,,0,
11905948,41,2011-03-10,IDSC,0,,0,
11905948,39,2011-03-10,M844,55,APPL,36,
11905948,42,2011-03-28,CTFR,0,,0,
11905948,43,2011-03-30,MCTFR,0,,0,
11905948,47,2011-08-01,XT/G,0,,0,
11905948,46,2011-08-01,BRCE,0,,0,
11905948,49,2011-08-01,RCEX,32,APPL,43,
11905948,51,2011-08-04,FWDX,0,,0,
11905948,48,2011-08-04,ABN9,0,,0,
11905948,52,2011-10-03,CTNF,0,,0,
11905948,55,2011-10-11,MCTNF,0,,0,
11905948,56,2012-01-11,A...,0,,0,
11905948,57,2012-01-20,FWDX,0,,0,
11905948,60,2012-02-16,RCAP,0,,0,
11905948,61,2012-02-16,M844,36,APPL,56,
11905948,62,2012-02-16,IDSC,0,,0,
11905948,59,2012-02-16,WIDS,0,,0,
11905948,58,2012-02-16,WIDS,0,,0,
11905948,63,2012-02-16,IDSC,0,,0,
11905948,64,2012-03-24,CTFR,0,,0,
13135844,33,2014-02-04,RCAP,0,,0,
13135844,32,2014-02-04,M844,21,APPL,26,
13135844,30,2014-02-05,MCTFR,0,,0,
13135844,40,2014-05-02,EXAT,0,,0,
13135844,39,2014-05-02,EXIA,0,,0,
13135844,34,2014-05-04,RAFC,0,,0,
13135844,35,2014-05-04,A.NE,0,,0,
13135844,36,2014-05-06,FWDX,0,,0,
13135844,37,2014-05-13,IDSC,0,,0,
13135844,42,2014-05-14,DVER,0,,0,
13135844,41,2014-05-14,N/=.,0,,0,
13135844,47,2014-05-15,MN/=.,0,,0,
13135844,49,2014-06-11,WIDS,0,,0,
13135844,52,2014-06-11,RCAP,0,,0,
13135844,51,2014-06-11,M844,0,,0,
13135844,53,2014-07-30,PUBTC,0,,0,
13135844,54,2014-07-31,IDSC,0,,0,
13135844,55,2014-07-31,M327,0,,0,
13135844,57,2014-08-04,MM327,55,APPL,49,
13135844,58,2014-08-04,TCPB,0,,0,
13135844,60,2014-08-12,A.NA,0,,0,
13135844,59,2014-08-15,IFEE,0,,0,
13135844,61,2014-08-15,N084,0,,0,
13135844,62,2014-08-19,PUBTC,0,,0,
13135844,64,2014-08-20,PILS,0,,0,
12544517,11,2010-02-03,PGPC,0,,0,
12544517,12,2010-02-22,OIPE,0,,0,
12544517,13,2010-08-23,C.AD,0,,0,
12544517,14,2010-08-25,PA..,0,,0,
12544517,15,2011-02-05,DOCK,0,,0,
12544517,16,2011-03-07,DOCK,0,,0,
12835098,59,2014-05-27,MN/=.,0,,0,
12835098,60,2014-05-27,EML_NTF,0,,0,
12835098,62,2014-05-27,ELC_RVW,0,,0,
12835098,64,2014-08-19,IFEE,0,,0,
12835098,66,2014-08-19,BIG.,0,,0,
14079441,14,2013-11-27,EML_NTR,0,,0,
14079441,13,2013-11-27,EML_NTR,0,,0,
14079441,15,2013-11-27,COMP,0,,0,
14079441,16,2013-12-09,DOCK,0,,0,
14079441,17,2013-12-16,CTNF,0,,0,
14079441,21,2014-01-22,MCTNF,0,,0,
14079441,23,2014-01-22,ELC_RVW,0,,0,
14079441,22,2014-01-22,EML_NTF,0,,0,
14079441,24,2014-03-06,PG-ISSUE,0,,0,
14079441,25,2014-03-07,EML_NTR,0,,0,
14079441,26,2014-04-22,DIST,0,,0,
14079441,28,2014-04-22,A...,0,,0,
14079441,27,2014-04-23,P574,0,,0,
14079441,29,2014-04-25,FWDX,0,,0,
14079441,40,2014-05-05,EX.A,0,,0,
14079441,42,2014-05-12,N/=.,0,,0,
14079441,41,2014-05-12,DVER,0,,0,
13917531,7,2013-07-15,FLRCPT.O,0,,0,
13917531,12,2013-07-15,EML_NTR,0,,0,
13917531,10,2013-07-15,PA..,0,,0,
13917531,13,2013-07-15,COMP,0,,0,
13917531,11,2013-07-15,EML_NTR,0,,0,
13917531,17,2013-08-06,EIDS.,0,,0,
13917531,15,2013-08-06,WIDS,0,,0,
13917531,14,2013-08-06,OIPE,0,,0,
13917531,19,2013-08-30,DOCK,0,,0,
13917531,20,2013-10-24,PG-ISSUE,0,,0,
13917531,21,2013-10-25,EML_NTR,0,,0,
13917531,22,2014-03-25,LET.,0,,0,
13917531,23,2014-03-25,A.PE,0,,0,
13917531,29,2014-05-13,EX.R,0,,0,
13917531,25,2014-05-13,IDSC,0,,0,
13917531,24,2014-05-13,IDSC,0,,0,
13917531,31,2014-05-15,DVER,0,,0,
13633550,36,2014-05-07,FWDX,0,,0,
13633550,42,2014-05-22,MN/=.,0,,0,
13633550,39,2014-05-22,DVER,0,,0,
13633550,38,2014-05-22,N/=.,0,,0,
13633550,46,2014-08-21,N084,0,,0,
13633550,45,2014-08-21,IFEE,0,,0,
13633550,47,2014-08-22,PILS,0,,0,
13633550,48,2014-08-22,D1935,0,,0,
13633550,50,2014-09-23,PTAC,0,,0,
13633550,50.5,2014-09-23,PTA36M,0,,.5,
13171995,.5,2011-06-29,EFILE,0,,0,
13171995,65,2014-09-23,PTAC,476,,31,
13171995,27,2013-03-07,MCTFR,0,,23,
13171995,54,2014-07-16,MN/=.,0,,42,
13171995,65,2014-09-23,PTAC,0,,59,
13171995,0,2014-09-23,PTA36M,0,,0,
13171995,31,2013-06-05,RCEX,0,,27,
13171995,42,2014-06-20,A...,0,,39,
11905948,67,2012-03-29,MCTFR,0,,0,
11905948,68,2012-06-29,N/AP,0,,0,
11905948,69,2012-06-29,AP.C,0,,0,
11905948,70,2012-08-16,APCR,0,,0,
11905948,72,2012-08-20,MAPCR,0,,0,
11905948,73,2012-08-20,FWDX,0,,0,
11905948,74,2012-10-20,CTNF,0,,0,
11905948,76,2012-10-23,MCTNF,0,,0,
11905948,77,2013-01-23,A...,0,,0,
11905948,78,2013-02-01,FWDX,0,,0,
11905948,79,2013-04-04,CTFR,0,,0,
11905948,81,2013-04-10,MCTFR,0,,0,
11905948,82,2013-07-10,A.NE,0,,0,
11905948,83,2013-07-11,FWDX,0,,0,
11905948,84,2013-07-22,CTAV,0,,0,
11905948,86,2013-07-23,MCTAV,0,,0,
11905948,89,2013-08-20,P574,0,,0,
11905948,88,2013-08-20,DIST,0,,0,
11905948,87,2013-08-20,DIST,0,,0,
11905948,90,2013-08-20,P574,0,,0,
11905948,92,2013-10-10,N/AP,0,,0,
11905948,91,2013-10-10,XT/G,0,,0,
