application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
13279802,68,2014-07-25,MN/=.,0,,55,
13279802,78,2014-09-30,PTAC,0,,73,
13279802,30,2013-10-31,A...,0,,26,
13279802,44,2014-02-27,RCEX,0,,35,
13279802,55,2014-07-02,A...,0,,49,
13279802,73,2014-08-29,N084,0,,68,
13279802,2,2011-10-24,SCAN,0,,0,
13279802,3,2011-10-24,WIDS,0,,0,
13279802,18,2011-10-24,IDSC,0,,0,
13279802,12,2011-10-24,M844,0,,0,
13279802,7,2011-10-24,PDREQUST,0,,0,
13279802,1,2011-10-24,IEXX,0,,0,
13870229,35,2014-06-15,EX.R,0,,0,
13870229,38,2014-06-21,N/=.,0,,0,
13870229,37,2014-06-21,DVER,0,,0,
13870229,36,2014-06-21,DVER,0,,0,
13870229,45,2014-06-30,MN/=.,5,PTO,.5,
13870229,48,2014-06-30,ELC_RVW,0,,0,
13870229,46,2014-06-30,EML_NTF,0,,0,
13870229,51,2014-08-21,N084,0,,0,
13870229,50,2014-08-21,IFEE,0,,0,
13870229,52,2014-08-21,REAS,0,,0,
13870229,53,2014-08-22,PILS,0,,0,
13272484,.5,2011-10-13,EFILE,0,,0,
13299004,114,2014-07-30,EML_NTF,0,,0,
13299004,129,2014-07-30,A.NA,0,,0,
13299004,117,2014-07-31,LET.,0,,0,
13299004,122,2014-08-22,IDSC,0,,0,
13299004,120,2014-08-22,PUBTC,0,,0,
13299004,123,2014-08-25,CNOA,0,,0,
13299004,125,2014-08-28,MCNOA,43,APPL,111,
13299004,126,2014-08-28,EML_NTR,0,,0,
13299004,130,2014-08-29,N271,0,,0,
13299004,132,2014-09-02,FLRCPT.C,0,,0,
13299004,133,2014-09-02,EML_NTR,0,,0,
13299004,135,2014-09-03,EML_NTR,0,,0,
13299004,131,2014-09-03,MN271,0,,0,
13299004,137,2014-09-30,PTAC,0,,0,
13299004,137.5,2014-01-01,PTA36M,0,,.5,
13569840,20,2013-08-08,PG-ISSUE,0,,0,
13569840,21,2013-09-25,A...,0,,0,
13569840,22,2013-09-27,FWDX,0,,0,
13569840,24,2013-12-23,CTFR,0,,0,
13569840,27,2013-12-30,EML_NTF,0,,0,
13569840,26,2013-12-30,MCTFR,0,,0,
13569840,28,2013-12-30,ELC_RVW,0,,0,
13569840,29,2014-04-30,A.NE,30,APPL,26,
13569840,30,2014-05-02,FWDX,0,,0,
13569840,34,2014-05-04,EX.R,0,,0,
13569840,35,2014-05-08,DOCK,0,,0,
13569840,36,2014-05-08,N/=.,0,,0,
13569840,37,2014-05-08,DVER,0,,0,
13569840,45,2014-05-23,EML_NTF,0,,0,
13569840,44,2014-05-23,MN/=.,0,,0,
13569840,46,2014-05-23,ELC_RVW,0,,0,
13569840,49,2014-08-19,IFEE,0,,0,
13569840,50,2014-08-19,N084,0,,0,
13569840,52,2014-08-20,D1935,0,,0,
13569840,51,2014-08-20,PILS,0,,0,
13569840,54,2014-09-30,PTAC,0,,0,
13569840,54.5,2014-09-30,PTA36M,0,,.5,
14084544,45,2014-09-30,PTAC,0,,41,
14084544,28,2014-05-12,A...,0,,22,
14084544,41,2014-08-26,N084,0,,37,
14084544,1,2013-11-19,IEXX,0,,0,
14084544,17,2013-11-19,IDSC,0,,0,
14084544,15,2013-11-19,RCAP,0,,0,
14084544,14,2013-11-19,M844,0,,0,
14084544,13,2013-11-19,C602,0,,0,
14084544,4,2013-11-19,WIDS,0,,0,
14084544,2,2013-11-19,BIG.,0,,0,
13547256,26,2014-06-17,DVER,0,,0,
13547256,31,2014-06-19,MN/=.,280,PTO,.5,
13547256,34,2014-08-27,IFEE,0,,0,
13547256,35,2014-08-27,N084,0,,0,
13547256,36,2014-08-29,PILS,0,,0,
13547256,37,2014-08-29,D1935,0,,0,
13547256,39,2014-09-30,PTAC,0,,0,
13547256,39.5,2014-09-30,PTA36M,0,,.5,
12915898,38,2013-10-17,MCTNF,0,,0,
12915898,39,2013-12-24,A...,0,,0,
12915898,40,2014-01-06,FWDX,0,,0,
12915898,41,2014-01-31,CTFR,0,,0,
12915898,43,2014-02-04,MCTFR,0,,0,
12915898,44,2014-04-04,A.NE,0,,0,
12915898,45,2014-04-09,FWDX,0,,0,
12915898,47,2014-05-15,EX.R,0,,0,
12915898,48,2014-05-23,DOCK,0,,0,
12915898,50,2014-05-23,DVER,0,,0,
12915898,49,2014-05-23,N/=.,0,,0,
12915898,54,2014-05-27,MN/=.,0,,0,
12808272,81,2014-09-30,PTAC,238,,46,
12808272,32,2013-01-29,MCTNF,0,,26,
12808272,42,2013-09-06,MCTFR,0,,37,
12808272,53,2014-03-25,MCTNF,0,,46,
12808272,73,2014-05-29,MN/=.,0,,54,
12808272,81,2014-09-30,PTAC,0,,77,
12808272,26,2013-01-16,ELC.,0,,25,
12808272,33,2013-05-20,A...,0,,0,
12808272,54,2014-04-24,A...,0,,53,
12808272,77,2014-08-26,N084,0,,73,
12808272,28,2010-08-25,IDSC,0,,0,
12808272,29,2010-08-25,IDSC,0,,0,
12808272,4,2010-08-25,WIDS,0,,0,
12808272,3,2010-08-25,WIDS,0,,0,
12808272,13,2010-08-25,RCAP,0,,0,
12808272,12,2010-08-25,M844,0,,0,
12808272,11,2010-08-25,M844,0,,0,
12808272,8,2011-02-25,371COMP,0,,0,
12808272,7,2011-03-22,PGPC,0,,0,
12808272,5,2011-03-22,M903,0,,0,
12808272,6,2011-03-22,FLRCPT.O,0,,0,
12808272,9,2011-04-15,OIPE,0,,0,
12808272,10,2011-06-30,PG-ISSUE,0,,0,
12808272,15,2012-05-24,DOCK,0,,0,
12808272,18,2012-10-21,DOCK,0,,0,
12808272,23,2012-12-17,CTRS,0,,0,
12808272,25,2012-12-19,MCTRS,490,PTO,81.4,
12808272,26,2013-01-16,ELC.,0,,0,
12808272,27,2013-01-18,FWDX,0,,0,
12808272,30,2013-01-28,CTNF,0,,0,
12808272,32,2013-01-29,MCTNF,0,,0,
12808272,33,2013-04-17,A...,0,,0,
12808272,35,2013-04-17,LTDR,0,,0,
12808272,33.1,2013-04-17,A.I.,0,,0,
12808272,34,2013-04-23,FWDX,0,,0,
12808272,36,2013-04-23,NINA,0,,0,
13159519,4,2011-06-14,WIDS,0,,0,
13159519,17,2011-06-14,IDSC,0,,0,
