application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
12678369,37,2013-01-17,FWDX,0,,0,
12737926,8,2011-04-15,OIPE,0,,0,
12678369,38,2013-01-22,CTFR,0,,0,
12678369,40,2013-01-23,MCTFR,0,,0,
12737926,9,2011-04-21,FLRCPT.C,0,,0,
12737926,10,2011-05-05,FLRCPT.C,0,,0,
12737926,11,2011-06-30,PG-ISSUE,0,,0,
12678369,41,2013-04-23,A.NE,0,,0,
12737926,13,2011-07-29,EIDS.,0,,0,
12678369,42,2013-04-25,FWDX,0,,0,
12737926,14,2011-07-29,RCAP,0,,0,
12737926,21,2011-07-29,IDSC,0,,0,
12678369,44,2013-04-26,EXIE,0,,0,
12737926,12,2011-07-29,WIDS,0,,0,
12737926,15,2012-02-27,DOCK,0,,0,
12737926,16,2012-04-27,M844,0,,0,
12737926,17,2012-04-27,WIDS,0,,0,
12737926,20,2012-04-27,IDSC,0,,0,
12737926,18,2012-09-24,DOCK,0,,0,
12737926,19,2012-10-11,DOCK,0,,0,
12737926,27,2012-12-28,CTNF,0,,0,
12737926,54,2013-08-26,N/=.,0,,0,
12737926,53,2013-08-26,EX.R,0,,0,
12737926,55,2013-08-26,DVER,0,,0,
12737926,60,2013-09-09,EML_NTF,0,,0,
12737926,59,2013-09-09,MN/=.,0,,0,
12737926,62,2013-09-09,ELC_RVW,0,,0,
12737926,65,2013-10-25,WIDS,0,,0,
12737926,66,2013-10-25,WIDS,0,,0,
12737926,64,2013-10-25,WIDS,0,,0,
12737926,83,2013-10-25,IDSC,0,,0,
12737926,82,2013-10-25,IDSC,0,,0,
12737926,81,2013-10-25,IDSC,0,,0,
12737926,68,2013-10-25,M844,0,,0,
12737926,70,2013-10-25,IDSC,0,,0,
12737926,67,2013-10-25,WIDS,0,,0,
12737926,69,2013-11-27,PUBTC,0,,0,
13138920,.5,2010-04-22,NEFILE,0,,0,
13138920,49.4,2011-10-24,COMMN,0,,0,
13138920,37,2013-11-07,MN/=.,0,,26,
13138920,46,2014-03-04,PTAC,0,,41,
13057536,65,2013-09-10,PTAC,0,,0,
11989000,.5,2006-07-04,NEFILE,0,,0,
11989000,85.4,2008-01-22,COMMN,0,,0,
13057536,69,2014-07-17,PET2,0,,0,
11989000,74,2013-06-06,MN/=.,332,,52,
11989000,33,2011-09-29,MCTNF,0,,23,
13057536,69.5,2013-09-10,PTA36M,0,,69.4,
11989000,38,2012-02-24,MCTFR,0,,34,
11989000,57,2012-09-28,MCTNF,0,,52,
11989000,63,2013-03-13,MCTFR,0,,59,
11989000,38,2012-02-24,MCTFR,0,,39,
11989000,74,2013-06-06,MN/=.,0,,64,
11989000,82,2013-10-15,PTAC,0,,78,
11989000,23,2011-09-06,ELC.,0,,22,
11989000,64,2013-05-20,A.NE,0,,63,
11989000,78,2013-09-03,N084,0,,74,
11989000,3,2008-01-30,L194,0,,0,
11989000,2,2008-01-30,SCAN,0,,0,
11989000,7,2009-01-05,371COMP,0,,0,
11989000,4,2009-02-05,M903,0,,0,
11989000,5,2009-02-05,FLRCPT.O,0,,0,
11989000,6,2009-02-05,PGPC,0,,0,
11989000,8,2009-02-11,OIPE,0,,0,
11989000,9,2009-02-13,FLRCPT.C,0,,0,
11989000,12,2009-02-20,RCAP,0,,0,
11989000,25,2009-02-20,IDSC,0,,0,
11989000,10,2009-02-20,WIDS,0,,0,
11989000,11,2009-02-20,M844,0,,0,
11989000,13,2009-05-28,PG-ISSUE,0,,0,
11989000,16,2009-06-29,TSSCOMP,0,,0,
11989000,17,2009-08-12,DOCK,0,,0,
11989000,18,2010-02-25,DOCK,0,,0,
11989000,20,2011-08-01,CTRS,0,,0,
11989000,22,2011-08-08,MCTRS,671,PTO,85.4,
12599591,6,2010-05-18,371COMP,0,,0,
12599591,3,2010-07-22,M903,0,,0,
12599591,4,2010-07-22,FLRCPT.O,0,,0,
12599591,5,2010-07-22,PGPC,0,,0,
12599591,7,2010-08-18,OIPE,0,,0,
12599591,10,2010-09-13,DOCK,0,,0,
12599591,11,2010-10-28,PG-ISSUE,0,,0,
12599591,12,2010-10-29,EML_NTR,0,,0,
12599591,14,2012-01-27,CTRS,0,,0,
12599591,16,2012-02-02,MCTRS,386,PTO,61.4,
12599591,18,2012-02-02,ELC_RVW,0,,0,
12599591,17,2012-02-02,EML_NTF,0,,0,
12599591,19,2012-03-02,ELC.,0,,0,
12599591,19.1,2012-03-02,A.I.,0,,0,
12599591,20,2012-03-05,FWDX,0,,0,
12599591,23,2012-03-19,RCAP,0,,0,
12599591,22,2012-03-19,M844,0,,0,
12599591,37,2012-03-19,IDSC,0,,0,
12599591,21,2012-03-19,WIDS,0,,0,
12599591,26,2012-03-27,EML_NTR,0,,0,
12599591,25,2012-03-27,NINA,0,,0,
13574742,25,2013-04-15,WIDS,0,,0,
13574742,42,2013-04-15,IDSC,0,,0,
13574742,29,2013-04-18,ELC_RVW,0,,0,
13574742,26,2013-04-18,MCTNF,0,,0,
13574742,28,2013-04-18,EML_NTF,0,,0,
13574742,31,2013-05-03,EXAT,0,,0,
13574742,32,2013-05-03,EXIA,0,,0,
13574742,30,2013-05-10,LET.,0,,0,
13574742,39,2013-06-12,MEXAT,0,,0,
13574742,40,2013-07-15,A...,0,,0,
13574742,41,2013-07-17,FWDX,0,,0,
13574742,44,2013-11-06,DVER,0,,0,
13574742,45,2013-11-06,DVER,0,,0,
13574742,46,2013-11-06,DVER,0,,0,
12734631,.5,2008-10-09,NEFILE,0,,0,
12734631,51.4,2010-05-13,COMMN,0,,0,
12734631,30,2012-12-12,MCTFR,0,,26,
12734631,39,2013-03-20,MN/=.,0,,31,
12734631,48,2013-07-16,PTAC,0,,43,
12734631,31,2013-03-12,A.NE,0,,30,
12734631,43,2013-06-18,N084,0,,39,
12734631,12,2010-05-13,RQPR,0,,0,
12734631,1,2010-05-13,IEXX,0,,0,
12734631,11,2010-05-13,A.PE,0,,0,
12734631,2,2010-05-19,L194,0,,0,
12993249,20,2011-01-25,RCAP,0,,0,
12993249,19,2011-01-25,M844,0,,0,
12993249,29,2011-01-25,IDSC,0,,0,
12993249,15,2011-02-04,371COMP,0,,0,
12993249,11,2011-02-04,ADDFLFEE,0,,0,
12993249,10,2011-02-04,OATHDECL,0,,0,
12993249,9,2011-03-10,C.AD,0,,0,
12993249,12,2011-03-11,M903,0,,0,
12993249,13,2011-03-11,FLRCPT.O,0,,0,
12993249,14,2011-03-11,PGPC,0,,0,
12993249,16,2011-03-25,OIPE,0,,0,
12993249,21,2011-04-19,DOCK,0,,0,
12993249,22,2011-06-23,PG-ISSUE,0,,0,
12990621,39,2013-09-23,N/=.,0,,0,
12990621,40,2013-09-23,DVER,0,,0,
12990621,44,2013-09-26,MN/=.,0,,0,
12990621,45,2013-09-26,EML_NTF,0,,0,
12990621,46,2013-09-26,ELC_RVW,0,,0,
12990621,55,2013-10-18,M844,0,,0,
12990621,54,2013-10-18,RCEX,0,,0,
12990621,52,2013-10-18,IDSC,0,,0,
12990621,49,2013-10-18,WIDS,0,,0,
12990621,56,2013-10-18,RCAP,0,,0,
12990621,48,2013-10-18,BRCE,0,,0,
12990621,58,2013-10-24,EX.A,0,,0,
12990621,53,2013-10-24,ABN9,0,,0,
12602470,40,2013-07-29,MCTNF,240,,0,
13819141,.5,2011-09-02,NEFILE,0,,0,
13819141,44.4,2013-02-26,COMMN,0,,0,
13819141,27,2013-06-25,MN/=.,0,,44.4,
13819141,37,2013-10-22,PTAC,0,,33,
13819141,33,2013-09-20,N084,0,,27,
13819141,1,2013-02-26,IEXX,0,,0,
13819141,3,2013-02-26,WIDS,0,,0,
13819141,12,2013-02-26,EIDS.,0,,0,
13819141,13,2013-02-26,RQPR,0,,0,
13819141,11,2013-02-26,A.PE,0,,0,
13819141,7,2013-02-26,371COMP,0,,0,
13819141,18,2013-02-26,IDSC,0,,0,
13819141,2,2013-02-26,L194,0,,0,
13819141,6,2013-03-11,PGPC,0,,0,
13819141,4,2013-03-12,M903,0,,0,
13819141,8,2013-03-12,EML_NTR,0,,0,
13819141,5,2013-03-12,FLRCPT.O,0,,0,
13819141,9,2013-03-12,EML_NTR,0,,0,
13819141,10,2013-03-28,OIPE,0,,0,
13819141,14,2013-05-16,DOCK,0,,0,
13819141,20,2013-06-17,EX.R,0,,0,
13819141,21,2013-06-17,N/=.,0,,0,
13819141,23,2013-06-20,DVER,0,,0,
13819141,22,2013-06-20,PG-ISSUE,0,,0,
13819141,26,2013-06-21,EML_NTR,0,,0,
13819141,29,2013-06-25,ELC_RVW,0,,0,
13819141,27,2013-06-25,MN/=.,0,,0,
13819141,28,2013-06-25,EML_NTF,0,,0,
13819141,32,2013-09-20,IFEE,0,,0,
13819141,33,2013-09-20,N084,0,,0,
13819141,35,2013-09-25,D1935,0,,0,
13819141,34,2013-09-25,PILS,0,,0,
12528692,8,2009-09-11,371COMP,0,,0,
12528692,7,2009-12-28,PGPC,0,,0,
12528692,5,2009-12-28,M903,0,,0,
12528692,6,2009-12-28,FLRCPT.O,0,,0,
12528692,9,2010-01-19,OIPE,0,,0,
12528692,10,2010-04-08,PG-ISSUE,0,,0,
12528692,11,2010-04-09,EML_NTR,0,,0,
12528692,13,2010-07-08,DOCK,0,,0,
12528692,14,2010-09-02,WIDS,0,,0,
12528692,15,2010-09-02,WIDS,0,,0,
12528692,16,2010-09-02,M844,0,,0,
12528692,20,2010-09-02,IDSC,0,,0,
12528692,18,2010-09-02,IDSC,0,,0,
12528692,17,2011-08-29,DOCK,0,,0,
12528692,24,2011-09-06,CTNF,0,,0,
12528692,28,2011-09-12,ELC_RVW,0,,0,
12528692,26,2011-09-12,MCTNF,319,PTO,79.4,
12528692,27,2011-09-12,EML_NTF,0,,0,
12528692,30,2012-03-12,A...,91,APPL,26,
12528692,29,2012-03-12,XT/G,0,,0,
12528692,31,2012-03-16,FWDX,0,,0,
12528692,32,2012-03-23,CTFR,0,,0,
12528692,34,2012-04-02,MCTFR,0,,0,
12528692,35,2012-04-02,EML_NTF,0,,0,
12528692,36,2012-04-02,ELC_RVW,0,,0,
12528692,38,2012-09-28,BRCE,0,,0,
12528692,39,2012-09-28,XT/G,0,,0,
12528692,41,2012-09-28,RCEX,88,APPL,34,
12528692,40,2012-10-06,ABN9,0,,0,
10557219,80,2013-08-07,DVER,0,,0,
10557219,79,2013-08-07,N/=.,0,,0,
10557219,85,2013-08-09,EML_NTF,0,,0,
10557219,86,2013-08-09,ELC_RVW,0,,0,
