application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
13118122,130,2014-05-22,M844,16,APPL,126,
13118122,133,2014-05-28,IDSC,0,,0,
13118122,131,2014-05-28,IDSC,0,,0,
13118122,134,2014-05-28,CTFR,0,,0,
13118122,132,2014-05-28,IDSC,0,,0,
13118122,142,2014-06-18,MCTFR,0,,0,
13118122,143,2014-06-24,EXAT,0,,0,
13118122,145,2014-06-24,EXIN,0,,0,
13118122,144,2014-06-24,EXIA,0,,0,
13118122,149,2014-06-26,MEXAT,0,,0,
13118122,150,2014-07-23,EXAT,0,,0,
10514555,86,2011-01-28,XT/G,0,,0,
10514555,88,2011-02-01,FWDX,0,,0,
10514555,89,2011-04-04,M844,66,APPL,87,
10514555,90,2011-04-04,WIDS,0,,0,
10514555,122,2011-04-04,IDSC,0,,0,
10514555,91,2011-04-07,CTFR,0,,0,
10514555,95,2011-04-13,ELC_RVW,0,,0,
10514555,93,2011-04-13,MCTFR,0,,0,
10514555,94,2011-04-13,EML_NTF,0,,0,
10514555,96,2011-09-21,EXIA,0,,0,
10514555,98,2011-09-27,MEXIA,0,,0,
10514555,99,2011-10-13,XT/G,0,,0,
10514555,100,2011-10-13,N/AP,0,,0,
10514555,101,2011-12-13,BRCE,0,,0,
10514555,103,2011-12-13,RCEX,153,APPL,93,
10514555,102,2011-12-20,ABN9,0,,0,
10514555,105,2011-12-20,FWDX,0,,0,
10514555,123,2012-03-30,IDSC,0,,0,
10514555,107,2012-03-30,M844,0,,0,
10514555,106,2012-03-30,WIDS,0,,0,
10514555,109,2012-09-04,M844,266,APPL,103,
10514555,124,2012-09-04,IDSC,0,,0,
13536474,46,2014-11-04,PTAC,0,,0,
13536474,46.5,2014-11-04,PTA36M,0,,.5,
12671326,36,2013-07-05,MCTFR,0,,0,
12671326,39,2013-10-04,A.NE,0,,0,
12671326,40,2013-10-08,FWDX,0,,0,
12671326,41,2013-10-21,CTAV,0,,0,
12671326,43,2013-10-24,MCTAV,0,,0,
12671326,44,2013-10-24,EML_NTR,0,,0,
12671326,47,2013-11-04,RCEX,28,APPL,36,
12671326,45,2013-11-04,BRCE,0,,0,
12671326,46,2013-11-05,ABN9,0,,0,
12671326,49,2013-11-05,FWDX,0,,0,
12671326,50,2013-11-26,CTNF,0,,0,
12671326,53,2013-12-05,EML_NTF,0,,0,
12671326,54,2013-12-05,ELC_RVW,0,,0,
12671326,52,2013-12-05,MCTNF,0,,0,
12671326,55,2014-03-04,C.AD,0,,0,
12671326,59,2014-03-05,A...,0,,0,
12671326,56,2014-03-07,MPEN,0,,0,
12671326,57,2014-03-07,EML_NTF,0,,0,
12671326,58,2014-03-07,ELC_RVW,0,,0,
12671326,60,2014-03-12,FWDX,0,,0,
12671326,61,2014-03-24,C.AD,0,,0,
12671326,62,2014-04-01,PA..,0,,0,
12671326,63,2014-04-01,EML_NTR,0,,0,
12671326,68,2014-06-28,EX.A,0,,0,
12671326,69,2014-06-28,EX.R,0,,0,
12671326,70,2014-06-30,N/=.,0,,0,
12671326,71,2014-06-30,DVER,0,,0,
12671326,76,2014-07-07,EML_NTF,0,,0,
12671326,75,2014-07-07,MN/=.,2,PTO,59,
12671326,77,2014-07-07,ELC_RVW,0,,0,
13738465,1,2013-01-10,IEXX,0,,0,
13738465,2,2013-01-10,SCAN,0,,0,
13738465,14,2013-01-10,EIDS.,0,,0,
13738465,13,2013-01-10,LET.,0,,0,
13738465,4,2013-01-15,L194,0,,0,
13738465,7,2013-02-14,PGPC,0,,0,
13738465,6,2013-02-15,FLRCPT.O,0,,0,
13738465,10,2013-02-15,EML_NTR,0,,0,
13738465,9,2013-02-15,EML_NTR,0,,0,
13738465,11,2013-02-15,COMP,0,,0,
13738465,8,2013-02-15,PA..,0,,0,
13738465,12,2013-04-08,OIPE,0,,0,
13738465,15,2013-08-01,PG-ISSUE,0,,0,
13738465,16,2013-08-02,EML_NTR,0,,0,
