application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
12910463,75,2014-07-17,N/=.,0,,0,
12910463,74,2014-07-17,DVER,0,,0,
12910463,80,2014-07-21,EML_NTF,0,,0,
12910463,79,2014-07-21,MN/=.,0,,0,
13767084,14,2013-05-14,RCAP,0,,0,
13767084,11,2013-05-14,WIDS,0,,0,
13767084,13,2013-05-14,M844,0,,0,
13767084,12,2013-05-16,DOCK,0,,0,
13767084,15,2013-08-15,PG-ISSUE,0,,0,
13767084,16,2013-08-16,EML_NTR,0,,0,
13767084,22,2014-07-16,IDSC,0,,0,
13767084,24,2014-07-16,EX.R,0,,0,
13767084,26,2014-07-18,N/=.,0,,0,
13767084,25,2014-07-18,DVER,0,,0,
13767084,30,2014-07-22,MN/=.,99,PTO,.5,
13767084,32,2014-07-22,ELC_RVW,0,,0,
13430213,29,2014-04-10,ELC_RVW,0,,0,
13430213,27,2014-04-10,MCTNF,319,PTO,.5,
13430213,28,2014-04-10,EML_NTF,0,,0,
13430213,30,2014-07-02,A...,0,,0,
13430213,31,2014-07-11,FWDX,0,,0,
13430213,33,2014-07-27,EX.R,0,,0,
13984299,51,2014-09-10,EXIA,0,,0,
13984299,49,2014-09-11,TCPB,0,,0,
13984299,53,2014-09-12,PILS,0,,0,
13984299,50,2014-09-12,N271,0,,0,
13984299,58,2014-09-16,D1935,0,,0,
13984299,57,2014-09-17,MN271,31,APPL,45,
13984299,59,2014-09-17,EML_NTR,0,,0,
13984299,61,2014-10-01,PUBTC,0,,0,
13984299,63,2014-10-09,EXIE,0,,0,
13984299,62,2014-10-09,EXEP,0,,0,
13984299,64,2014-10-09,EXET,0,,0,
13984299,65,2014-10-09,TCPB,0,,0,
13984299,67,2014-10-16,EXIE,0,,0,
13984299,66,2014-10-16,EXAT,0,,0,
13984299,68,2014-10-16,EXET,0,,0,
13984299,76,2014-10-22,EML_NTR,0,,0,
13984299,73,2014-10-22,MEXAT,0,,0,
13984299,72,2014-10-22,MEXEP,0,,0,
13984299,74,2014-10-22,TCPB,0,,0,
13984299,75,2014-10-22,EML_NTR,0,,0,
13984299,77,2014-11-18,PTAC,0,,0,
13984299,77.5,2014-11-18,PTA36M,0,,77.4,
13466798,.5,2012-05-08,EFILE,0,,0,
13466798,29,2014-02-11,MCTFR,0,,22,
13466798,61,2014-11-18,PTAC,0,,56,
13466798,22,2013-12-02,A...,0,,17,
13466798,32,2014-04-11,N/AP,0,,29,
13466798,56,2014-10-14,N084,0,,49,
13466798,1,2012-05-08,IEXX,0,,0,
13466798,2,2012-05-08,SCAN,0,,0,
13466798,3,2012-05-11,L194,0,,0,
13324668,51,2014-07-21,N/=.,0,,0,
