application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
12440919,81,2014-06-04,EXET,0,,0,
12440919,77,2014-06-06,SA..,101,APPL,74,
12440919,78,2014-06-09,FWDX,0,,0,
12440919,79,2014-06-12,CTNF,0,,0,
12619930,53,2012-12-19,ELC_RVW,0,,0,
12619930,54,2013-03-19,A...,0,,0,
13901960,2,2013-05-24,BIG.,0,,0,
12619930,55,2013-03-20,FWDX,0,,0,
13901960,1,2013-05-24,IEXX,0,,0,
12619930,56,2013-05-07,CTFR,0,,0,
13901960,15,2013-05-24,PDREQUST,0,,0,
12619930,59,2013-05-13,EML_NTF,0,,0,
12619930,60,2013-05-13,ELC_RVW,0,,0,
13901960,3,2013-05-24,SCAN,0,,0,
12619930,58,2013-05-13,MCTFR,0,,0,
13901960,6,2013-05-24,PDREQUST,0,,0,
12619930,61,2013-07-15,BRCE,0,,0,
13901960,4,2013-05-28,L194,0,,0,
13901960,22,2013-06-20,EIDS.,0,,0,
12619930,63,2013-07-15,RCEX,0,,0,
13901960,7,2013-06-20,WIDS,0,,0,
12619930,65,2013-07-17,FWDX,0,,0,
12619930,62,2013-07-17,ABN9,0,,0,
12619930,66,2013-07-22,CTNF,0,,0,
13901960,11,2013-06-27,EML_NTF,0,,0,
12619930,70,2013-07-26,ELC_RVW,0,,0,
13901960,10,2013-06-27,EML_NTR,0,,0,
12619930,68,2013-07-26,MCTNF,0,,0,
13901960,9,2013-06-27,CPAP,0,,0,
12619930,69,2013-07-26,EML_NTF,0,,0,
12619930,74,2013-10-25,WIDS,0,,0,
13901960,12,2013-06-27,ELC_RVW,0,,0,
12619930,75,2013-10-25,A...,0,,0,
13901960,8,2013-06-27,FLRCPT.O,0,,0,
12619930,77,2013-10-25,M844,0,,0,
13901960,14,2013-07-05,ADDFLFEE,0,,0,
13901960,13,2013-07-05,CORRDRW,0,,0,
12619930,78,2013-10-25,IDSC,0,,0,
12619930,76,2013-10-31,FWDX,0,,0,
13901960,17,2013-07-12,PGPC,0,,0,
13804355,84,2014-11-25,IFEE,0,,0,
13804355,85,2014-11-25,N084,0,,0,
13804355,86,2014-12-02,PILS,0,,0,
13804355,87,2014-12-03,D1935,0,,0,
13804355,89,2014-12-30,PTAC,0,,0,
13804355,89.5,2014-12-30,PTA36M,0,,.5,
13544383,.5,2012-07-09,EFILE,0,,0,
13544383,38,2014-08-25,MN/=.,0,,27,
13544383,48,2014-12-30,PTAC,0,,44,
13544383,44,2014-11-24,N084,0,,38,
13544383,2,2012-07-09,SCAN,0,,0,
13544383,1,2012-07-09,IEXX,0,,0,
13544383,3,2012-07-10,L194,0,,0,
13544383,5,2012-07-26,PGPC,0,,0,
13544383,6,2012-07-27,EML_NTR,0,,0,
13544383,7,2012-07-27,COMP,0,,0,
13544383,4,2012-07-27,FLRCPT.O,0,,0,
13544383,8,2012-08-22,OIPE,0,,0,
13544383,10,2012-09-26,EML_NTR,0,,0,
13544383,9,2012-09-26,PA..,0,,0,
13544383,11,2012-09-30,DOCK,0,,0,
13544383,12,2014-01-09,PG-ISSUE,0,,0,
