application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
14341239,31,2014-11-20,IFEE,0,,0,
14341239,35,2014-11-20,N084,0,,0,
14341239,32,2014-11-21,PUBTC,0,,0,
14341239,34,2014-11-24,TCPB,0,,0,
14341239,33,2014-11-24,TCPB,0,,0,
14341239,36,2014-12-04,PILS,0,,0,
14341239,37,2014-12-06,C.AD,0,,0,
14341239,38,2014-12-08,D1935,0,,0,
14341239,41,2015-01-06,PTAC,0,,0,
13708313,.5,2012-12-07,EFILE,0,,0,
13708313,54,2014-09-04,MN/=.,0,,37,
13708313,64,2015-01-06,PTAC,0,,60,
13708313,37,2014-06-03,A...,0,,34,
13708313,60,2014-11-25,N084,0,,54,
13708313,3,2012-12-07,WIDS,0,,0,
13708313,30,2012-12-07,IDSC,0,,0,
13708313,2,2012-12-07,SCAN,0,,0,
13708313,5,2012-12-07,APPERMS,0,,0,
13708313,1,2012-12-07,IEXX,0,,0,
13708313,13,2012-12-07,M844,0,,0,
13708313,14,2012-12-07,RCAP,0,,0,
13708313,4,2012-12-11,L194,0,,0,
13708313,8,2013-01-10,PGPC,0,,0,
13708313,6,2013-01-11,COMP,0,,0,
13708313,9,2013-01-11,PA..,0,,0,
13708313,7,2013-01-11,FLRCPT.O,0,,0,
13708313,11,2013-01-11,EML_NTR,0,,0,
13708313,10,2013-01-11,EML_NTR,0,,0,
13708313,12,2013-02-04,OIPE,0,,0,
13708313,15,2013-03-26,DOCK,0,,0,
14018860,39,2014-09-04,MN/=.,0,,.5,
14018860,52,2015-01-06,PTAC,0,,48,
14018860,48,2014-12-02,N084,0,,39,
14018860,3,2013-09-05,SCAN,0,,0,
14018860,4,2013-09-05,WIDS,0,,0,
14018860,1,2013-09-05,IEXX,0,,0,
14018860,14,2013-09-05,EIDS.,0,,0,
14018860,2,2013-09-05,BIG.,0,,0,
14018860,7,2013-09-05,PDREQUST,0,,0,
14018860,15,2013-09-05,A.PE,0,,0,
14018860,5,2013-09-06,L198,0,,0,
14018860,6,2013-09-10,L128,0,,0,
14018860,12,2013-10-01,COMP,0,,0,
14018860,11,2013-10-01,PA..,0,,0,
14018860,10,2013-10-01,FTFI,0,,0,
14018860,8,2013-10-01,FLRCPT.O,0,,0,
14018860,9,2013-10-01,PGPC,0,,0,
14018860,13,2013-10-03,OIPE,0,,0,
14018860,16,2014-01-03,DOCK,0,,0,
13392709,36,2014-05-13,A...,0,,0,
13392709,37,2014-05-14,FWDX,0,,0,
13392709,38,2014-06-06,WIDS,0,,0,
13392709,39,2014-06-06,M844,24,APPL,36,
13392709,40,2014-08-24,IDSC,0,,0,
13392709,41,2014-08-24,IDSC,0,,0,
13392709,43,2014-08-27,DVER,0,,0,
13392709,46,2014-08-27,N/=.,0,,0,
13392709,45,2014-08-27,DOCK,0,,0,
13392709,48,2014-09-02,MN/=.,0,,0,
13392709,49,2014-09-02,EML_NTF,0,,0,
13392709,51,2014-09-03,ELC_RVW,0,,0,
13392709,53,2014-12-01,IFEE,0,,0,
