application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
12796626,62,2014-06-10,PUBTC,0,,0,
12796626,63,2014-06-13,TCPB,0,,0,
12796626,64,2014-06-14,TCPB,0,,0,
12796626,66,2014-06-17,PILS,0,,0,
12796626,67,2015-01-22,PUBTC,0,,0,
12796626,69,2015-01-29,CNOA,0,,0,
12796626,68,2015-01-29,TCPB,0,,0,
12796626,71,2015-01-30,MCNOA,0,,0,
12796626,72,2015-02-03,D1935,0,,0,
12796626,75.5,2015-03-03,PTA36M,281,PTO,.5,
12796626,75,2015-03-03,PTAC,148,,0,
13756523,.5,2013-01-31,EFILE,0,,0,
13756523,48,2014-11-06,MN/=.,0,,35,
13756523,75,2015-03-03,PTAC,0,,72,
13756523,35,2014-10-17,A...,0,,32,
13756523,63,2015-01-14,C600,0,,48,
13756523,9,2013-04-26,FLFEE,0,,4,
13756523,67,2015-01-23,MN271,0,,0,
13756523,1,2013-01-31,IEXX,0,,0,
13756523,2,2013-02-01,SCAN,0,,0,
13756523,3,2013-02-04,L194,0,,0,
13756523,8,2013-03-01,ELC_RVW,0,,0,
13756523,4,2013-03-01,INCD,0,,0,
13756523,6,2013-03-01,EML_NTF,0,,0,
13756523,7,2013-03-01,EML_NTR,0,,0,
13756523,5,2013-03-01,FLRCPT.O,0,,0,
13756523,9,2013-04-26,OATHDECL,0,,0,
13756523,10,2013-04-26,FLFEE,0,,0,
13756523,12,2013-05-02,PGPC,0,,0,
13756523,14,2013-05-03,EML_NTR,0,,0,
13756523,16,2013-05-03,COMP,0,,0,
13756523,15,2013-05-03,EML_NTR,0,,0,
13756523,13,2013-05-03,PA..,0,,0,
13756523,11,2013-05-03,FLRCPT.U,0,,0,
13756523,17,2013-05-10,FLRCPT.U,0,,0,
13756523,18,2013-05-10,EML_NTR,0,,0,
13756523,19,2013-05-10,COMP,0,,0,
13756523,20,2013-05-21,OIPE,0,,0,
13756523,21,2013-05-22,DOCK,0,,0,
13756523,23,2013-11-18,M844,0,,0,
13756523,22,2013-11-18,WIDS,0,,0,
12543105,42,2012-08-16,ABN9,0,,0,
12543105,53,2014-07-28,EX.R,0,,0,
12543105,52,2014-07-28,EX.A,0,,0,
12543105,54,2014-08-01,DVER,0,,0,
12543105,60,2014-08-13,N/=.,0,,0,
12543105,59,2014-08-13,DOCK,0,,0,
12543105,66,2014-08-15,EML_NTF,0,,0,
13769879,28,2014-06-25,EML_NTF,0,,0,
12924993,51,2013-07-17,MPTDI,0,,0,
13769879,30,2014-09-24,A...,0,,0,
