application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
13538784,4,2012-07-13,INCD,0,,0,
13538784,5,2012-07-13,FLRCPT.O,0,,0,
13538784,7,2012-09-13,ADDFLFEE,0,,0,
13538784,6,2012-09-13,OATHDECL,0,,0,
13538784,8,2012-09-20,FLRCPT.U,0,,0,
13538784,10,2012-09-20,COMP,0,,0,
13538784,9,2012-09-20,PGPC,0,,0,
13538784,11,2012-10-16,OIPE,0,,0,
13538784,12,2012-11-15,DOCK,0,,0,
13538784,13,2013-05-09,PG-ISSUE,0,,0,
13538784,14,2013-07-26,WIDS,0,,0,
13538784,16,2013-07-26,RCAP,0,,0,
13538784,15,2013-07-26,M844,0,,0,
13538784,17,2014-04-24,DOCK,0,,0,
12982485,28,2013-04-09,CTNF,0,,0,
12982485,30,2013-04-18,MCTNF,414,PTO,.5,
12982485,31,2013-04-18,EML_NTF,0,,0,
12982485,32,2013-04-25,ELC_RVW,0,,0,
12982485,33,2013-07-18,A...,0,,0,
12982485,34,2013-07-19,FWDX,0,,0,
12982485,35,2013-10-22,CTFR,0,,0,
12982485,37,2013-10-30,MCTFR,0,,0,
12982485,38,2013-10-30,EML_NTF,0,,0,
12982485,39,2013-11-07,PST_CRD,0,,0,
12982485,40,2013-12-30,A.NE,0,,0,
12982485,41,2014-01-03,FWDX,0,,0,
12982485,43,2014-02-04,CTNF,0,,0,
12982485,46,2014-02-10,EML_NTF,0,,0,
12982485,45,2014-02-10,MCTNF,0,,0,
12982485,47,2014-02-17,ELC_RVW,0,,0,
12982485,48,2014-06-10,XT/G,0,,0,
11410846,62,2011-03-15,DIST,0,,0,
11410846,57,2011-04-07,FWDX,0,,0,
11410846,58,2011-04-25,CTAV,0,,0,
11410846,59,2011-04-26,MCTAV,0,,0,
11410846,60,2011-05-17,XT/G,0,,0,
11410846,61,2011-05-17,N/AP,29,APPL,54,
11410846,63,2011-07-30,P574,0,,0,
11410846,64,2011-08-17,XT/G,0,,0,
11410846,66,2011-08-17,AP.B,0,,0,
11410846,65,2011-09-03,APBR,0,,0,
11410846,67,2011-09-18,FWDX,0,,0,
11410846,68,2012-01-03,APEA,0,,0,
11410846,70,2012-01-05,MAPEA,0,PTO,66,
11410846,71,2012-02-11,PACC,0,,0,
