application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
13320077,61,2015-03-16,N084,0,,0,
13320077,60,2015-03-16,IFEE,0,,0,
13320077,62,2015-03-17,PILS,0,,0,
13320077,63,2015-03-17,D1935,0,,0,
14060716,.5,2013-10-23,EFILE,0,,0,
14060716,32,2014-06-27,MCTNF,0,,.5,
14060716,45,2014-11-19,MCTFR,0,,39,
14060716,60,2015-02-23,MN/=.,0,,48,
14060716,68,2015-04-21,PTAC,0,,63,
14060716,39,2014-08-07,A...,0,,32,
14060716,48,2015-01-14,A.NE,0,,45,
14060716,63,2015-03-18,N084,0,,60,
14060716,14,2013-11-27,FLFEE,0,,12,
14060716,7,2013-10-23,APPERMS,0,,0,
14060716,4,2013-10-23,SCAN,0,,0,
14060716,16,2013-10-23,NPRQ,0,,0,
14060716,1,2013-10-23,IEXX,0,,0,
14060716,2,2013-10-23,BIG.,0,,0,
14060716,6,2013-10-24,L196,0,,0,
14060716,5,2013-10-24,L198,0,,0,
14060716,21,2013-10-28,A.PE,0,,0,
14060716,12,2013-11-14,INCD,0,,0,
14060716,13,2013-11-14,PA..,0,,0,
12740078,9,2010-07-21,EML_NTR,0,,0,
12740078,4,2010-07-21,M903,0,,0,
12740078,5,2010-07-21,FLRCPT.O,0,,0,
12740078,10,2010-08-13,OIPE,0,,0,
12740078,11,2010-08-18,TI1050,0,,0,
12740078,12,2010-08-23,DOCK,0,,0,
12740078,13,2010-08-23,DOCK,0,,0,
12740078,22,2010-09-10,WIDS,0,,0,
12740078,23,2010-09-10,EIDS.,0,,0,
12740078,33,2010-09-10,IDSC,0,,0,
12740078,24,2010-10-01,CTRS,0,,0,
12740078,25,2010-10-06,DOCK,0,,0,
12740078,28,2010-10-08,ELC_RVW,0,,0,
12740078,27,2010-10-08,EML_NTF,0,,0,
12740078,26,2010-10-08,MCTRS,0,,0,
12740078,29,2010-10-28,PG-ISSUE,0,,0,
12740078,30,2010-10-29,EML_NTR,0,,0,
12740078,31,2010-11-08,ELC.,0,,0,
12740078,32,2010-11-09,FWDX,0,,0,
12740078,39,2010-11-19,CTNF,0,,0,
12740078,40,2010-11-23,MCTNF,0,,0,
12740078,42,2010-11-23,ELC_RVW,0,,0,
12740078,41,2010-11-23,EML_NTF,0,,0,
12740078,43,2011-01-03,RFAI,0,,0,
13442619,.5,2012-04-09,EFILE,0,,0,
13442619,53,2015-01-21,MN/=.,161,,28,
13442619,24,2014-02-14,MCTFR,0,,18,
13442619,41,2014-10-02,MCTNF,0,,28,
13442619,53,2015-01-21,MN/=.,0,,42,
13442619,67,2015-04-21,PTAC,0,,63,
13442619,42,2014-12-11,A...,0,,41,
13442619,60,2015-02-12,C600,0,,53,
13611762,7,2012-09-25,EML_NTR,0,,0,
13611762,5,2012-09-25,FLRCPT.O,0,,0,
13611762,8,2012-09-25,COMP,0,,0,
13611762,10,2012-10-15,C.ADB,0,,0,
13611762,11,2013-01-03,PG-ISSUE,0,,0,
13611762,12,2013-01-04,EML_NTR,0,,0,
13611762,13,2013-02-21,DOCK,0,,0,
13611762,14,2014-03-12,DOCK,0,,0,
13611762,18,2014-05-01,IDSC,0,,0,
13611762,19,2014-05-01,CTNF,0,,0,
13611762,24,2014-05-22,EML_NTF,0,,0,
13611762,23,2014-05-22,MCTNF,191,PTO,.5,
13611762,25,2014-05-22,ELC_RVW,0,,0,
13611762,26,2014-08-19,A...,0,,0,
13611762,27,2014-08-20,FWDX,0,,0,
13611762,28,2014-11-10,CTFR,0,,0,
13611762,31,2014-11-19,EML_NTF,0,,0,
13611762,30,2014-11-19,MCTFR,0,,0,
13611762,32,2014-11-19,ELC_RVW,0,,0,
13611762,33,2015-02-03,A.NE,0,,0,
13611762,35,2015-02-03,RAFC,0,,0,
13611762,34,2015-02-04,FWDX,0,,0,
13611762,40,2015-02-22,EX.R,0,,0,
13611762,39,2015-02-22,AFAC,0,,0,
13611762,42,2015-02-25,DVER,0,,0,
13611762,41,2015-02-25,N/=.,0,,0,
13744425,32,2014-08-25,ELC_RVW,0,,0,
13744425,30,2014-08-25,MCTNF,160,PTO,.5,
13744425,33,2014-12-21,XT/G,0,,0,
13744425,34,2014-12-21,A...,26,APPL,30,
13744425,35,2014-12-26,FWDX,0,,0,
13744425,38,2015-02-28,DVER,0,,0,
13744425,40,2015-03-01,N/=.,0,,0,
