application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
13596345,81,2015-04-01,C.AD,0,,0,
13596345,85,2015-04-28,PTAC,0,,0,
13596345,85.5,2015-04-28,PTA36M,0,,.5,
14162963,55.5,2015-04-28,PTA36M,0,,.5,
12859467,22,2012-07-12,CTNF,0,,0,
12859467,25,2012-07-18,EML_NTF,0,,0,
12859467,26,2012-07-18,ELC_RVW,0,,0,
12859467,24,2012-07-18,MCTNF,273,PTO,.5,
12859467,27,2012-10-09,A...,0,,0,
12859467,28,2012-10-15,FWDX,0,,0,
12859467,29,2012-10-21,CTFR,0,,0,
12859467,32,2012-10-25,EML_NTF,0,,0,
12859467,31,2012-10-25,MCTFR,0,,0,
12859467,33,2012-10-25,ELC_RVW,0,,0,
12859467,34,2012-12-21,A.NE,0,,0,
12859467,35,2012-12-26,FWDX,0,,0,
12859467,36,2013-01-02,CTAV,0,,0,
12859467,39,2013-01-07,EML_NTR,0,,0,
12859467,38,2013-01-07,MCTAV,0,,0,
12859467,40,2013-01-09,BRCE,0,,0,
12859467,42,2013-01-09,RCEX,0,,0,
12859467,41,2013-01-17,ABN9,0,,0,
12859467,44,2013-01-17,FWDX,0,,0,
12859467,46,2014-12-15,EX.A,0,,0,
12859467,50,2014-12-15,DVER,0,,0,
12859467,49,2014-12-15,N/=.,0,,0,
12859467,56,2014-12-23,ELC_RVW,0,,0,
12859467,54,2014-12-23,MN/=.,593,PTO,42,
12859467,55,2014-12-23,EML_NTF,0,,0,
12859467,59,2015-03-19,IFEE,0,,0,
12859467,60,2015-03-19,N084,0,,0,
13311779,170,2015-01-21,MN/=.,0,,157,
13311779,191,2015-04-28,PTAC,0,,180,
13311779,99,2014-05-07,A...,0,,90,
13311779,108,2014-06-24,A...,0,,105,
13311779,115,2014-08-22,RCEX,0,,112,
13311779,137,2014-10-22,A...,0,,134,
13311779,154,2014-12-10,RCEX,0,,148,
13311779,180,2015-02-12,N084,0,,170,
13311779,9,2011-12-29,ADDFLFEE,0,,5,
13311779,1,2011-12-06,IEXX,0,,0,
13311779,2,2011-12-06,SCAN,0,,0,
13311779,3,2011-12-08,L194,0,,0,
13311779,17,2011-12-15,A.PE,0,,0,
13311779,6,2011-12-20,EML_NTR,0,,0,
13311779,5,2011-12-20,INCD,0,,0,
13311779,4,2011-12-20,FLRCPT.O,0,,0,
13311779,7,2011-12-20,EML_NTF,0,,0,
13311779,8,2011-12-21,ELC_RVW,0,,0,
13311779,9,2011-12-29,OATHDECL,0,,0,
13311779,10,2011-12-29,ADDFLFEE,0,,0,
13311779,186,2015-03-11,TCPB,0,,0,
13311779,187,2015-03-11,EML_NTR,0,,0,
13311779,185,2015-03-11,MM327,0,,0,
13311779,188,2015-03-23,D1935,0,,0,
13311779,191,2015-04-28,PTAC,0,,0,
13311779,191.5,2015-04-28,PTA36M,5,PTO,.5,
13339697,51,2014-04-18,MCTFR,0,,0,
13339697,55,2014-04-18,ELC_RVW,0,,0,
13339697,57,2014-06-25,EIDS.,0,,0,
13339697,58,2014-06-25,RCAP,0,,0,
13339697,56,2014-06-25,WIDS,0,,0,
13339697,59,2014-10-20,XT/G,0,,0,
13339697,61,2014-10-20,RCEX,94,APPL,51,
13339697,79,2014-10-20,BRCE,0,,0,
13339697,64,2014-10-20,LTDR,0,,0,
13339697,63,2014-10-21,FWDX,0,,0,
13339697,60,2014-10-21,ABN9,0,,0,
13339697,65,2015-01-08,IDSC,0,,0,
13339697,68,2015-01-08,EX.R,0,,0,
13339697,66,2015-01-08,IDSC,0,,0,
13339697,72,2015-01-09,DVER,0,,0,
13339697,71,2015-01-09,N/=.,0,,0,
13339697,78,2015-01-13,ELC_RVW,0,,0,
13339697,84,2015-01-13,FRCE,0,,0,
13339697,76,2015-01-13,MN/=.,0,,0,
13339697,77,2015-01-13,EML_NTF,0,,0,
13339697,83,2015-03-30,N084,0,,0,
13339697,82,2015-03-30,IFEE,0,,0,
13339697,86,2015-04-01,D1935,0,,0,
13339697,85,2015-04-01,PILS,0,,0,
13339697,88,2015-04-28,PTAC,0,,0,
13339697,88.5,2015-04-28,PTA36M,34,PTO,.5,
13623533,8,2012-10-12,PGPC,0,,0,
13623533,11,2012-10-15,COMP,0,,0,
13623533,9,2012-10-15,EML_NTR,0,,0,
13623533,10,2012-10-15,OIPE,0,,0,
13623533,7,2012-10-15,FLRCPT.O,0,,0,
13623533,14,2012-10-26,RCAP,0,,0,
13623533,13,2012-10-26,M844,0,,0,
13623533,12,2012-10-26,WIDS,0,,0,
13623533,17,2013-06-18,RESC,0,,0,
13623533,15,2013-06-18,SREXR141,0,,0,
13623533,18,2013-06-27,PG-PB-DT,0,,0,
13623533,21,2013-06-28,ELC_RVW,0,,0,
13623533,19,2013-06-28,EML_NTF,0,,0,
13623533,20,2013-07-01,PG-RQST,0,,0,
13623533,23,2013-07-01,ELC_RVW,0,,0,
13623533,22,2013-07-01,EML_NTF,0,,0,
13623533,24,2013-08-14,DOCK,0,,0,
13623533,27,2013-11-14,DOCK,0,,0,
13623533,28,2014-02-24,WIDS,0,,0,
13623533,30,2014-02-24,RCAP,0,,0,
13623533,29,2014-02-24,M844,0,,0,
13623533,31,2014-03-20,PG-ISSUE,0,,0,
13623533,32,2014-03-21,EML_NTR,0,,0,
13742224,.5,2013-01-15,EFILE,0,,0,
13742224,51,2015-02-24,MN/=.,35,,40,
13742224,34,2015-01-16,MN/=.,0,,22,
13742224,51,2015-02-24,MN/=.,0,,40,
13742224,65,2015-04-28,PTAC,0,,55,
13742224,40,2015-01-21,RCEX,0,,34,
14038262,1,2013-09-26,IEXX,0,,0,
14038262,3,2013-09-26,SCAN,0,,0,
14038262,2,2013-09-26,BIG.,0,,0,
14038262,4,2013-10-01,L194,0,,0,
14038262,6,2013-10-10,SMAL,0,,0,
14038262,5,2013-10-10,FTFF,0,,0,
14038262,7,2013-10-10,MICR,0,,0,
14038262,10,2013-10-21,EML_NTR,0,,0,
14038262,11,2013-10-21,EML_NTF,0,,0,
14038262,8,2013-10-21,FLRCPT.O,0,,0,
14038262,9,2013-10-21,INCD,0,,0,
14038262,12,2013-10-21,ELC_RVW,0,,0,
14038262,16,2013-12-18,FLFEE,0,,0,
14038262,14,2013-12-18,CRFL,0,,0,
14038262,15,2013-12-18,SEQLIST,0,,0,
14038262,28,2013-12-18,C604,0,,0,
14038262,27,2013-12-18,LTDR,0,,0,
14038262,26,2013-12-18,A.PE,0,,0,
14038262,13,2013-12-18,CORRDRW,0,,0,
14038262,52,2014-01-06,EXIE,0,,0,
14143541,.5,2013-12-30,EFILE,0,,0,
14143541,35,2014-08-25,MCTNF,0,,.5,
14143541,47,2014-12-10,MN/=.,0,,36,
14143541,61,2015-04-28,PTAC,0,,51,
14143541,36,2014-11-20,A...,0,,35,
14143541,53,2015-03-05,C600,0,,47,
14143541,3,2013-12-30,SCAN,0,,0,
14143541,2,2013-12-30,BIG.,0,,0,
14143541,1,2013-12-30,IEXX,0,,0,
14143541,13,2014-01-03,M844,0,,0,
13780816,.5,2013-02-28,EFILE,0,,0,
13780816,43,2015-04-28,PTAC,0,,34,
13780816,34,2015-03-18,N084,0,,29,
12343863,46,2012-03-20,A...,0,,0,
12343863,47,2012-03-22,FWDX,0,,0,
12343863,48,2012-04-08,EXIA,0,,0,
12343863,50,2012-04-12,MEXIA,0,,0,
12343863,51,2012-04-12,EML_NTR,0,,0,
