application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
12937182,63,2014-11-13,MM327-D,0,,0,
12937182,69,2015-01-06,EIDS.,0,,0,
12937182,70,2015-01-06,C614,0,,0,
12937182,65,2015-01-06,BRCE,0,,0,
12937182,66,2015-01-06,WIDS,0,,0,
12937182,80,2015-01-06,DRWF,0,,0,
12937182,68,2015-01-16,RCEX,10,APPL,60,
12937182,79,2015-01-20,EXET,0,,0,
12937182,78,2015-01-20,EXIE,0,,0,
12937182,67,2015-01-21,ABN9,0,,0,
12937182,71,2015-01-22,IDSC,0,,0,
12937182,77,2015-01-25,EX.R,0,,0,
12937182,76,2015-01-25,EX.A,0,,0,
12937182,81,2015-02-02,DVER,0,,0,
13428077,29,2014-12-20,ABN9,0,,0,
13428077,32,2014-12-20,FWDX,0,,0,
13428077,33,2015-01-06,CTFR,0,,0,
13428077,36,2015-01-09,EML_NTF,0,,0,
13428077,37,2015-01-09,ELC_RVW,0,,0,
13428077,35,2015-01-09,MCTFR,0,,0,
13428077,38,2015-01-12,EXAT,0,,0,
13428077,39,2015-01-12,EXIA,0,,0,
13428077,44,2015-01-12,W/AC,0,,0,
13428077,47,2015-01-20,CTNF,0,,0,
13428077,45,2015-01-21,MW/AC,0,,0,
13428077,53,2015-01-21,EXIA,0,,0,
13428077,43,2015-01-21,MEXAT,0,,0,
13707601,.5,2012-12-07,EFILE,0,,0,
13707601,56,2015-05-12,PTAC,0,,51,
13707601,34,2014-10-31,A...,0,,31,
13707601,51,2015-04-07,N084,0,,46,
13707601,5,2012-12-07,SREXR141,0,,0,
13707601,2,2012-12-07,SCAN,0,,0,
13707601,6,2012-12-07,APPERMS,0,,0,
13707601,1,2012-12-07,IEXX,0,,0,
13707601,3,2012-12-07,WIDS,0,,0,
13707601,4,2012-12-11,L194,0,,0,
13707601,8,2013-01-09,PGPC,0,,0,
13707601,12,2013-01-10,COMP,0,,0,
13707601,11,2013-01-10,EML_NTR,0,,0,
13707601,9,2013-01-10,PA..,0,,0,
13707601,10,2013-01-10,EML_NTR,0,,0,
13707601,7,2013-01-10,FLRCPT.O,0,,0,
11951423,13,2008-06-12,PG-ISSUE,0,,0,
11951423,14,2012-03-19,TI1050,0,,0,
