application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
13948694,9,2013-08-12,FLRCPT.O,0,,0,
13948694,13,2013-08-12,P003,0,,0,
13948694,15,2013-08-12,COMP,0,,0,
13948694,14,2013-08-13,MP003,0,,0,
13948694,24,2013-08-13,T1GR,0,,0,
13948694,16,2013-08-15,OIPE,0,,0,
13948694,17,2013-08-17,EML_NTR,0,,0,
13948694,21,2013-08-21,PA..,0,,0,
13948694,22,2013-08-21,EML_NTR,0,,0,
13948694,23,2013-09-04,DOCK,0,,0,
13948694,25,2013-10-09,DOCK,0,,0,
13948694,27,2013-10-22,CTNF,0,,0,
13948694,29,2013-11-07,MCTNF,0,,0,
13948694,30,2013-11-07,EML_NTF,0,,0,
13948694,31,2013-11-08,ELC_RVW,0,,0,
13948694,32,2013-11-21,PG-ISSUE,0,,0,
13948694,33,2013-11-22,EML_NTR,0,,0,
13948694,34,2014-02-07,A...,0,,0,
13948694,35,2014-02-12,FWDX,0,,0,
13948694,36,2014-02-12,T1ON,0,,0,
13948694,37,2014-03-06,CTFR,0,,0,
13948694,39,2014-03-12,MCTFR,0,,0,
13948694,41,2014-03-12,ELC_RVW,0,,0,
13948694,40,2014-03-12,EML_NTF,0,,0,
13948694,42,2014-05-12,A.NE,0,,0,
13948694,43,2014-05-13,FWDX,0,,0,
13948694,44,2014-05-14,CTAV,0,,0,
13948694,48,2014-05-20,EML_NTR,0,,0,
13948694,47,2014-05-20,MCTAV,0,,0,
13948694,49,2014-06-12,N/AP,0,,0,
13948694,50,2014-06-12,AP.C,0,,0,
13948694,51,2014-07-11,APCP,0,,0,
13948694,53,2014-07-11,MAPCP,0,,0,
14026066,.5,2013-09-13,EFILE,0,,0,
14026066,25,2014-08-26,MCTNF,0,,.5,
14026066,44,2015-03-09,MN/=.,0,,29,
14026066,52,2015-05-26,PTAC,0,,48,
14026066,48,2015-04-23,N084,0,,44,
14026066,3,2013-09-13,SCAN,0,,0,
14026066,2,2013-09-13,BIG.,0,,0,
14026066,5,2013-09-13,APPERMS,0,,0,
14026066,1,2013-09-13,IEXX,0,,0,
14026066,4,2013-09-17,L194,0,,0,
14026066,11,2013-10-02,ADDFLFEE,0,,0,
14026066,14,2013-10-02,PTA.RFE,0,,0,
14026066,6,2013-10-04,FLRCPT.O,0,,0,
14026066,7,2013-10-04,INCD,0,,0,
13253291,45,2014-08-07,CTAV,0,,0,
13253291,47,2014-08-11,MCTAV,0,,0,
13253291,48,2014-08-11,EML_NTR,0,,0,
13253291,49,2014-08-19,CTNF,0,,0,
13253291,52,2014-08-22,EML_NTF,0,,0,
13253291,51,2014-08-22,MCTNF,0,,0,
13253291,53,2014-08-25,ELC_RVW,0,,0,
13253291,54,2014-10-23,A...,0,,0,
13253291,55,2014-11-06,FWDX,0,,0,
13253291,61,2015-02-17,EX.A,0,,0,
13253291,62,2015-02-17,EX.R,0,,0,
13253291,63,2015-02-18,N/=.,0,,0,
13253291,64,2015-02-18,DVER,0,,0,
13253291,70,2015-02-20,EML_NTF,0,,0,
13253291,69,2015-02-20,MN/=.,0,,0,
13253291,71,2015-02-20,ELC_RVW,0,,0,
13253291,74,2015-04-22,IFEE,0,,0,
13253291,75,2015-04-22,N084,0,,0,
13253291,76,2015-04-28,PILS,0,,0,
13253291,77,2015-04-29,D1935,0,,0,
