application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
10685215,32,2007-08-29,CTAV,0,,0,
10685215,33,2007-08-31,MCTAV,0,,0,
10685215,35,2007-10-01,AP.C,0,,0,
10685215,34,2007-10-01,N/AP,0,,0,
10685215,36,2007-12-14,APCP,0,,0,
10685215,37,2007-12-17,MAPCP,0,,0,
10685215,38,2008-01-04,AP.B,0,,0,
10685215,39,2008-01-24,FWDX,0,,0,
10685215,40,2008-01-24,APBR,0,,0,
10685215,41,2008-02-16,APEA,0,,0,
10685215,42,2008-02-20,MAPEA,0,,0,
10685215,43,2008-02-29,PACC,0,,0,
10685215,44,2008-03-25,APRB,0,,0,
10685215,45,2008-03-29,FWDX,0,,0,
10685215,46,2008-05-30,RBNE,0,,0,
10685215,47,2008-06-03,MRBNE,0,,0,
10685215,48,2008-10-06,DOCK,0,,0,
10685215,49,2008-12-02,APWD,0,,0,
10685215,52,2008-12-29,AP_DK_M,0,,0,
10685215,51,2008-12-29,APAS,0,,0,
10685215,53,2009-07-30,APDA,0,,0,
10685215,54,2009-07-30,MAPDA,0,,0,
10685215,55,2009-09-30,BRCE,0,,0,
10685215,57,2009-09-30,RCEX,0,,0,
10685215,56,2009-10-30,ABN9,0,,0,
12811104,.5,2009-08-07,NEFILE,0,,0,
12811104,89.4,2011-02-08,COMMN,0,,0,
12811104,79,2015-02-02,MN/=.,368,,65,
12811104,25,2012-02-14,MCTRS,0,,89.4,
12811104,89,2015-06-02,PTAC,0,,85,
12811104,28,2012-03-14,ELC.,0,,25,
12811104,85,2015-04-29,N084,0,,79,
12811104,7,2011-02-08,371COMP,0,,0,
12811104,6,2011-03-22,PGPC,0,,0,
12811104,8,2011-03-23,EML_NTR,0,,0,
12811104,9,2011-03-23,EML_NTR,0,,0,
12811104,5,2011-03-23,FLRCPT.O,0,,0,
12811104,4,2011-03-23,M903,0,,0,
12811104,10,2011-04-14,OIPE,0,,0,
12811104,16,2011-06-30,PG-ISSUE,0,,0,
12811104,17,2011-07-01,EML_NTR,0,,0,
12811104,18,2011-08-08,TI1050,0,,0,
12811104,19,2011-09-14,DOCK,0,,0,
14080450,11,2013-12-04,EML_NTR,0,,0,
14080450,13,2013-12-04,COMP,0,,0,
14080450,10,2013-12-04,PA..,0,,0,
14080450,12,2013-12-04,EML_NTR,0,,0,
14080450,8,2013-12-04,FLRCPT.O,0,,0,
14080450,14,2013-12-16,OIPE,0,,0,
14080450,15,2013-12-16,FTFI,0,,0,
14080450,17,2014-02-25,DOCK,0,,0,
14080450,18,2014-03-27,WIDS,0,,0,
14080450,19,2014-03-27,EIDS.,0,,0,
14080450,20,2014-04-28,DOCK,0,,0,
14080450,21,2014-05-22,PG-ISSUE,0,,0,
14080450,22,2014-05-23,EML_NTR,0,,0,
14080450,28,2014-06-12,IDSC,0,,0,
14080450,29,2014-06-12,IDSC,0,,0,
14080450,30,2014-06-24,PD.RECVD,0,,0,
14080450,34,2014-06-28,CTNF,0,,0,
14080450,36,2014-07-03,MCTNF,0,,0,
14080450,37,2014-07-03,EML_NTF,0,,0,
14080450,38,2014-07-03,ELC_RVW,0,,0,
14080450,39,2014-09-26,EXAT,0,,0,
13777774,10,2013-05-07,PA..,0,,0,
13777774,14,2013-05-07,COMP,0,,0,
13777774,15,2013-06-10,OIPE,0,,0,
13777774,19,2013-08-30,DOCK,0,,0,
13777774,20,2013-09-04,DOCK,0,,0,
13777774,21,2013-09-26,PG-ISSUE,0,,0,
13777774,22,2013-10-23,PD.RECVD,0,,0,
13777774,24,2013-12-09,CTNF,0,,0,
13777774,26,2013-12-13,MCTNF,0,,0,
13777774,28,2014-05-13,A...,61,APPL,26,
13777774,27,2014-05-13,XT/G,0,,0,
13777774,29,2014-05-15,FWDX,0,,0,
13777774,30,2014-05-18,CTFR,0,,0,
14221969,92,2015-04-10,REAS,0,,0,
14221969,91,2015-04-13,PILS,0,,0,
14221969,93,2015-04-16,D1935,0,,0,
14221969,95,2015-06-02,PTAC,0,,0,
14221969,95.5,2015-06-02,PTA36M,0,,.5,
14143662,34,2015-01-28,MN/=.,0,,0,
14143662,36,2015-01-28,ELC_RVW,0,,0,
14143662,35,2015-01-28,EML_NTF,0,,0,
14143662,38,2015-03-02,PUBTC,0,,0,
14143662,39,2015-03-03,M327,0,,0,
14143662,44,2015-03-23,EML_NTR,0,,0,
14143662,43,2015-03-23,TCPB,0,,0,
14143662,42,2015-03-23,MM327,0,,0,
14143662,46,2015-04-27,IFEE,0,,0,
14143662,47,2015-04-27,N084,0,,0,
14143662,48,2015-05-05,PILS,0,,0,
14143662,49,2015-05-05,D1935,0,,0,
14143662,51,2015-06-02,PTAC,0,,0,
14143662,51.5,2015-06-02,PTA36M,0,,.5,
13757564,36,2014-11-01,PST_CRD,0,,0,
13757564,37,2014-12-23,A.NE,0,,0,
13757564,38,2014-12-29,FWDX,0,,0,
13757564,40,2015-01-23,EX.A,0,,0,
13757564,41,2015-01-23,EX.R,0,,0,
13757564,42,2015-01-28,N/=.,0,,0,
13757564,43,2015-01-28,DVER,0,,0,
13757564,48,2015-02-02,MN/=.,0,,0,
13757564,49,2015-02-02,EML_NTF,0,,0,
13757564,50,2015-02-03,ELC_RVW,0,,0,
13757564,52,2015-03-05,M327-O,0,,0,
13757564,55,2015-03-05,C600,90,APPL,62,
13757564,53,2015-03-09,MM327-O,0,,0,
12934953,20,2010-09-27,M844,0,,0,
12934953,2,2010-09-27,L194,0,,0,
12934953,6,2010-10-25,ELC_RVW,0,,0,
13631754,42,2014-11-20,EML_NTF,0,,0,
13631754,44,2015-01-12,A.NE,0,,0,
13631754,45,2015-01-12,FWDX,0,,0,
13631754,48,2015-01-23,EX.A,0,,0,
13631754,50,2015-01-23,EXIE,0,,0,
13631754,51,2015-01-23,EXET,0,,0,
13631754,49,2015-01-23,EX.R,0,,0,
13631754,52,2015-01-25,DVER,0,,0,
13631754,54,2015-01-27,N/=.,0,,0,
13631754,62,2015-01-30,ELC_RVW,0,,0,
13631754,60,2015-01-30,MN/=.,0,,0,
13631754,61,2015-01-30,EML_NTF,0,,0,
13631754,65,2015-04-07,EXAT,0,,0,
13631754,66,2015-04-07,EXIE,0,,0,
13631754,67,2015-04-07,EXET,0,,0,
13631754,73,2015-04-15,REAS,0,,0,
13631754,72,2015-04-15,EML_NTR,0,,0,
13631754,71,2015-04-15,MEXAT,0,,0,
13631754,74,2015-04-30,IFEE,0,,0,
13631754,75,2015-04-30,N084,0,,0,
13631754,76,2015-05-01,PILS,0,,0,
13631754,77,2015-05-05,D1935,0,,0,
13631754,79,2015-06-02,PTAC,0,,0,
13249387,73,2014-06-23,CTNF,0,,0,
13249387,77,2014-06-27,EML_NTF,0,,0,
13249387,78,2014-06-27,ELC_RVW,0,,0,
13249387,76,2014-06-27,MCTNF,0,,0,
13249387,80,2014-12-23,A...,85,APPL,76,
13249387,79,2014-12-23,XT/G,0,,0,
13249387,81,2015-01-05,FWDX,0,,0,
13249387,86,2015-01-09,EXIE,0,,0,
13249387,87,2015-01-09,EXET,0,,0,
13249387,85,2015-01-14,EX.A,0,,0,
13249387,88,2015-01-19,DVER,0,,0,
13249387,95,2015-01-25,N/=.,0,,0,
13249387,94,2015-01-25,DOCK,0,,0,
13280611,.5,2011-10-25,EFILE,0,,0,
13280611,74,2015-01-30,MN/=.,135,,45,
13280611,50,2014-10-23,MCTNF,0,,45,
13280611,74,2015-01-30,MN/=.,0,,63,
13280611,84,2015-06-02,PTAC,0,,80,
13280611,28,2013-12-24,A...,0,,25,
13280611,37,2014-09-18,RCEX,0,,33,
13280611,63,2015-01-09,A...,0,,50,
13280611,80,2015-04-29,N084,0,,74,
13280611,3,2011-10-25,WIDS,0,,0,
13280611,17,2011-10-25,IDSC,0,,0,
13280611,1,2011-10-25,IEXX,0,,0,
13280611,2,2011-10-25,SCAN,0,,0,
13280611,5,2011-10-25,PDREQUST,0,,0,
13280611,11,2011-10-25,RCAP,0,,0,
13280611,10,2011-10-25,M844,0,,0,
13280611,4,2011-10-26,L194,0,,0,
13280611,7,2011-11-07,PGPC,0,,0,
13280611,6,2011-11-07,FLRCPT.O,0,,0,
13280611,8,2011-11-07,COMP,0,,0,
13280611,9,2011-12-02,OIPE,0,,0,
13280611,12,2012-07-26,PG-ISSUE,0,,0,
13280611,13,2012-07-27,EML_NTR,0,,0,
13280611,14,2012-08-07,DOCK,0,,0,
13280611,15,2013-01-19,DOCK,0,,0,
13280611,16,2013-03-08,DOCK,0,,0,
13280611,18,2013-09-06,CTNF,0,,0,
13420155,72,2014-12-23,PUBTC,0,,0,
13420155,73,2015-01-05,IDSC,0,,0,
13420155,76,2015-01-08,CNOA,0,,0,
13420155,78,2015-01-14,MCNOA,56,APPL,66,
13420155,80,2015-01-14,EML_NTR,0,,0,
13420155,79,2015-01-14,TCPB,0,,0,
13420155,81,2015-02-16,IFEE,0,,0,
13420155,82,2015-02-16,N084,0,,0,
13420155,83,2015-02-20,PILS,0,,0,
13420155,84,2015-02-20,D1935,0,,0,
13420155,85,2015-05-04,D1935,0,,0,
13420155,87,2015-06-02,PTAC,0,,0,
13420155,87.5,2015-06-02,PTA36M,80,PTO,.5,
13514356,79,2015-04-22,EML_NTF,0,,0,
13514356,80,2015-04-22,ELC_RVW,0,,0,
13514356,81,2015-04-23,IFEE,0,,0,
13514356,85,2015-04-23,N084,0,,0,
13514356,86,2015-04-29,PILS,0,,0,
13514356,84,2015-04-29,EML_NTR,0,,0,
13514356,83,2015-04-29,FLRCPT.C,0,,0,
13514356,87,2015-05-05,D1935,0,,0,
13514356,90,2015-06-02,PTAC,0,,0,
13514356,90.5,2015-06-02,PTA36M,0,,90.4,
12981010,.5,2010-12-29,EFILE,0,,0,
12981010,51,2014-11-07,MCTFR,0,,47,
12981010,68,2015-03-03,MN/=.,0,,54,
12981010,78,2015-06-02,PTAC,0,,74,
12981010,54,2015-01-30,A.NE,0,,51,
12981010,74,2015-04-29,N084,0,,68,
13623024,46,2014-08-28,PA..,0,,0,
13623024,47,2014-08-28,FLRCPT.C,0,,0,
13623024,48,2014-08-28,EML_NTR,0,,0,
13623024,49,2014-08-28,EML_NTR,0,,0,
13623024,50,2014-10-05,CTNF,0,,0,
13623024,52,2014-10-10,MCTNF,0,,0,
13623024,53,2014-10-10,EML_NTF,0,,0,
13623024,54,2014-10-10,ELC_RVW,0,,0,
13623024,55,2014-11-06,A...,0,,0,
13623024,56,2014-11-08,FWDX,0,,0,
13623024,57,2014-12-03,CTFR,0,,0,
13623024,59,2014-12-08,MCTFR,0,,0,
13623024,60,2014-12-08,EML_NTF,0,,0,
13623024,61,2014-12-08,ELC_RVW,0,,0,
13623024,62,2015-01-09,A.NE,0,,0,
13623024,64,2015-01-09,RAFC,0,,0,
13623024,63,2015-01-12,FWDX,0,,0,
13759927,38,2015-02-27,FWDX,0,,0,
13759927,41,2015-03-05,DVER,0,,0,
13759927,43,2015-03-05,N/=.,0,,0,
13759927,45,2015-03-10,MN/=.,0,,0,
13759927,46,2015-03-10,EML_NTF,0,,0,
11883440,.5,2006-01-31,NEFILE,0,,0,
11883440,135.4,2007-07-31,COMMN,0,,0,
11883440,114,2014-12-19,MN/=.,999,,59,
11883440,52,2011-10-25,MCTFR,0,,44,
11883440,94,2014-08-01,MCTFR,0,,84,
11883440,114,2014-12-19,MN/=.,0,,101,
11883440,135,2015-06-02,PTAC,0,,121,
11883440,44,2011-07-18,A...,0,,39,
11883440,84,2014-05-12,A...,0,,80,
11883440,101,2014-11-03,RCEX,0,,94,
11883440,121,2015-03-19,N084,0,,114,
11883440,122,2015-02-19,M844,0,,0,
11883440,12,2007-07-31,M844,0,,0,
11883440,30,2007-07-31,IDSC,0,,0,
11883440,1,2007-07-31,IEXX,0,,0,
11883440,2,2007-07-31,WIDS,0,,0,
11883440,14,2007-07-31,RQPR,0,,0,
11883440,11,2007-07-31,RCAP,0,,0,
11883440,13,2007-07-31,A.PE,0,,0,
11883440,4,2007-08-13,L194,0,,0,
11883440,3,2007-08-13,SCAN,0,,0,
11883440,8,2008-03-07,371COMP,0,,0,
11883440,7,2008-03-20,PGPC,0,,0,
11883440,5,2008-03-20,M903,0,,0,
11883440,6,2008-03-20,FLRCPT.O,0,,0,
11883440,9,2008-04-11,OIPE,0,,0,
11883440,10,2008-06-26,PG-ISSUE,0,,0,
10685215,60,2009-10-30,FWDX,0,,0,
10685215,58,2009-10-30,FWDX,0,,0,
10685215,62,2009-12-21,CTNF,0,,0,
10685215,63,2009-12-24,MCTNF,0,,0,
