application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
13789444,136,2015-05-05,N084,0,,116,
13789444,14,2013-03-07,M844,0,,0,
13789444,1,2013-03-07,IEXX,0,,0,
13789444,3,2013-03-07,WIDS,0,,0,
13789444,15,2013-03-07,RCAP,0,,0,
13789444,19,2013-03-07,IDSC,0,,0,
13789444,5,2013-03-07,PDREQUST,0,,0,
13789444,2,2013-03-08,SCAN,0,,0,
13789444,4,2013-03-13,L194,0,,0,
13789444,8,2013-04-11,COMP,0,,0,
13789444,7,2013-04-11,OIPE,0,,0,
13789444,9,2013-04-11,FTFI,0,,0,
13789444,6,2013-04-12,FLRCPT.O,0,,0,
13789444,12,2013-04-12,EML_NTR,0,,0,
13789444,11,2013-04-12,EML_NTR,0,,0,
13789444,10,2013-04-12,PA..,0,,0,
13789444,13,2013-04-12,COMP,0,,0,
13789444,29,2013-04-14,RQPR,0,,0,
13789444,16,2013-05-22,DOCK,0,,0,
13789444,20,2013-06-01,CTNF,0,,0,
13789444,24,2013-06-06,ELC_RVW,0,,0,
13789444,23,2013-06-06,EML_NTF,0,,0,
13789444,22,2013-06-06,MCTNF,0,,0,
13789444,25,2013-07-05,C602,0,,0,
13789444,26,2013-07-18,PG-ISSUE,0,,0,
13789444,27,2013-07-19,EML_NTR,0,,0,
13789444,30,2013-09-06,A...,0,,0,
13642523,12,2012-10-20,C614,0,,0,
13642523,27,2012-10-20,RQPR,0,,0,
13642523,6,2013-04-26,FTFI,0,,0,
13642523,5,2013-04-26,PGPC,0,,0,
13642523,9,2013-04-29,EML_NTR,0,,0,
13642523,8,2013-04-29,EML_NTR,0,,0,
13642523,4,2013-04-29,FLRCPT.O,0,,0,
13642523,3,2013-04-29,M903,0,,0,
13642523,10,2013-06-06,OIPE,0,,0,
13642523,13,2013-06-17,DOCK,0,,0,
13642523,15,2013-08-17,EIDS.,0,,0,
13642523,14,2013-08-17,WIDS,0,,0,
13642523,16,2013-12-17,DOCK,0,,0,
13642523,17,2014-03-06,PG-ISSUE,0,,0,
13642523,18,2014-03-07,EML_NTR,0,,0,
13642523,19,2014-06-16,CTRS,0,,0,
13642523,22,2014-06-20,EML_NTF,0,,0,
13642523,21,2014-06-20,MCTRS,182,PTO,59.4,
13642523,23,2014-06-23,ELC_RVW,0,,0,
13642523,24,2014-07-23,ELC.,0,,0,
13642523,25,2014-07-27,FWDX,0,,0,
13642523,26,2014-08-01,WIDS,0,,0,
13642523,28,2014-11-17,IDSC,0,,0,
13642523,29,2014-11-17,IDSC,0,,0,
13642523,30,2014-11-17,CTNF,0,,0,
13642523,33,2014-11-24,EML_NTF,0,,0,
13642523,32,2014-11-24,MCTNF,1,PTO,24,
13642523,34,2014-11-25,ELC_RVW,0,,0,
13642523,35,2015-02-22,A...,0,,0,
13642523,36,2015-02-24,FWDX,0,,0,
13642523,38,2015-03-23,EX.R,0,,0,
13642523,45,2015-03-31,DVER,0,,0,
12976769,141,2015-03-30,WIDS,0,,0,
12976769,145,2015-03-30,RCAP,0,,0,
12976769,144,2015-03-30,M844,0,,0,
12976769,140,2015-03-30,BRCE,0,,0,
12976769,142,2015-04-01,ABN9,0,,0,
12976769,146,2015-04-05,IDSC,0,,0,
12976769,148,2015-04-05,EX.A,0,,0,
12976769,149,2015-04-05,EX.R,0,,0,
12976769,161,2015-04-06,RCAP,0,,0,
12976769,160,2015-04-06,M844,7,APPL,143,
12976769,158,2015-04-06,WIDS,0,,0,
12976769,152,2015-04-07,N/=.,0,,0,
