application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
14122492,19,2014-10-23,DOCK,0,,0,
14122492,23,2014-12-12,CTNF,0,,0,
14122492,26,2014-12-16,EML_NTF,0,,0,
14122492,25,2014-12-16,MCTNF,0,,0,
14122492,27,2014-12-16,ELC_RVW,0,,0,
14122492,28,2015-03-03,A...,0,,0,
14122492,29,2015-03-06,FWDX,0,,0,
14122492,34,2015-03-11,EX.A,0,,0,
14122492,35,2015-03-12,DVER,0,,0,
14122492,36,2015-03-12,DOCK,0,,0,
14122492,37,2015-03-12,N/=.,0,,0,
14122492,42,2015-03-17,EML_NTF,0,,0,
14122492,43,2015-03-17,ELC_RVW,0,,0,
14122492,41,2015-03-17,MN/=.,0,,0,
14122492,46,2015-04-16,EML_NTR,0,,0,
14122492,45,2015-04-16,FLRCPT.C,0,,0,
14122492,48,2015-05-28,IFEE,0,,0,
14122492,49,2015-05-28,N084,0,,0,
14122492,50,2015-05-29,PILS,0,,0,
14122492,51,2015-06-01,D1935,0,,0,
14122492,53,2015-06-30,PTAC,0,,0,
14122492,53.5,2015-06-30,PTA36M,0,,53.4,
13261164,74,2015-01-09,FWDX,0,,0,
12836176,7,2010-07-28,EML_NTF,0,,0,
12836176,6,2010-07-28,FLRCPT.O,0,,0,
13261164,77,2015-02-09,EX.R,0,,0,
12836176,5,2010-07-28,CPAP,0,,0,
13261164,76,2015-02-09,EX.A,0,,0,
12836176,13,2010-08-06,OIPE,0,,0,
13261164,79,2015-02-11,DVER,0,,0,
12836176,15,2010-08-09,COMP,0,,0,
12836176,14,2010-08-09,EML_NTR,0,,0,
12836176,12,2010-08-09,FLRCPT.U,0,,0,
12836176,20,2010-08-16,A.PE,0,,0,
13261164,78,2015-02-11,N/=.,0,,0,
12836176,21,2010-09-09,DOCK,0,,0,
12836176,22,2010-11-18,PG-ISSUE,0,,0,
13261164,86,2015-02-17,ELC_RVW,0,,0,
12836176,23,2010-11-19,EML_NTR,0,,0,
13261164,85,2015-02-17,EML_NTF,0,,0,
12836176,29,2011-02-28,CTNF,0,,0,
13261164,84,2015-02-17,MN/=.,0,,0,
12836176,30,2011-03-04,MCTNF,0,,0,
12836176,32,2011-03-04,ELC_RVW,0,,0,
13261164,91,2015-05-15,BIG.,0,,0,
12836176,31,2011-03-04,EML_NTF,0,,0,
13261164,89,2015-05-15,IFEE,0,,0,
12836176,34,2011-05-11,EML_NTR,0,,0,
13261164,90,2015-05-15,N084,0,,0,
12836176,33,2011-05-11,PA..,0,,0,
13261164,92,2015-05-20,PILS,0,,0,
12836176,35,2011-06-03,A...,0,,0,
13261164,93,2015-05-21,D1935,0,,0,
12836176,37,2011-06-03,C614,0,,0,
13796072,8,2013-04-13,PGPC,0,,0,
13542319,12,2012-09-19,PGPC,0,,0,
13796072,11,2013-04-15,COMP,0,,0,
13542319,13,2012-09-20,PA..,0,,0,
13796072,7,2013-04-15,FLRCPT.O,0,,0,
13542319,14,2012-09-20,COMP,0,,0,
13796072,10,2013-04-15,PA..,0,,0,
13542319,11,2012-09-20,FLRCPT.U,0,,0,
13796072,12,2013-06-12,OIPE,0,,0,
13542319,15,2012-10-17,OIPE,0,,0,
13796072,13,2013-06-13,DOCK,0,,0,
13542319,18,2013-02-28,PG-ISSUE,0,,0,
13796072,16,2013-07-22,M844,0,,0,
13542319,19,2013-05-17,DOCK,0,,0,
13796072,17,2013-07-22,RCAP,0,,0,
13542319,20,2014-03-06,WIDS,0,,0,
13796072,15,2013-07-22,WIDS,0,,0,
13796072,18,2013-09-13,PG-ISSUE,0,,0,
13542319,21,2014-03-06,M844,0,,0,
13796072,19,2013-10-15,PD.RECVD,0,,0,
13542319,22,2014-08-22,DOCK,0,,0,
13796072,20,2014-02-12,DOCK,0,,0,
13542319,23,2015-02-11,IDSC,0,,0,
13845310,21,2014-01-22,WIDS,0,,0,
13845310,23,2014-01-22,EIDS.,0,,0,
13845310,20,2014-01-23,PG-ISSUE,0,,0,
13845310,22,2014-01-24,EML_NTR,0,,0,
13845310,24,2014-03-14,DOCK,0,,0,
13845310,27,2014-06-06,DOCK,0,,0,
13845310,28,2014-11-05,TI1050,0,,0,
11765067,98,2015-02-20,ELC_RVW,0,,0,
11765067,101,2015-05-14,IFEE,0,,0,
11765067,102,2015-05-14,N084,0,,0,
11765067,103,2015-05-15,C.AD,0,,0,
11765067,104,2015-05-15,PILS,0,,0,
11765067,105,2015-05-18,D1935,0,,0,
11765067,108,2015-06-03,WPIR,0,,0,
13527936,45,2014-05-05,M844,0,,0,
13527936,47,2014-05-05,A...,0,,0,
13527936,49,2014-05-05,AF/D,0,,0,
13527936,40,2014-05-05,BCPA,0,,0,
13527936,42,2014-05-05,DIST,0,,0,
13527936,43,2014-05-06,P574,0,,0,
13527936,44,2014-05-08,FLRCPT.C,0,,0,
13527936,46,2014-05-08,EML_NTR,0,,0,
13527936,48,2014-05-17,FWDX,0,,0,
13527936,50,2014-07-10,WIDS,0,,0,
13527936,54,2014-07-10,M844,66,APPL,47,
13527936,51,2014-07-17,IDSC,0,,0,
13527936,52,2014-07-17,IDSC,0,,0,
13527936,53,2014-07-17,CTFR,0,,0,
13527936,56,2014-07-23,MCTFR,0,,0,
13527936,57,2014-07-23,EML_NTF,0,,0,
13527936,58,2014-07-24,ELC_RVW,0,,0,
13527936,59,2014-10-23,BRCE,0,,0,
13527936,64,2014-10-23,AF/D,0,,0,
13527936,61,2014-10-23,RCEX,0,,0,
13527936,63,2014-10-24,FWDX,0,,0,
13527936,60,2014-10-24,ABN9,0,,0,
13527936,65,2014-11-30,CTNF,0,,0,
13988926,58,2015-03-30,MCNOA,0,,0,
13431703,.5,2012-03-27,EFILE,0,,0,
13431703,35,2015-03-12,MN/=.,0,,19,
13431703,44,2015-06-30,PTAC,0,,39,
13431703,19,2015-01-20,A...,0,,18,
13431703,39,2015-05-29,N084,0,,35,
13431703,12,2012-03-27,RCAP,0,,0,
13431703,2,2012-03-27,SCAN,0,,0,
13431703,3,2012-03-27,WIDS,0,,0,
13431703,11,2012-03-27,M844,0,,0,
13431703,1,2012-03-27,IEXX,0,,0,
13431703,4,2012-03-29,L198,0,,0,
13431703,5,2012-04-03,L128,0,,0,
13431703,7,2012-04-12,PGPC,0,,0,
13431703,6,2012-04-12,FLRCPT.O,0,,0,
13431703,8,2012-04-12,COMP,0,,0,
13431703,9,2012-05-07,OIPE,0,,0,
13431703,10,2012-05-08,DOCK,0,,0,
13431703,13,2013-10-03,PG-ISSUE,0,,0,
13431703,15,2014-10-15,IDSC,0,,0,
13431703,16,2014-10-17,CTNF,0,,0,
13431703,18,2014-10-20,MCTNF,511,PTO,.5,
13431703,19,2015-01-20,A...,0,,0,
13431703,20,2015-01-29,FWDX,0,,0,
13431703,21,2015-02-03,WIDS,0,,0,
13431703,23,2015-02-03,RCAP,0,,0,
13431703,22,2015-02-03,M844,14,APPL,19,
13431703,29,2015-03-06,EX.R,0,,0,
13431703,24,2015-03-06,IDSC,0,,0,
13431703,33,2015-03-11,DVER,0,,0,
13431703,30,2015-03-11,N/=.,0,,0,
13270553,7,2011-10-28,EML_NTF,0,,0,
13270553,10,2011-12-27,OATHDECL,0,,0,
13270553,11,2011-12-27,ADDFLFEE,0,,0,
13270553,9,2011-12-27,CORRDRW,0,,0,
13270553,13,2012-01-04,PGPC,0,,0,
13270553,14,2012-01-05,EML_NTR,0,,0,
13270553,12,2012-01-05,FLRCPT.U,0,,0,
13270553,15,2012-01-05,COMP,0,,0,
13270553,40,2013-10-28,CTNF,0,,0,
13270553,46,2013-11-07,ELC_RVW,0,,0,
13270553,45,2013-11-07,EML_NTF,0,,0,
13270553,44,2013-11-07,MCTNF,0,,0,
13270553,47,2014-02-07,A...,0,,0,
13270553,48,2014-02-15,FWDX,0,,0,
13270553,51,2014-04-22,CTFR,0,,0,
13270553,53,2014-04-25,MCTFR,0,,0,
13270553,54,2014-04-25,EML_NTF,0,,0,
13270553,55,2014-04-25,ELC_RVW,0,,0,
13270553,56,2014-09-23,XT/G,0,,0,
13270553,57,2014-09-23,A.NE,60,APPL,53,
13270553,58,2014-09-28,FWDX,0,,0,
13270553,61,2014-10-07,EX.A,0,,0,
13270553,93.5,2015-06-30,PTA36M,262,PTO,.5,
13270553,93,2015-06-30,PTAC,39,,0,
14215385,.5,2014-03-17,EFILE,0,,0,
14215385,27,2015-01-15,MCTNF,0,,.5,
14215385,42,2015-05-14,MN/=.,0,,32,
14215385,52,2015-06-30,PTAC,0,,47,
14215385,32,2015-04-07,A...,0,,27,
14215385,47,2015-05-25,N084,0,,42,
14215385,0,2014-03-17,PTA.RFE,0,,0,
14215385,6,2014-03-17,APPERMS,0,,0,
14215385,15,2014-03-17,EIDS.,0,,0,
14215385,4,2014-03-17,WIDS,0,,0,
14215385,3,2014-03-17,SCAN,0,,0,
14215385,7,2014-03-17,PDREQUST,0,,0,
14215385,1,2014-03-17,IEXX,0,,0,
14215385,2,2014-03-17,BIG.,0,,0,
14215385,10,2014-03-17,PTA.RFE,0,,0,
14215385,5,2014-03-23,L194,0,,0,
14215385,11,2014-04-09,PGPC,0,,0,
14215385,9,2014-04-10,COMP,0,,0,
14215385,8,2014-04-10,FLRCPT.O,0,,0,
14215385,12,2014-04-10,EML_NTR,0,,0,
14215385,14,2014-04-15,FTFS,0,,0,
14215385,13,2014-04-15,OIPE,0,,0,
14215385,16,2014-05-13,DOCK,0,,0,
14215385,17,2014-05-13,DOCK,0,,0,
14215385,18,2014-09-04,TI1050,0,,0,
14215385,19,2014-09-25,PG-ISSUE,0,,0,
14215385,20,2014-09-26,EML_NTR,0,,0,
14215385,21,2014-09-26,DOCK,0,,0,
14215385,22,2014-10-26,PD.RECVD,0,,0,
14215385,23,2015-01-10,IDSC,0,,0,
14215385,24,2015-01-10,CTNF,0,,0,
14215385,29,2015-01-15,ELC_RVW,0,,0,
14215385,28,2015-01-15,EML_NTF,0,,0,
14215385,27,2015-01-15,MCTNF,0,,0,
14215385,30,2015-03-05,WIDS,0,,0,
14281380,.5,2014-05-19,EFILE,0,,0,
