application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
13612430,4,2012-09-27,FLRCPT.O,0,,0,
13612430,7,2012-10-16,OIPE,0,,0,
13612430,9,2012-11-13,TI1050,0,,0,
13612430,10,2012-11-30,TI1050,0,,0,
13612430,11,2012-12-19,TI1050,0,,0,
13612430,12,2013-01-07,DOCK,0,,0,
13612430,13,2013-04-11,PG-ISSUE,0,,0,
13612430,14,2014-04-17,DOCK,0,,0,
13612430,18,2014-09-30,CTNF,0,,0,
13612430,20,2014-10-03,MCTNF,325,PTO,.5,
12812402,.5,2009-01-08,NEFILE,0,,0,
12812402,166.4,2010-07-12,COMMN,0,,0,
12812402,125,2015-02-13,MN/=.,815,,49,
12812402,27,2011-12-16,MCTNF,0,,19,
12812402,38,2012-05-23,MCTFR,0,,30,
12812402,70,2014-01-23,MCTFR,0,,66,
12812402,94,2014-05-28,MCTNF,0,,73,
12812402,101,2014-09-17,MCTFR,0,,95,
12812402,125,2015-02-13,MN/=.,0,,103,
12812402,166,2015-07-21,PTAC,0,,137,
12812402,19,2011-11-17,ELC.,0,,18,
12812402,66,2013-12-19,A...,0,,60,
12812402,73,2014-04-23,RCEX,0,,70,
12812402,95,2014-08-28,A...,0,,94,
12812402,103,2014-12-16,A.NE,0,,101,
12812402,137,2015-05-04,N084,0,,125,
12812402,134,2015-04-15,MCNOA,0,,0,
12812402,158,2015-06-19,MCNOA,0,,0,
12812402,4,2010-07-29,M903,0,,0,
12812402,5,2010-07-29,FLRCPT.O,0,,0,
12812402,6,2010-07-29,PGPC,0,,0,
12812402,8,2010-08-25,OIPE,0,,0,
12812402,12,2010-08-25,A.PE,0,,0,
12812402,13,2010-11-04,PG-ISSUE,0,,0,
12812402,14,2011-09-08,DOCK,0,,0,
12812402,16,2011-10-14,CTRS,0,,0,
12812402,128,2015-03-26,WIDS,0,,0,
12812402,129,2015-03-26,M844,0,,0,
12812402,130,2015-04-09,PUBTC,0,,0,
12812402,132,2015-04-13,CNOA,0,,0,
12812402,131,2015-04-13,IDSC,0,,0,
12812402,135,2015-04-15,TCPB,0,,0,
12812402,134,2015-04-15,MCNOA,21,APPL,128,
12812402,136,2015-05-04,IFEE,0,,0,
12812402,163,2015-05-04,N084,0,,0,
12812402,137,2015-05-04,N084,0,,0,
12812402,138,2015-05-07,PILS,0,,0,
12812402,139,2015-05-12,D1935,0,,0,
12812402,142,2015-05-20,WPIR,0,,0,
12812402,149,2015-05-28,WIDS,0,,0,
12812402,148,2015-05-28,WIDS,0,,0,
12812402,150,2015-05-28,WIDS,0,,0,
12812402,144,2015-05-28,PET.,0,,0,
12812402,145,2015-05-28,WFIS,0,,0,
12812402,146,2015-05-28,P015,0,,0,
12812402,147,2015-05-28,MP015,0,,0,
12812402,151,2015-05-28,WIDS,0,,0,
12812402,143,2015-05-28,BRCE,0,,0,
12812402,160,2015-05-28,IDSC,0,,0,
12812402,162,2015-05-28,IDSC,0,,0,
12812402,161,2015-05-28,IDSC,0,,0,
13045211,52,2015-03-27,EX.R,0,,0,
13045211,54,2015-04-01,DVER,0,,0,
13045211,53,2015-04-01,N/=.,0,,0,
13045211,58,2015-04-02,MN/=.,0,,0,
13045211,62,2015-06-12,N084,0,,0,
13045211,61,2015-06-12,IFEE,0,,0,
13045211,63,2015-06-15,PILS,0,,0,
13045211,64,2015-06-16,D1935,0,,0,
13045211,66,2015-07-21,PTAC,0,,0,
13850639,21,2013-10-30,PD.RECVD,0,,0,
13850639,22,2014-06-02,DOCK,0,,0,
13850639,23,2014-09-18,CTNF,0,,0,
13850639,25,2014-09-19,MCTNF,116,PTO,.5,
13850639,26,2014-12-11,A...,0,,0,
13850639,27,2014-12-15,FWDX,0,,0,
13850639,28,2015-02-14,CTFR,0,,0,
13850639,30,2015-02-18,WIDS,0,,0,
13850639,31,2015-02-18,M844,69,APPL,26,
13850639,32,2015-02-18,RCAP,0,,0,
13850639,33,2015-02-20,MCTFR,0,,0,
13850639,36,2015-04-08,C614,0,,0,
13850639,37,2015-04-08,RAFC,0,,0,
13850639,34,2015-04-08,A.NE,0,,0,
13850639,35,2015-04-09,FWDX,0,,0,
13850639,38,2015-04-13,CTAV,0,,0,
13850639,39,2015-04-13,AFAC,0,,0,
13850639,42,2015-04-15,MCTAV,0,,0,
13850639,45,2015-05-07,RCEX,0,,0,
13850639,48,2015-05-07,LTDR,0,,0,
13850639,43,2015-05-07,BRCE,0,,0,
13850639,44,2015-05-08,ABN9,0,,0,
13850639,47,2015-05-08,FWDX,0,,0,
13850639,52,2015-05-12,IDSC,0,,0,
13850639,58,2015-05-14,MN/=.,0,,0,
13850639,54,2015-05-14,N/=.,0,,0,
13850639,55,2015-05-14,DVER,0,,0,
13850639,61,2015-06-12,IFEE,0,,0,
13850639,62,2015-06-12,N084,0,,0,
12359896,97.5,2015-07-21,PTA36M,590,PTO,.5,
12359896,87,2015-04-01,MN/=.,64,,0,
11862663,.5,2007-09-27,EFILE,0,,0,
11862663,99,2015-03-16,MN/=.,1950,,36,
11862663,31,2009-08-26,MCTFR,0,,28,
11862663,41,2010-01-11,MCTNF,0,,36,
11862663,48,2010-08-06,MCTFR,0,,45,
12943175,71,2014-11-24,BRCE,0,,0,
12943175,73,2014-11-24,RCEX,31,APPL,61,
12943175,75,2014-11-25,FWDX,0,,0,
12943175,72,2014-11-25,ABN9,0,,0,
12943175,76,2014-12-29,CTNF,0,,0,
12943175,82,2015-01-02,ELC_RVW,0,,0,
12943175,80,2015-01-02,MCTNF,0,,0,
12943175,81,2015-01-02,EML_NTF,0,,0,
12943175,83,2015-04-02,A...,0,,0,
12943175,84,2015-04-07,FWDX,0,,0,
12943175,88,2015-04-30,N/=.,0,,0,
