application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
12904372,7,2010-10-27,PGPC,0,,0,
12904372,9,2010-11-22,OIPE,0,,0,
12904372,11,2010-11-24,RQPR,0,,0,
12904372,13,2011-01-07,M844,0,,0,
12904372,12,2011-01-07,WIDS,0,,0,
12904372,29,2011-01-07,IDSC,0,,0,
12904372,14,2011-01-07,RCAP,0,,0,
12904372,15,2011-05-05,PG-ISSUE,0,,0,
12904372,16,2011-07-13,DOCK,0,,0,
12904372,17,2011-10-06,WIDS,0,,0,
12904372,28,2011-10-06,IDSC,0,,0,
12904372,18,2011-10-06,EIDS.,0,,0,
12904372,19,2012-01-26,DOCK,0,,0,
12904372,20,2012-02-28,DOCK,0,,0,
12904372,21,2012-11-01,DOCK,0,,0,
12904372,22,2012-11-28,DOCK,0,,0,
12904372,25,2013-01-03,WIDS,0,,0,
12904372,26,2013-01-03,EIDS.,0,,0,
12904372,27,2013-01-03,IDSC,0,,0,
12904372,35,2013-03-22,CTNF,0,,0,
12904372,37,2013-03-28,MCTNF,470,PTO,.5,
12904372,39,2013-07-29,A...,31,APPL,37,
12904372,38,2013-07-29,XT/G,0,,0,
12904372,40,2013-07-31,FWDX,0,,0,
13278184,76,2015-04-01,IDSC,0,,0,
13278184,81,2015-04-06,WIDS,0,,0,
13278184,88,2015-04-06,EIDS.,0,,0,
13278184,78,2015-04-06,EX.A,0,,0,
13278184,79,2015-04-06,EX.R,0,,0,
13278184,89,2015-04-06,RCAP,0,,0,
13278184,80,2015-04-06,N/=.,0,,0,
13278184,87,2015-04-07,WIDS,0,,0,
13278184,82,2015-04-07,DVER,0,,0,
13278184,90,2015-04-07,EIDS.,130,APPL,64,
13278184,91,2015-04-13,MN/=.,16,PTO,64,
13278184,92,2015-04-13,EML_NTF,0,,0,
13278184,93,2015-04-13,ELC_RVW,0,,0,
13278184,95,2015-05-06,PUBTC,0,,0,
13278184,97,2015-05-12,IDSC,0,,0,
13278184,96,2015-05-12,IDSC,0,,0,
13153245,12,2012-08-14,DOCK,0,,0,
13153245,14,2012-08-24,TI1050,0,,0,
13153245,15,2012-09-14,TI1050,0,,0,
13153245,16,2012-09-17,DOCK,0,,0,
13153245,17,2012-10-31,DOCK,0,,0,
13153245,18,2012-12-06,PG-ISSUE,0,,0,
13153245,19,2012-12-07,EML_NTR,0,,0,
13153245,20,2014-01-16,DOCK,0,,0,
13153245,28,2014-02-18,CTNF,0,,0,
13153245,30,2014-02-26,MCTNF,572,PTO,.5,
13153245,32,2014-02-26,ELC_RVW,0,,0,
13153245,31,2014-02-26,EML_NTF,0,,0,
13153245,33,2014-07-22,XT/G,0,,0,
13153245,34,2014-07-22,A...,56,APPL,30,
13153245,35,2014-07-27,FWDX,0,,0,
13153245,37,2014-09-12,CTFR,0,,0,
13153245,39,2014-09-17,MCTFR,0,,0,
13153245,40,2014-09-17,EML_NTF,0,,0,
13153245,41,2014-09-17,ELC_RVW,0,,0,
13153245,42,2015-02-05,EXAT,0,,0,
13153245,43,2015-02-05,EXIA,0,,0,
13153245,47,2015-02-12,MEXAT,0,,0,
