application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
12298697,37,2011-05-06,ELC_RVW,0,,0,
14164863,79.5,2015-09-01,PTA36M,0,,.5,
12706346,46,2012-08-03,MAPCR,0,,0,
12706346,47,2013-12-02,FWDX,0,,0,
12706346,48,2014-03-07,CTNF,0,,0,
12706346,50,2014-03-10,MCTNF,0,,0,
12706346,51,2014-06-10,A...,0,,0,
12706346,52,2014-06-12,FWDX,0,,0,
12706346,53,2014-08-21,CTFR,0,,0,
12706346,55,2014-08-22,MCTFR,0,,0,
12706346,56,2014-11-24,BRCE,0,,0,
12706346,58,2014-11-24,RCEX,0,,0,
12706346,57,2014-11-27,ABN9,0,,0,
12706346,60,2014-11-27,FWDX,0,,0,
12706346,61,2014-12-29,CTFR,0,,0,
12706346,65,2014-12-31,MCTFR,0,,0,
12706346,66,2015-03-24,A.NE,0,,0,
12706346,67,2015-03-24,FWDX,0,,0,
12706346,68,2015-03-25,CTAV,0,,0,
12706346,71,2015-04-03,EML_NTR,0,,0,
12706346,70,2015-04-03,MCTAV,0,,0,
12706346,72,2015-04-13,XT/G,0,,0,
12706346,73,2015-04-13,A.NE,13,APPL,65,
13310129,92,2015-06-12,N084,0,,0,
13310129,93,2015-06-15,PILS,0,,0,
13310129,94,2015-06-16,D1935,0,,0,
13310129,97,2015-06-30,WPIR,0,,0,
13310129,98,2015-07-01,EML_NTR,0,,0,
13310129,99,2015-07-16,BRCE,0,,0,
13310129,100,2015-07-16,PET.,0,,0,
13310129,117,2015-07-16,FRCE,0,,0,
13310129,102,2015-07-16,P015,0,,0,
13310129,103,2015-07-16,MP015,0,,0,
13310129,108,2015-07-16,QPREQ,0,,0,
13310129,107,2015-07-16,EIDS.,0,,0,
13310129,120,2015-07-16,IDSC,0,,0,
13310129,119,2015-07-16,IDSC,0,,0,
13310129,106,2015-07-16,WIDS,0,,0,
13310129,105,2015-07-16,WIDS,0,,0,
13310129,104,2015-07-16,WIDS,0,,0,
13310129,101,2015-07-16,WFIS,0,,0,
13310129,109,2015-07-22,PUBTC,0,,0,
13310129,110,2015-07-24,IDSC,0,,0,
13310129,112,2015-07-26,EX.A,0,,0,
13310129,111,2015-07-26,CNOA,0,,0,
13310129,115,2015-07-30,MCNOA,15,APPL,104,
13310129,116,2015-07-30,EML_NTR,0,,0,
13310129,121,2015-07-31,D1935,0,,0,
13310129,123,2015-09-01,PTAC,0,,0,
13310129,123.5,2015-09-01,PTA36M,230,PTO,.5,
13737544,53,2015-04-22,N/=.,0,,0,
13737544,58,2015-04-27,MN/=.,0,,0,
13737544,60,2015-04-27,ELC_RVW,0,,0,
13737544,59,2015-04-27,EML_NTF,0,,0,
13737544,62,2015-06-03,FLRCPT.C,0,,0,
13737544,63,2015-06-03,EML_NTR,0,,0,
13737544,65,2015-07-24,IFEE,0,,0,
13737544,66,2015-07-24,N084,0,,0,
13737544,67,2015-07-29,PILS,0,,0,
13737544,68,2015-07-29,D1935,0,,0,
13328546,15,2012-07-09,M844,0,,0,
13328546,14,2012-07-09,WIDS,0,,0,
13328546,20,2012-12-11,DOCK,0,,0,
13328546,21,2013-01-11,DOCK,0,,0,
13328546,24,2013-02-24,CTNF,0,,0,
13328546,26,2013-02-27,MCTNF,11,PTO,.5,
13328546,27,2013-04-08,A...,0,,0,
13328546,29,2013-04-08,DIST,0,,0,
13328546,28,2013-04-09,FWDX,0,,0,
13328546,30,2013-04-16,P574,0,,0,
13328546,31,2013-04-18,CTFR,0,,0,
13328546,33,2013-04-23,MCTFR,0,,0,
13328546,36,2013-06-24,RAFC,0,,0,
13328546,34,2013-06-24,A.NE,0,,0,
13328546,37,2013-06-25,CTAV,0,,0,
14519759,66,2015-09-01,PTAC,0,,0,
14519759,66.5,2015-09-01,PTA36M,0,,.5,
13960398,.5,2013-08-06,EFILE,0,,0,
13960398,37,2015-04-03,MCTFR,0,,33,
13960398,51,2015-05-26,MN/=.,0,,40,
13960398,61,2015-09-01,PTAC,0,,57,
13960398,33,2015-01-08,A...,0,,28,
13960398,40,2015-05-11,A.NE,0,,37,
13960398,56,2015-07-28,IFEE,0,,51,
13960398,15,2013-08-06,PTA.RFE,0,,0,
13960398,20,2013-08-06,M844,0,,0,
13960398,4,2013-08-06,WIDS,0,,0,
13960398,2,2013-08-06,BIG.,0,,0,
13960398,6,2013-08-06,PDREQUST,0,,0,
13960398,1,2013-08-06,IEXX,0,,0,
13960398,3,2013-08-06,SCAN,0,,0,
13960398,7,2013-08-06,APPERMS,0,,0,
13960398,5,2013-08-12,L194,0,,0,
13960398,9,2013-08-27,PGPC,0,,0,
13960398,10,2013-08-27,FTFS,0,,0,
13960398,13,2013-08-28,EML_NTR,0,,0,
13960398,12,2013-08-28,EML_NTR,0,,0,
13960398,8,2013-08-28,FLRCPT.O,0,,0,
13960398,11,2013-08-28,PA..,0,,0,
13960398,14,2013-08-28,COMP,0,,0,
13960398,16,2014-03-20,OIPE,0,,0,
13960398,17,2014-03-20,FTFS,0,,0,
13960398,18,2014-03-25,DOCK,0,,0,
13602129,24,2014-09-05,CTNF,0,,0,
13602129,26,2014-09-11,MCTNF,314,PTO,.5,
13602129,28,2014-09-11,ELC_RVW,0,,0,
13602129,27,2014-09-11,EML_NTF,0,,0,
13602129,29,2014-12-11,A...,0,,0,
13602129,30,2014-12-19,FWDX,0,,0,
13602129,31,2015-03-17,CTFR,0,,0,
13602129,34,2015-03-24,EML_NTF,0,,0,
13602129,35,2015-03-24,ELC_RVW,0,,0,
13602129,33,2015-03-24,MCTFR,0,,0,
13602129,37,2015-05-26,EXIA,0,,0,
13602129,36,2015-05-26,EXAT,0,,0,
13602129,41,2015-06-02,MEXAT,0,,0,
13602129,42,2015-06-24,A.NE,0,,0,
13602129,43,2015-06-25,FWDX,0,,0,
13602129,50,2015-06-26,EX.R,0,,0,
13602129,51,2015-06-30,DVER,0,,0,
13602129,53,2015-06-30,N/=.,0,,0,
13602129,59,2015-07-07,ELC_RVW,0,,0,
13602129,58,2015-07-07,EML_NTF,0,,0,
13602129,56,2015-07-07,MN/=.,0,,0,
13602129,60,2015-07-27,IFEE,0,,0,
13602129,62,2015-07-27,N084,0,,0,
13602129,63,2015-07-30,PILS,0,,0,
13602129,64,2015-07-30,D1935,0,,0,
13602129,66,2015-09-01,PTAC,0,,0,
14280367,16,2014-06-12,FLRCPT.R,0,,0,
14280367,18,2014-09-11,PG-ISSUE,0,,0,
14280367,19,2014-09-12,EML_NTR,0,,0,
14280367,20,2014-09-12,DOCK,0,,0,
14280367,21,2014-09-17,PD.RECVD,0,,0,
14280367,22,2014-10-29,DOCK,0,,0,
14280367,23,2014-11-12,DOCK,0,,0,
14280367,24,2014-12-01,IDSC,0,,0,
14280367,29,2014-12-01,EX.R,0,,0,
14280367,28,2014-12-01,CTNF,0,,0,
14280367,37,2014-12-19,ELC_RVW,0,,0,
14280367,36,2014-12-19,EML_NTF,0,,0,
14280367,35,2014-12-19,MCTNF,0,,0,
14280367,41,2015-03-19,C614,0,,0,
14280367,38,2015-03-19,A...,0,,0,
14280367,40,2015-03-19,LTDR,0,,0,
14324265,59.5,2015-09-01,PTA36M,0,,.5,
13619871,46,2015-04-23,DVER,0,,0,
13619871,48,2015-04-23,N/=.,0,,0,
13619871,53,2015-04-27,EML_NTF,0,,0,
13619871,52,2015-04-27,MN/=.,0,,0,
13619871,54,2015-04-29,ELC_RVW,0,,0,
13619871,57,2015-07-27,IFEE,0,,0,
13619871,58,2015-07-27,N084,0,,0,
13619871,59,2015-07-28,PILS,0,,0,
13619871,60,2015-07-29,D1935,0,,0,
13619871,62,2015-09-01,PTAC,0,,0,
13619871,62.5,2015-09-01,PTA36M,0,,.5,
13770504,.5,2013-02-19,EFILE,0,,0,
13770504,77,2015-04-23,MN/=.,0,,55,
13770504,95,2015-09-01,PTAC,0,,91,
13770504,48,2014-09-05,A...,0,,37,
13770504,55,2015-04-08,A.NE,0,,52,
13770504,90,2015-07-23,IFEE,0,,77,
13770504,11,2013-03-28,ADDFLFEE,0,,6,
13770504,3,2013-02-19,WIDS,0,,0,
13770504,18,2013-02-19,EIDS.,0,,0,
13770504,5,2013-02-19,APPERMS,0,,0,
13770504,1,2013-02-19,IEXX,0,,0,
13770504,2,2013-02-21,SCAN,0,,0,
13770504,4,2013-02-25,L194,0,,0,
13770504,8,2013-03-19,EML_NTR,0,,0,
13770504,9,2013-03-19,EML_NTF,0,,0,
13770504,6,2013-03-19,INCD,0,,0,
13770504,7,2013-03-19,FLRCPT.O,0,,0,
13770504,10,2013-03-21,ELC_RVW,0,,0,
13770504,37,2014-06-05,MCTNF,47,PTO,.5,
13770504,38,2014-06-05,EML_NTF,0,,0,
13770504,39,2014-06-10,ELC_RVW,0,,0,
13770504,40,2014-08-21,PG-ISSUE,0,,0,
13770504,41,2014-08-22,EML_NTR,0,,0,
13770504,43,2014-08-29,EXIA,0,,0,
13770504,42,2014-08-29,EXAT,0,,0,
13770504,48,2014-09-05,A...,0,,0,
13770504,47,2014-09-09,MEXAT,0,,0,
13770504,49,2014-09-09,FWDX,0,,0,
13770504,50,2015-01-05,CTFR,0,,0,
13770504,54,2015-01-08,ELC_RVW,0,,0,
13770504,52,2015-01-08,MCTFR,3,PTO,48,
13770504,53,2015-01-08,EML_NTF,0,,0,
13770504,57,2015-04-08,RAFC,0,,0,
13770504,55,2015-04-08,A.NE,0,,0,
13770504,56,2015-04-09,FWDX,0,,0,
13770504,67,2015-04-10,EXAT,0,,0,
13770504,66,2015-04-10,EXIA,0,,0,
13770504,70,2015-04-20,N/=.,0,,0,
13770504,68,2015-04-20,DVER,0,,0,
13770504,63,2015-04-20,EX.A,0,,0,
13770504,65,2015-04-20,AFAC,0,,0,
13770504,64,2015-04-20,EX.R,0,,0,
13770504,77,2015-04-23,MN/=.,0,,0,
13964726,.5,2013-08-12,EFILE,0,,0,
13964726,91,2015-04-28,MN/=.,0,,63,
13964726,110,2015-09-01,PTAC,0,,107,
13964726,63,2015-04-06,ELC.,0,,58,
13964726,105,2015-07-14,IFEE,0,,91,
13964726,1,2013-08-12,IEXX,0,,0,
13964726,3,2013-08-12,BIG.,0,,0,
13964726,44,2013-08-12,NPRQ,0,,0,
13964726,2,2013-08-12,R155X,0,,0,
13964726,5,2013-08-12,SCAN,0,,0,
13964726,6,2013-08-19,L194,0,,0,
13964726,7,2013-08-28,SMAL,0,,0,
13964726,14,2013-09-04,EML_NTF,0,,0,
13964726,13,2013-09-04,EML_NTR,0,,0,
13964726,15,2013-09-04,ELC_RVW,0,,0,
13964726,11,2013-09-04,CPAP,0,,0,
