application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
13676933,.5,2012-11-14,EFILE,0,,0,
13676933,46,2015-05-22,MN/=.,0,,37,
13676933,56,2015-09-08,PTAC,0,,52,
13676933,37,2015-04-16,A...,0,,30,
13676933,51,2015-07-24,IFEE,0,,46,
13676933,2,2012-11-14,SCAN,0,,0,
13676933,1,2012-11-14,IEXX,0,,0,
13676933,33,2012-11-14,PET.,0,,0,
13676933,12,2012-11-14,A.PE,0,,0,
13609505,.5,2012-09-11,EFILE,0,,0,
14533796,12,2015-02-12,M844,0,,0,
14533796,13,2015-02-12,RCAP,0,,0,
14533796,14,2015-02-26,PG-ISSUE,0,,0,
14533796,15,2015-02-27,EML_NTR,0,,0,
14533796,16,2015-03-24,DOCK,0,,0,
14533796,17,2015-05-12,IDSC,0,,0,
14533796,21,2015-05-13,DIST,0,,0,
14533796,22,2015-05-13,P574,0,,0,
14533796,25,2015-05-13,EXIE,0,,0,
14533796,26,2015-05-13,EXET,0,,0,
14533796,24,2015-05-14,EX.R,0,,0,
14533796,28,2015-05-14,DVER,0,,0,
14533796,27,2015-05-14,N/=.,0,,0,
14533796,37,2015-05-18,ELC_RVW,0,,0,
14533796,35,2015-05-18,EML_NTF,0,,0,
14476462,12,2014-12-18,PG-ISSUE,0,,0,
14476462,13,2014-12-19,EML_NTR,0,,0,
14476462,14,2014-12-29,CTNF,0,,0,
14476462,16,2015-01-06,MCTNF,0,,0,
14476462,18,2015-01-06,ELC_RVW,0,,0,
14476462,17,2015-01-06,EML_NTF,0,,0,
14476462,20,2015-01-15,EML_NTR,0,,0,
14476462,19,2015-01-15,PA..,0,,0,
14476462,22,2015-02-23,EIDS.,0,,0,
14476462,21,2015-02-23,WIDS,0,,0,
14476462,37,2015-02-23,IDSC,0,,0,
14476462,24,2015-03-03,EXIA,0,,0,
14476462,23,2015-03-03,EXAT,0,,0,
14476462,31,2015-03-06,A...,0,,0,
14476462,29,2015-03-06,DIST,0,,0,
14476462,30,2015-03-06,P574,0,,0,
14476462,32,2015-03-09,FWDX,0,,0,
14476462,28,2015-03-10,MEXAT,0,,0,
14476462,39,2015-05-04,EX.R,0,,0,
14476462,40,2015-05-07,DVER,0,,0,
14476462,42,2015-05-07,N/=.,0,,0,
14476462,45,2015-05-11,MN/=.,0,,0,
