application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
13930990,1,2013-06-28,IEXX,0,,0,
13930990,3,2013-06-29,SCAN,0,,0,
13930990,4,2013-07-05,L194,0,,0,
13930990,11,2013-07-25,RQPR,0,,0,
13930990,8,2013-07-25,PGPC,0,,0,
13930990,7,2013-07-25,COMP,0,,0,
13930990,6,2013-07-25,FLRCPT.O,0,,0,
13930990,9,2013-07-25,FTFI,0,,0,
13930990,10,2013-08-08,OIPE,0,,0,
13930990,12,2013-12-02,PA..,0,,0,
13930990,13,2014-01-02,PG-ISSUE,0,,0,
13930990,14,2014-02-18,DOCK,0,,0,
13930990,15,2014-02-26,DOCK,0,,0,
13930990,16,2014-03-17,DOCK,0,,0,
13930990,17,2014-08-29,DOCK,0,,0,
13930990,18,2015-01-26,CTNF,0,,0,
13930990,20,2015-02-04,MCTNF,160,PTO,.5,
13930990,21,2015-05-04,A...,0,,0,
13930990,22,2015-05-06,FWDX,0,,0,
13930990,32,2015-07-11,EX.R,0,,0,
13930990,34,2015-07-23,N/=.,0,,0,
13930990,33,2015-07-23,DVER,0,,0,
14110396,6,2013-10-17,EML_NTF,0,,0,
14110396,5,2013-10-17,M905,0,,0,
14110396,7,2013-10-17,ELC_RVW,0,,0,
14110396,14,2013-12-16,371COMP,0,,0,
14110396,8,2013-12-16,APPERMS,0,,0,
14110396,9,2013-12-16,OATHDECL,0,,0,
14110396,10,2013-12-16,ADDFLFEE,0,,0,
14110396,13,2013-12-26,PGPC,0,,0,
14110396,12,2013-12-27,FLRCPT.O,0,,0,
14110396,11,2013-12-27,M903,0,,0,
14110396,15,2013-12-27,EML_NTR,0,,0,
14110396,16,2013-12-27,EML_NTR,0,,0,
14110396,17,2014-01-02,OIPE,0,,0,
14110396,18,2014-01-02,COMP,0,,0,
14110396,19,2014-01-02,FTFI,0,,0,
14110396,23,2014-04-03,PG-ISSUE,0,,0,
14110396,24,2014-04-04,EML_NTR,0,,0,
14110396,25,2014-09-15,DOCK,0,,0,
14110396,26,2015-01-14,DOCK,0,,0,
14110396,29,2015-04-21,IDSC,0,,0,
14110396,30,2015-04-22,CTNF,0,,0,
14110396,32,2015-04-29,MCTNF,142,PTO,53.4,
14110396,33,2015-04-29,EML_NTF,0,,0,
14110396,34,2015-04-29,ELC_RVW,0,,0,
14110396,35,2015-07-28,A...,0,,0,
14110396,36,2015-07-31,FWDX,0,,0,
14110396,39,2015-08-05,DVER,0,,0,
14110396,38,2015-08-05,N/=.,0,,0,
14110396,43,2015-08-10,EML_NTF,0,,0,
14110396,42,2015-08-10,MN/=.,0,,0,
14110396,45,2015-08-10,ELC_RVW,0,,0,
14110396,46,2015-08-19,IFEE,0,,0,
14110396,47,2015-08-19,N084,0,,0,
14110396,48,2015-08-24,PILS,0,,0,
14668197,44,2015-07-28,MN/=.,0,,0,
14668197,45,2015-07-28,EML_NTF,0,,0,
14668197,46,2015-07-29,ELC_RVW,0,,0,
14668197,48,2015-08-10,M327-D,0,,0,
14668197,50,2015-08-12,EML_NTR,0,,0,
14668197,49,2015-08-12,MM327-D,0,,0,
13862337,28,2014-12-19,ELC_RVW,0,,0,
13862337,29,2015-03-19,A...,0,,0,
13862337,30,2015-03-25,FWDX,0,,0,
13862337,32,2015-05-20,EX.R,0,,0,
14040132,108,2015-06-24,ELC_RVW,0,,0,
14040132,107,2015-06-24,EML_NTF,0,,0,
14040132,122,2015-06-24,FRCE,0,,0,
14040132,106,2015-06-24,MN/=.,0,,0,
14040132,117,2015-07-01,LET.,0,,0,
14040132,112,2015-07-09,EML_NTR,0,,0,
14040132,111,2015-07-09,FLRCPT.R,0,,0,
14040132,110,2015-07-09,PA..,0,,0,
14040132,113,2015-07-09,EML_NTR,0,,0,
14040132,115,2015-07-31,IFEE,0,,0,
14040132,116,2015-07-31,N084,0,,0,
14040132,118,2015-08-26,M327-6,0,,0,
14040132,124,2015-08-28,D1935,0,,0,
14040132,123,2015-08-28,PILS,0,,0,
14040132,120,2015-08-28,EML_NTR,0,,0,
14040132,119,2015-08-28,MM327-6,59,APPL,117,
14040132,126,2015-08-31,EML_NTR,0,,0,
14040132,125,2015-08-31,CCRDY,0,,0,
14040132,121,2015-08-31,PA..,0,,0,
14040132,128,2015-09-29,PTAC,0,,0,
14040132,128.5,2015-09-29,PTA36M,0,,.5,
12972836,.5,2010-12-20,EFILE,0,,0,
14005292,42.5,2015-09-29,PTA36M,0,,42.4,
14158114,.5,2014-01-17,EFILE,0,,0,
14158114,74,2015-07-01,MN/=.,15,,60,
14158114,28,2014-10-10,MCTNF,0,,.5,
14158114,41,2015-02-27,MCTFR,0,,32,
14158114,74,2015-07-01,MN/=.,0,,60,
14158114,85,2015-09-29,PTAC,0,,80,
14158114,32,2014-12-19,A...,0,,28,
14158114,79,2015-08-21,IFEE,0,,74,
14158114,0,2014-01-17,PTA.RFE,0,,0,
14158114,4,2014-01-17,WIDS,0,,0,
14158114,2,2014-01-17,BIG.,0,,0,
14158114,14,2014-01-17,PTA.RFE,0,,0,
