application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
14021674,27,2014-10-28,EML_NTF,0,,0,
14021674,30,2015-01-06,EXIA,0,,0,
14021674,29,2015-01-06,EXAT,0,,0,
14021674,34,2015-01-23,MEXAT,0,,0,
14021674,36,2015-01-27,A...,0,,0,
14021674,38,2015-01-27,M844,0,,0,
14021674,35,2015-01-27,WIDS,0,,0,
14021674,37,2015-01-28,FWDX,0,,0,
14021674,40,2015-02-19,EIDS.,23,APPL,36,
14021674,39,2015-02-19,WIDS,0,,0,
14021674,41,2015-03-12,PG-ISSUE,0,,0,
14021674,42,2015-03-13,EML_NTR,0,,0,
14021674,45,2015-05-11,IDSC,0,,0,
14021674,46,2015-05-11,IDSC,0,,0,
14021674,51,2015-05-18,EX.R,0,,0,
14021674,52,2015-05-21,DVER,0,,0,
14021674,53,2015-05-21,DOCK,0,,0,
14021674,54,2015-05-21,N/=.,0,,0,
14021674,60,2015-05-27,ELC_RVW,0,,0,
14021674,59,2015-05-27,EML_NTF,0,,0,
14021674,58,2015-05-27,MN/=.,0,,0,
14021674,63,2015-08-10,A.NA,0,,0,
11063080,169,2015-07-22,EML_NTF,0,,0,
11063080,170,2015-07-22,ELC_RVW,0,,0,
11063080,173,2015-08-31,IFEE,0,,0,
11063080,174,2015-08-31,N084,0,,0,
11063080,175,2015-09-01,PILS,0,,0,
11063080,176,2015-09-01,D1935,0,,0,
11063080,179,2015-10-06,PTAC,0,,0,
11063080,179.5,2015-10-06,PTA36M,935,PTO,.5,
11063080,41,2008-09-19,MCTFR,4,,0,
14308273,8,2014-06-18,PTA.RFE,0,,0,
14308273,4,2014-06-18,WIDS,0,,0,
12306218,61,2014-07-16,MCTNF,0,PTO,46,
14308273,2,2014-06-18,BIG.,0,,0,
12306218,62,2014-10-08,A...,0,,0,
14308273,5,2014-06-20,L194,0,,0,
12306218,64,2014-10-08,C614,0,,0,
14308273,9,2014-06-26,FTFS,0,,0,
12306218,63,2014-10-11,FWDX,0,,0,
14308273,7,2014-06-26,COMP,0,,0,
14308273,6,2014-06-26,FLRCPT.O,0,,0,
12306218,65,2015-03-21,CTFR,0,,0,
14308273,10,2014-06-26,PGPC,0,,0,
14308273,11,2015-03-04,OIPE,0,,0,
12306218,67,2015-03-23,MCTFR,0,PTO,62,
