application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
13332837,48,2014-12-18,EIDS.,0,,0,
13332837,49,2014-12-18,A...,0,,0,
13332837,50,2014-12-27,FWDX,0,,0,
13332837,52,2015-01-08,IDSC,0,,0,
13332837,53,2015-01-08,CTNF,0,,0,
13332837,51,2015-01-08,IDSC,0,,0,
13332837,55,2015-01-13,MCTNF,0,,0,
13332837,56,2015-01-13,EML_NTF,0,,0,
13332837,57,2015-01-13,ELC_RVW,0,,0,
13332837,58,2015-04-10,A...,0,,0,
13332837,60,2015-04-10,DIST,0,,0,
14212667,36,2015-06-10,FWDX,0,,0,
14212667,37,2015-06-10,IDSC,0,,0,
13234781,47,2015-01-20,MCTNF,0,,0,
13234781,48,2015-04-20,A...,0,,0,
13234781,49,2015-04-22,FWDX,0,,0,
13234781,50,2015-08-07,IDSC,0,,0,
14212667,39,2015-06-17,N/=.,0,,0,
14212667,40,2015-06-17,DVER,0,,0,
13234781,54,2015-09-09,EX.R,0,,0,
14212667,44,2015-06-22,EML_NTF,0,,0,
14212667,43,2015-06-22,MN/=.,13,PTO,35,
14212667,45,2015-06-22,ELC_RVW,0,,0,
13234781,55,2015-09-13,N/=.,0,,0,
14212667,47,2015-07-08,WIDS,0,,0,
13234781,56,2015-09-13,DVER,0,,0,
14212667,48,2015-07-08,M844,0,,0,
13234781,60,2015-09-14,MN/=.,0,PTO,48,
14212667,49,2015-07-08,RCAP,0,,0,
13234781,63,2015-09-21,N084,0,,0,
14212667,50,2015-07-13,PUBTC,0,,0,
13234781,61,2015-09-21,IFEE,0,,0,
14212667,51,2015-07-15,IDSC,0,,0,
14212667,52,2015-07-16,CNOA,0,,0,
13234781,64,2015-09-23,PILS,0,,0,
13234781,65,2015-09-24,D1935,0,,0,
14212667,53,2015-07-16,TCPB,0,,0,
14279500,21,2014-06-23,A.PE,0,,0,
14279500,22,2014-09-04,PG-ISSUE,0,,0,
14279500,23,2014-09-05,EML_NTR,0,,0,
14279500,24,2014-10-09,IDSC,0,,0,
14279500,25,2014-10-10,CTNF,0,,0,
14279500,27,2014-10-16,MCTNF,0,,0,
14279500,28,2014-10-16,EML_NTF,0,,0,
14279500,29,2014-10-16,ELC_RVW,0,,0,
14279500,30,2015-02-18,XT/G,0,,0,
14279500,31,2015-02-18,A...,33,APPL,27,
14279500,32,2015-02-25,FWDX,0,,0,
14279500,33,2015-02-27,CTFR,0,,0,
14279500,35,2015-03-06,MCTFR,0,,0,
14279500,37,2015-03-06,ELC_RVW,0,,0,
12913250,71,2015-01-23,DRWF,0,,0,
12913250,67,2015-01-26,WIDS,0,,0,
12913250,66,2015-01-26,BRCE,0,,0,
12913250,69,2015-01-26,RCEX,0,,0,
12913250,70,2015-01-26,M844,0,,0,
12913250,68,2015-01-29,ABN9,0,,0,
12913250,72,2015-06-01,IDSC,0,,0,
14455886,32,2015-04-06,A...,0,,31,
14455886,37,2015-05-28,A.NE,0,,36,
14455886,51,2015-09-16,IFEE,0,,48,
14455886,0,2014-12-09,PTA.RFE,0,,0,
14455886,4,2014-08-09,SCAN,0,,0,
14455886,2,2014-08-09,BIG.,0,,0,
14455886,15,2014-08-09,NPRQ,0,,0,
14455886,1,2014-08-09,IEXX,0,,0,
14455886,5,2014-08-12,L194,0,,0,
14455886,9,2014-08-19,INCD,0,,0,
14455886,8,2014-08-19,FLRCPT.O,0,,0,
14336073,25,2015-02-18,CTNF,0,,0,
14336073,24,2015-02-18,IDSC,0,,0,
14336073,28,2015-02-25,EML_NTF,0,,0,
14336073,27,2015-02-25,MCTNF,0,,0,
14457539,2,2014-08-12,BIG.,0,,0,
14457539,1,2014-08-12,IEXX,0,,0,
14457539,4,2014-08-12,WIDS,0,,0,
14457539,3,2014-08-12,SCAN,0,,0,
14457539,6,2014-08-12,PDREQUST,0,,0,
14457539,7,2014-08-12,APPERMS,0,,0,
14457539,5,2014-08-13,L194,0,,0,
14457539,10,2014-08-21,EML_NTF,0,,0,
14457539,12,2014-08-21,ELC_RVW,0,,0,
14457539,9,2014-08-21,FLRCPT.O,0,,0,
14457539,8,2014-08-21,CPAP,0,,0,
14457539,11,2014-08-21,EML_NTR,0,,0,
14457539,13,2014-10-03,CORRSPEC,0,,0,
12728757,19,2012-10-22,ELC_RVW,0,,0,
12728757,17,2012-10-22,MCTNF,519,PTO,.5,
12728757,18,2012-10-22,EML_NTF,0,,0,
12728757,20,2012-12-03,A...,0,,0,
12728757,21,2012-12-30,FWDX,0,,0,
12728757,22,2013-03-06,CTFR,0,,0,
12728757,25,2013-03-13,EML_NTF,0,,0,
12728757,24,2013-03-13,MCTFR,0,,0,
12728757,26,2013-03-13,ELC_RVW,0,,0,
12728757,27,2013-04-23,A.NE,0,,0,
12728757,28,2013-04-25,FWDX,0,,0,
12728757,29,2013-04-29,CTAV,0,,0,
12728757,32,2013-05-03,EML_NTR,0,,0,
12728757,31,2013-05-03,MCTAV,0,,0,
12728757,35,2013-05-16,RCEX,0,,0,
12728757,33,2013-05-16,BRCE,0,,0,
12728757,37,2013-05-24,FWDX,0,,0,
12728757,34,2013-05-24,ABN9,0,,0,
12728757,38,2014-02-17,CTNF,0,,0,
13741595,36,2015-03-16,FWDX,0,,0,
13741595,39,2015-03-31,CTFR,0,,0,
13741595,38,2015-03-31,IDSC,0,,0,
13741595,41,2015-04-06,MCTFR,0,,0,
13541183,50,2015-01-03,FWDX,0,,0,
13541183,53,2015-03-09,EX.A,0,,0,
13541183,54,2015-03-09,EX.R,0,,0,
13541183,55,2015-03-10,DVER,0,,0,
13541183,57,2015-03-10,N/=.,0,,0,
13541183,61,2015-03-12,MN/=.,0,,0,
13541183,62,2015-03-25,WIDS,0,,0,
13541183,65,2015-03-25,M844,0,,0,
13541183,66,2015-04-21,PUBTC,0,,0,
13541183,67,2015-04-22,IDSC,0,,0,
13541183,68,2015-04-22,TCPB,0,,0,
12692940,40,2012-06-20,FWDX,0,,0,
12692940,42,2012-09-27,CTFR,0,,0,
12692940,44,2012-10-04,MCTFR,0,,0,
12692940,45,2012-10-04,EML_NTF,0,,0,
12692940,46,2012-10-04,ELC_RVW,0,,0,
12692940,47,2012-12-04,A.NE,0,,0,
14333194,.5,2014-07-16,EFILE,0,,0,
14333194,73,2015-06-23,MN/=.,23,,59,
14333194,23,2014-10-06,MCTNF,0,,.5,
14333194,32,2015-02-05,MCTFR,0,,28,
13888110,33,2015-02-06,ELC_RVW,0,,0,
13888110,34,2015-04-27,A...,0,,0,
13888110,35,2015-04-29,FWDX,0,,0,
13888110,42,2015-06-18,N/=.,0,,0,
13888110,43,2015-06-19,DVER,0,,0,
13888110,46,2015-06-25,MN/=.,0,,0,
14366099,.5,2012-12-17,NEFILE,0,,0,
14366099,60.4,2014-06-17,COMMN,0,,0,
14366099,26,2015-02-09,MCTNF,0,,60.4,
14366099,47,2015-07-13,MN/=.,0,,37,
14366099,60,2015-10-20,PTAC,0,,56,
14366099,37,2015-04-17,A...,0,,26,
14366099,55,2015-09-10,IFEE,0,,47,
14366099,0,2014-06-17,PTA.RFE,0,,0,
14366099,4,2014-06-17,WIDS,0,,0,
14366099,3,2014-06-17,L194,0,,0,
14366099,18,2014-06-17,RQPR,0,,0,
14366099,17,2014-06-17,A.PE,0,,0,
14366099,16,2014-06-17,EIDS.,0,,0,
14366099,11,2014-06-17,371COMP,0,,0,
14366099,8,2014-06-17,PTA.RFE,0,,0,
14366099,5,2014-06-17,APPERMS,0,,0,
14366099,2,2014-06-17,BIG.,0,,0,
14366099,1,2014-06-17,IEXX,0,,0,
