application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
14129997,8,2014-04-08,ADDFLFEE,0,,4,
14129997,84,2015-08-05,MM327,0,,0,
14129997,0,2014-04-08,PTA.RFE,0,,0,
14129997,21,2013-12-30,A.PE,0,,0,
14129997,1,2013-12-30,IEXX,0,,0,
14129997,3,2013-12-30,L194,0,,0,
14129997,2,2013-12-30,BIG.,0,,0,
14129997,22,2013-12-30,RQPR,0,,0,
14129997,5,2014-02-18,EML_NTF,0,,0,
14129997,4,2014-02-18,M905,0,,0,
14129997,6,2014-02-18,ELC_RVW,0,,0,
14129997,10,2014-04-08,ADDFLFEE,0,,0,
14129997,8,2014-04-08,OATHDECL,0,,0,
14129997,16,2014-04-08,371COMP,0,,0,
14129997,13,2014-04-08,PTA.RFE,0,,0,
14119569,19,2014-03-10,PA..,0,,0,
14119569,21,2014-04-10,PG-ISSUE,0,,0,
14119569,22,2014-04-11,EML_NTR,0,,0,
14119569,23,2015-01-13,DOCK,0,,0,
14119569,28,2015-03-13,EX.R,0,,0,
14119569,29,2015-03-18,DVER,0,,0,
14119569,31,2015-03-18,N/=.,0,,0,
14119569,35,2015-03-20,EML_NTF,0,,0,
14119569,34,2015-03-20,MN/=.,57,PTO,66.4,
14119569,36,2015-03-20,ELC_RVW,0,,0,
14119569,40,2015-06-19,WIDS,0,,0,
14119569,39,2015-06-19,BRCE,0,,0,
14119569,43,2015-06-19,EIDS.,0,,0,
14119569,42,2015-06-19,RCEX,91,APPL,34,
14119569,41,2015-06-23,ABN9,0,,0,
14119569,44,2015-06-24,IDSC,0,,0,
14119569,48,2015-06-24,EX.R,0,,0,
14119569,53,2015-06-25,N/=.,0,,0,
14119569,51,2015-06-25,DVER,0,,0,
14119569,56,2015-06-30,MN/=.,0,,0,
14119569,57,2015-06-30,EML_NTF,0,,0,
14119569,58,2015-06-30,ELC_RVW,0,,0,
14119569,60,2015-08-31,CCRDY,0,,0,
14119569,61,2015-09-25,IFEE,0,,0,
14119569,62,2015-09-25,N084,0,,0,
14119569,64,2015-09-30,D1935,0,,0,
13741803,.5,2013-01-15,EFILE,0,,0,
13741803,59,2015-09-08,MN/=.,42,,49,
13917943,29,2014-06-12,PG-ISSUE,0,,0,
13917943,30,2014-06-13,EML_NTR,0,,0,
13917943,31,2014-07-15,A...,0,,0,
13917943,33,2014-07-15,C602,0,,0,
13917943,34,2014-07-15,DIST,0,,0,
13917943,35,2014-07-18,P575,0,,0,
13917943,32,2014-07-18,FWDX,0,,0,
13917943,36,2014-07-21,CTEQ,0,,0,
13917943,38,2014-07-25,MCTEQ,0,,0,
13917943,40,2014-07-25,ELC_RVW,0,,0,
13917943,39,2014-07-25,EML_NTF,0,,0,
13917943,46,2014-08-07,A.QU,0,,0,
13917943,41,2014-08-12,C.AD,0,,0,
13917943,42,2014-08-14,PA..,0,,0,
12961194,139,2015-07-27,EX.A,0,,0,
12961194,140,2015-07-27,EX.R,0,,0,
12961194,136,2015-07-27,CNOA,0,,0,
12961194,146,2015-07-30,MCNOA,0,,0,
12961194,147,2015-07-30,TCPB,0,,0,
12961194,148,2015-07-30,EML_NTR,0,,0,
12961194,151,2015-09-22,N084,0,,0,
12961194,150,2015-09-22,IFEE,0,,0,
12961194,153,2015-09-23,D1935,0,,0,
12961194,152,2015-09-23,PILS,0,,0,
14327775,7,2014-07-21,SMAL,0,,0,
14327775,13,2014-07-21,PGPW,0,,0,
14327775,8,2014-07-21,COMP,0,,0,
14327775,15,2014-08-11,MP003,0,,0,
14327775,14,2014-08-11,P003,0,,0,
14327775,24,2014-08-11,T1GR,0,,0,
14327775,16,2014-10-02,L197,0,,0,
14327775,17,2014-10-02,L130,0,,0,
14327775,18,2014-10-09,PGPC,0,,0,
14327775,19,2014-10-09,PG-PB-DT,0,,0,
14327775,20,2014-10-27,OIPE,0,,0,
14327775,21,2015-01-15,PG-ISSUE,0,,0,
14327775,22,2015-01-21,TI1050,0,,0,
14327775,23,2015-01-21,DOCK,0,,0,
14327775,32,2015-01-24,EX.R,0,,0,
14327775,35,2015-01-29,N/=.,0,,0,
14327775,33,2015-01-29,DVER,0,,0,
14327775,38,2015-01-29,MN/=.,0,,0,
14327775,40,2015-04-01,WIDS,0,,0,
14327775,45,2015-04-01,RCAP,0,,0,
14327775,44,2015-04-01,M844,0,,0,
14327775,46,2015-04-22,C600,0,,0,
14327775,41,2015-04-27,PA..,0,,0,
14327775,42,2015-04-29,IFEE,0,,0,
14327775,51,2015-04-29,N084,0,,0,
14327775,43,2015-04-30,PUBTC,0,,0,
14327775,49,2015-05-02,PUBTC,0,,0,
14327775,47,2015-05-02,CNOA,0,,0,
14327775,48,2015-05-02,IDSC,0,,0,
14327775,55,2015-05-14,PILS,0,,0,
14327775,54,2015-05-15,MCNOA,45,APPL,40,
13946600,38,2015-06-16,FWDX,0,,0,
13946600,42,2015-06-17,EX.A,0,,0,
13946600,46,2015-06-22,DVER,0,,0,
13946600,43,2015-06-22,N/=.,0,,0,
13946600,48,2015-06-24,MN/=.,0,,0,
13946600,49,2015-06-24,EML_NTF,0,,0,
13946600,51,2015-06-29,ELC_RVW,0,,0,
13946600,52,2015-07-09,MSML,0,,0,
13946600,54,2015-09-22,IFEE,0,,0,
13946600,55,2015-09-22,N084,0,,0,
13946600,56,2015-09-26,PILS,0,,0,
13946600,57,2015-09-28,D1935,0,,0,
13946600,59,2015-10-27,PTAC,0,,0,
13946600,59.5,2015-10-27,PTA36M,0,,.5,
14187788,32,2015-04-09,A...,0,,0,
14528445,1,2014-10-30,IEXX,0,,0,
14187788,34,2015-04-09,C614,0,,0,
14528445,2,2014-10-30,BIG.,0,,0,
