application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
13408453,79,2015-02-26,EXET,0,,0,
13408453,78,2015-02-26,EXIE,0,,0,
13408453,75,2015-03-02,PA..,0,,0,
13408453,76,2015-03-02,EML_NTR,0,,0,
14021940,85,2015-10-01,N084,0,,0,
14021940,86,2015-10-01,DRWF,0,,0,
14021940,88,2015-10-06,PUBTC,0,,0,
14021940,89,2015-10-12,N271,0,,0,
14021940,91,2015-10-13,PILS,0,,0,
14021940,94,2015-10-16,D1935,0,,0,
14021940,93,2015-10-19,TCPB,0,,0,
14021940,95,2015-10-19,EML_NTR,0,,0,
14021940,92,2015-10-19,MN271,19,APPL,86,
14021940,97,2015-11-17,PTAC,0,,0,
14021940,97.5,2015-11-17,PTA36M,0,,.5,
13675273,.5,2012-11-13,EFILE,0,,0,
13675273,50,2015-07-08,MN/=.,0,,28,
13675273,60,2015-11-17,PTAC,0,,55,
13675273,28,2015-05-22,A...,0,,24,
13675273,54,2015-10-07,IFEE,0,,50,
13675273,3,2012-11-13,WIDS,0,,0,
13675273,2,2012-11-13,SCAN,0,,0,
13675273,12,2012-11-13,RCAP,0,,0,
13675273,11,2012-11-13,M844,0,,0,
13675273,5,2012-11-13,APPERMS,0,,0,
13675273,1,2012-11-13,IEXX,0,,0,
13675273,4,2012-11-15,L194,0,,0,
13675273,8,2012-12-11,PGPC,0,,0,
13675273,6,2012-12-12,PA..,0,,0,
13675273,7,2012-12-12,FLRCPT.O,0,,0,
13675273,9,2012-12-12,COMP,0,,0,
13675273,10,2012-12-27,OIPE,0,,0,
13675273,13,2013-01-14,FLRCPT.C,0,,0,
14172284,.5,2014-02-04,EFILE,0,,0,
14172284,30,2015-07-17,MN/=.,0,,23,
14172284,47,2015-11-17,PTAC,0,,43,
14172284,23,2015-07-07,A...,0,,19,
14172284,42,2015-10-12,IFEE,0,,30,
14172284,0,2014-02-04,PTA.RFE,0,,0,
14172284,6,2014-02-04,APPERMS,0,,0,
14172284,2,2014-02-04,BIG.,0,,0,
14172284,3,2014-02-04,SCAN,0,,0,
14172284,22,2014-02-04,PTA.RFE,0,,0,
14172284,1,2014-02-04,IEXX,0,,0,
14172284,4,2014-02-08,L194,0,,0,
14172284,5,2014-02-19,SMAL,0,,0,
14172284,8,2014-02-21,PGPC,0,,0,
14172284,9,2014-02-24,EML_NTR,0,,0,
14172284,10,2014-02-24,COMP,0,,0,
14172284,7,2014-02-24,FLRCPT.O,0,,0,
12100542,24,2010-12-21,ELC_RVW,0,,0,
12100542,25,2011-03-21,A...,0,,0,
12100542,26,2011-03-26,FWDX,0,,0,
12100542,27,2011-05-20,CTFR,0,,0,
12100542,31,2011-05-31,ELC_RVW,0,,0,
12100542,29,2011-05-31,MCTFR,0,,0,
12100542,30,2011-05-31,EML_NTF,0,,0,
12100542,32,2011-08-03,EXIA,0,,0,
12100542,34,2011-08-10,MEXIA,0,,0,
12100542,35,2011-08-31,N/AP,0,,0,
12100542,38,2011-11-03,AP.B,0,,0,
12100542,36,2011-11-03,XT/G,0,,0,
12100542,37,2011-11-04,APBR,0,,0,
12100542,39,2011-11-09,FWDX,0,,0,
12100542,40,2012-01-05,APEA,0,,0,
12100542,44,2012-01-19,ELC_RVW,0,,0,
12100542,42,2012-01-19,MAPEA,0,,0,
12100542,43,2012-01-19,EML_NTF,0,,0,
12100542,45,2012-01-23,PACC,0,,0,
12100542,46,2012-01-23,TCRD,0,,0,
12100542,47,2012-01-24,APE2,0,,0,
12100542,49,2012-01-30,MAPE2,0,,0,
12100542,50,2012-01-30,EML_NTF,0,,0,
12100542,51,2012-01-30,ELC_RVW,0,,0,
12100542,52,2012-04-27,ARBP,0,,0,
12100542,53,2012-05-01,APWD,0,,0,
12100542,54,2012-05-03,APAS,0,,0,
12100542,55,2012-05-07,AP_DK_M,0,,0,
12100542,57,2012-05-07,EML_NTR,0,,0,
12100542,58,2013-01-31,DOCK,0,,0,
12100542,60,2013-10-22,RESC,0,,0,
12100542,61,2013-10-24,PG-PB-DT,0,,0,
12100542,63,2013-10-25,ELC_RVW,0,,0,
12100542,62,2013-10-25,EML_NTF,0,,0,
12100542,64,2013-10-30,PG-RQST,0,,0,
12200679,91,2015-07-28,MN/=.,1419,,38,
12200679,26,2011-01-21,MCTNF,0,,20,
12200679,33,2011-06-09,MCTFR,0,,29,
12200679,53,2014-12-26,MCTNF,0,,46,
12200679,66,2015-04-28,MCTNF,0,,62,
13912330,36,2015-08-06,MN/=.,0,,26,
13912330,47,2015-11-17,PTAC,0,,43,
13912330,26,2015-07-29,A...,0,,23,
13912330,42,2015-10-09,IFEE,0,,36,
13912330,15,2013-06-07,EIDS.,0,,0,
13912330,4,2013-06-07,WIDS,0,,0,
13912330,20,2013-06-07,IDSC,0,,0,
13912330,2,2013-06-07,BIG.,0,,0,
13912330,3,2013-06-07,SCAN,0,,0,
13912330,1,2013-06-07,IEXX,0,,0,
13912330,5,2013-06-12,L194,0,,0,
13912330,7,2013-07-08,PGPC,0,,0,
13912330,8,2013-07-08,FTFS,0,,0,
13912330,12,2013-07-09,COMP,0,,0,
13912330,10,2013-07-09,EML_NTR,0,,0,
13912330,9,2013-07-09,PA..,0,,0,
13912330,6,2013-07-09,FLRCPT.O,0,,0,
13912330,11,2013-07-09,EML_NTR,0,,0,
13912330,13,2013-11-20,OIPE,0,,0,
13912330,14,2013-11-20,FTFS,0,,0,
12466130,100,2015-10-13,IFEE,0,,0,
12466130,101,2015-10-13,N084,0,,0,
12466130,102,2015-10-14,PILS,0,,0,
12466130,103,2015-10-14,D1935,0,,0,
12466130,105,2015-11-17,PTAC,0,,0,
14025600,79,2015-10-13,D1935,0,,0,
14025600,81,2015-11-17,PTAC,0,,0,
14025600,81.5,2015-11-17,PTA36M,0,,.5,
14138145,22,2014-06-04,EIDS.,0,,0,
14138145,23,2014-06-04,WIDS,0,,0,
13498436,49,2014-12-18,EIDS.,0,,0,
13498436,48,2014-12-19,FWDX,0,,0,
13498436,50,2015-01-26,IDSC,0,,0,
13498436,51,2015-01-27,CTFR,0,,0,
13498436,53,2015-02-03,MCTFR,0,,0,
13498436,55,2015-02-03,ELC_RVW,0,,0,
13498436,54,2015-02-03,EML_NTF,0,,0,
13498436,59,2015-07-01,RAFC,0,,0,
13498436,57,2015-07-01,A.NE,0,,0,
13498436,56,2015-07-01,XT/G,0,,0,
13498436,58,2015-07-06,FWDX,0,,0,
13498436,63,2015-07-08,EXET,0,,0,
13498436,61,2015-07-08,AFAC,0,,0,
13498436,60,2015-07-08,CTAV,0,,0,
