application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
13994028,19,2014-12-11,MCTNF,120,PTO,41.4,
12866984,.5,2009-01-23,NEFILE,0,,0,
12866984,94.4,2010-08-10,COMMN,0,,0,
12866984,83,2015-06-05,MN/=.,823,,49,
12866984,44,2013-01-04,MCTFR,0,,39,
12866984,65,2015-02-24,MCTFR,0,,58,
12866984,83,2015-06-05,MN/=.,0,,68,
12866984,94,2015-11-24,PTAC,0,,89,
11536733,137,2015-07-12,EX.R,0,,0,
11536733,147,2015-07-14,DVER,0,,0,
13846234,27,2015-07-20,A...,28,APPL,23,
13846234,26,2015-07-20,XT/G,0,,0,
13846234,28,2015-07-22,FWDX,0,,0,
13846234,30,2015-08-11,EX.A,0,,0,
13846234,31,2015-08-11,EX.R,0,,0,
13846234,33,2015-08-12,N/=.,0,,0,
13846234,32,2015-08-12,DVER,0,,0,
13846234,40,2015-08-14,ELC_RVW,0,,0,
13846234,39,2015-08-14,EML_NTF,0,,0,
13846234,38,2015-08-14,MN/=.,0,,0,
13846234,42,2015-08-31,CCRDY,0,,0,
13846234,44,2015-10-20,IFEE,0,,0,
13846234,45,2015-10-20,N084,0,,0,
13846234,46,2015-10-21,PILS,0,,0,
13846234,47,2015-10-22,D1935,0,,0,
13846234,49,2015-11-24,PTAC,0,,0,
13846234,49.5,2015-11-24,PTA36M,0,,.5,
13766487,31,2013-08-12,DOCK,0,,0,
13766487,32,2014-08-14,PG-ISSUE,0,,0,
13766487,33,2014-08-15,EML_NTR,0,,0,
13766487,34,2014-10-29,DOCK,0,,0,
13766487,35,2014-10-29,DOCK,0,,0,
13766487,38,2014-12-17,DOCK,0,,0,
13766487,39,2015-01-06,DOCK,0,,0,
13766487,56,2015-01-24,CTNF,0,,0,
13766487,59,2015-01-29,EML_NTF,0,,0,
13766487,58,2015-01-29,MCTNF,291,PTO,.5,
13766487,60,2015-01-29,ELC_RVW,0,,0,
13766487,61,2015-04-27,A...,0,,0,
13766487,62,2015-04-28,FWDX,0,,0,
13766487,64,2015-04-30,EX.R,0,,0,
13766487,65,2015-05-01,DVER,0,,0,
13766487,66,2015-05-04,N/=.,0,,0,
13766487,71,2015-05-07,EML_NTF,0,,0,
13766487,72,2015-05-07,ELC_RVW,0,,0,
13766487,70,2015-05-07,MN/=.,0,,0,
13766487,76,2015-06-30,WIDS,0,,0,
13766487,79,2015-06-30,M844,0,,0,
14552886,.5,2014-11-25,EFILE,0,,0,
14552886,30,2015-09-10,MN/=.,0,,.5,
14552886,38,2015-11-24,PTAC,0,,34,
14552886,33,2015-10-20,IFEE,0,,30,
14552886,0,2014-11-25,PTA.RFE,0,,0,
14552886,14,2014-11-25,M844,0,,0,
14552886,7,2014-11-25,APPERMS,0,,0,
14552886,15,2014-11-25,RCAP,0,,0,
14552886,3,2014-11-25,WIDS,0,,0,
14552886,1,2014-11-25,IEXX,0,,0,
14552886,2,2014-11-25,BIG.,0,,0,
13090109,.5,2011-04-19,EFILE,0,,0,
13090109,99,2015-06-15,MN/=.,677,,48,
13090109,120,2015-08-12,MN/=.,34,,107,
13090109,43,2013-05-10,MCTFR,0,,38,
13090109,53,2013-08-30,MCTNF,0,,48,
13090109,60,2013-12-19,MCTFR,0,,56,
13090109,82,2015-03-25,MCTFR,0,,78,
13090109,120,2015-08-12,MN/=.,0,,107,
13090109,99,2015-06-15,MN/=.,0,,85,
13090109,139,2015-11-24,PTAC,0,,126,
13090109,38,2013-04-16,A...,0,,32,
13090109,48,2013-08-08,RCEX,0,,43,
13090109,56,2013-11-21,A...,0,,53,
13090109,65,2014-02-24,RCEX,0,,60,
13090109,78,2015-02-05,A...,0,,75,
13090109,85,2015-05-26,A.NE,0,,82,
13090109,107,2015-07-10,RCEX,0,,99,
13090109,124,2015-09-24,IFEE,0,,120,
13090109,127,2015-09-24,M844,0,,0,
13090109,2,2011-04-19,WIDS,0,,0,
13090109,1,2011-04-19,IEXX,0,,0,
13090109,21,2011-04-19,C614,0,,0,
12653066,.5,2009-12-08,EFILE,0,,0,
12653066,40,2014-12-05,MAPDR,990,,32,
12653066,12,2010-08-03,MCTNF,0,,.5,
12653066,18,2011-02-01,MCTFR,0,,13,
12653066,32,2012-01-20,MAPEA,0,,28,
12653066,49,2014-12-10,MN/=.,0,,40,
