application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
14494831,10,2014-09-30,FTFI,0,,0,
14016801,18,2013-12-03,FLRCPT.U,0,,0,
14016801,23,2014-11-12,FTFS,0,,0,
14016801,24,2014-11-12,OIPE,0,,0,
14016801,26,2014-12-16,DOCK,0,,0,
14016801,27,2015-03-05,PG-ISSUE,0,,0,
14016801,28,2015-03-06,EML_NTR,0,,0,
14016801,29,2015-04-17,IDSC,0,,0,
14016801,33,2015-04-19,CTNF,0,,0,
14016801,35,2015-04-24,MCTNF,172,PTO,.5,
14016801,37,2015-04-24,ELC_RVW,0,,0,
14016801,36,2015-04-24,EML_NTF,0,,0,
14016801,38,2015-07-23,EXAT,0,,0,
13940324,52,2015-08-06,EIDS.,0,,0,
13940324,67,2015-08-06,EIDS.,0,,0,
13940324,66,2015-08-11,ELC_RVW,0,,0,
13940324,64,2015-08-11,MN/=.,0,,0,
13940324,65,2015-08-11,EML_NTF,0,,0,
13940324,69,2015-08-31,CCRDY,0,,0,
13940324,71,2015-11-06,IFEE,0,,0,
13940324,72,2015-11-06,N084,0,,0,
13940324,74,2015-11-10,PILS,0,,0,
13940324,75,2015-11-10,D1935,0,,0,
13940324,76,2015-11-16,D1935,0,,0,
13940324,78,2015-12-15,PTAC,0,,0,
13940324,78.5,2015-12-15,PTA36M,0,,.5,
12532233,.5,2008-03-20,NEFILE,0,,0,
12532233,108.4,2009-09-21,COMMN,0,,0,
12532233,81,2015-04-02,MN/=.,504,,48,
12532233,99,2015-08-14,MN/=.,44,,89,
12532233,33,2012-10-26,MCTNF,0,,28,
12532233,42,2013-05-15,MCTFR,0,,37,
12532233,81,2015-04-02,MN/=.,0,,67,
12532233,99,2015-08-14,MN/=.,0,,89,
12532233,108,2015-12-15,PTAC,0,,104,
12532233,89,2015-07-02,RCEX,0,,81,
12532233,103,2015-11-12,IFEE,0,,99,
12532233,1,2009-09-21,IEXX,0,,0,
12532233,2,2009-09-21,SCAN,0,,0,
12532233,10,2009-09-21,RQPR,0,,0,
12532233,9,2009-09-21,A.PE,0,,0,
12532233,7,2009-09-21,371COMP,0,,0,
12532233,3,2009-09-21,L194,0,,0,
12532233,4,2010-05-13,M903,0,,0,
12532233,5,2010-05-13,FLRCPT.O,0,,0,
12532233,6,2010-05-13,PGPC,0,,0,
12532233,8,2010-06-08,OIPE,0,,0,
12532233,11,2010-08-19,PG-ISSUE,0,,0,
12532233,12,2010-09-18,DOCK,0,,0,
12532233,15,2010-12-22,EIDS.,0,,0,
12532233,14,2010-12-22,LET.,0,,0,
12532233,13,2010-12-22,WIDS,0,,0,
12532233,18,2010-12-22,IDSC,0,,0,
12532233,16,2011-10-25,DOCK,0,,0,
12532233,20,2012-02-29,CTNF,0,,0,
12532233,19,2012-02-29,C.AD,0,,0,
12532233,23,2012-03-05,EML_NTR,0,,0,
12532233,22,2012-03-05,PA..,0,,0,
12532233,24,2012-03-07,MCTNF,472,PTO,108.4,
12532233,25,2012-03-07,EML_NTF,0,,0,
12532233,26,2012-03-07,ELC_RVW,0,,0,
14801391,.5,2015-07-16,EFILE,0,,0,
14801391,26,2015-10-26,MN/=.,0,,.5,
14801391,34,2015-12-15,PTAC,0,,29,
14801391,28,2015-11-09,IFEE,0,,26,
13776875,.5,2013-02-26,EFILE,0,,0,
13776875,60,2015-08-11,MN/=.,0,,53,
13776875,70,2015-12-15,PTAC,0,,66,
13776875,39,2014-09-09,A...,0,,36,
13776875,53,2015-07-23,A.NE,0,,50,
13776875,65,2015-11-09,IFEE,0,,60,
13776875,2,2013-02-26,SCAN,0,,0,
13776875,1,2013-02-26,IEXX,0,,0,
13776875,5,2013-02-26,APPERMS,0,,0,
13776875,3,2013-02-27,L198,0,,0,
13776875,4,2013-03-01,L128,0,,0,
13776875,6,2013-03-20,SMAL,0,,0,
14658806,.5,2015-03-16,EFILE,0,,0,
13776875,7,2013-03-21,FLRCPT.O,0,,0,
13776875,8,2013-03-21,CPAP,0,,0,
14658806,48,2015-08-28,MN/=.,18,,37,
13776875,13,2013-05-17,ADDFLFEE,0,,0,
14706634,55,2015-10-20,EXAT,0,,0,
14706634,48,2015-10-21,FWDX,0,,0,
14706634,54,2015-10-26,EX.R,0,,0,
14706634,53,2015-10-26,EX.A,0,,0,
14706634,62,2015-11-04,DVER,0,,0,
14706634,64,2015-11-04,N/=.,0,,0,
14706634,70,2015-11-09,EML_NTF,0,,0,
14706634,69,2015-11-09,MN/=.,0,,0,
