application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
13664602,59,2015-07-28,WIDS,0,,0,
13664602,67,2015-07-28,WIDS,0,,0,
13664602,66,2015-07-28,WIDS,0,,0,
13664602,68,2015-07-28,WIDS,0,,0,
13664602,76,2015-07-28,IDSC,0,,0,
13664602,77,2015-07-28,IDSC,0,,0,
13664602,78,2015-07-28,IDSC,0,,0,
13664602,79,2015-07-28,IDSC,0,,0,
13664602,80,2015-07-28,IDSC,0,,0,
13664602,81,2015-07-28,IDSC,0,,0,
13664602,82,2015-07-28,IDSC,0,,0,
13664602,83,2015-07-28,IDSC,0,,0,
13664602,55,2015-07-30,MEXAT,0,,0,
13664602,63,2015-08-03,FWDX,0,,0,
13664602,69,2015-08-10,IDSC,0,,0,
13675174,12,2013-04-29,DOCK,0,,0,
13675174,13,2013-05-23,PG-ISSUE,0,,0,
13675174,14,2014-07-21,DOCK,0,,0,
13675174,15,2015-06-22,IDSC,0,,0,
13675174,16,2015-06-22,PICO,0,,0,
13675174,18,2015-06-24,MPICO,527,PTO,.5,
13675174,19,2015-07-06,RPICO,0,,0,
13675174,20,2015-07-12,FWDX,0,,0,
13675174,23,2015-07-15,EXAT,0,,0,
13675174,22,2015-07-15,EXIA,0,,0,
13675174,21,2015-07-17,FAIA,0,,0,
13675174,27,2015-07-23,MFAIA,0,,0,
13675174,28,2015-07-24,A...,0,,0,
13675174,29,2015-07-28,FWDX,0,,0,
13675174,33,2015-09-29,EX.R,0,,0,
13970425,22,2014-11-17,DOCK,0,,0,
13970425,23,2015-01-06,WIDS,0,,0,
13970425,25,2015-01-06,EIDS.,0,,0,
13970425,24,2015-01-12,DOCK,0,,0,
13970425,30,2015-02-04,IDSC,0,,0,
13970425,31,2015-02-04,CTNF,0,,0,
13970425,29,2015-02-04,IDSC,0,,0,
13970425,34,2015-02-10,MCTNF,114,PTO,.5,
13970425,35,2015-02-10,EML_NTF,0,,0,
13970425,36,2015-02-10,ELC_RVW,0,,0,
13970425,37,2015-05-11,A...,0,,0,
13970425,38,2015-05-13,FWDX,0,,0,
