application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
13911625,5,2013-06-06,APPERMS,0,,0,
13911625,3,2013-06-06,SCAN,0,,0,
13911625,4,2013-06-11,L194,0,,0,
13911625,9,2013-07-02,FTFS,0,,0,
13911625,8,2013-07-02,PGPC,0,,0,
13911625,6,2013-07-03,PA..,0,,0,
13911625,7,2013-07-03,FLRCPT.O,0,,0,
13911625,12,2013-07-03,COMP,0,,0,
13911625,11,2013-07-03,EML_NTR,0,,0,
13911625,10,2013-07-03,EML_NTR,0,,0,
13911625,13,2013-11-20,OIPE,0,,0,
13911625,14,2013-11-20,FTFS,0,,0,
13911625,15,2014-02-26,DOCK,0,,0,
13911625,16,2014-12-11,PG-ISSUE,0,,0,
13911625,17,2014-12-12,EML_NTR,0,,0,
13911625,18,2015-02-05,DOCK,0,,0,
13911625,22,2015-07-09,CTNF,0,,0,
13911625,24,2015-07-15,MCTNF,343,PTO,.5,
13911625,26,2015-07-15,ELC_RVW,0,,0,
13911625,25,2015-07-15,EML_NTF,0,,0,
13911625,28,2015-08-19,A...,0,,0,
13911625,29,2015-08-31,FWDX,0,,0,
13911625,27,2015-08-31,CCRDY,0,,0,
13911625,33,2015-09-29,DVER,0,,0,
13911625,31,2015-09-29,N/=.,0,,0,
13911625,35,2015-10-02,MN/=.,0,,0,
13911625,36,2015-10-02,EML_NTF,0,,0,
13911625,38,2015-10-06,ELC_RVW,0,,0,
13803684,35,2015-10-21,MN/=.,0,,0,
13803684,33,2015-10-21,N/=.,0,,0,
13803684,38,2015-12-30,IFEE,0,,0,
13803684,39,2015-12-30,N084,0,,0,
13803684,40,2016-01-08,PILS,0,,0,
13803684,41,2016-01-08,D1935,0,,0,
13803684,43,2016-02-09,PTAC,0,,0,
13803684,43.5,2016-02-09,PTA36M,0,,.5,
13485313,.5,2012-05-31,EFILE,0,,0,
13485313,37,2015-12-04,MN/=.,0,,27,
13485313,55,2016-02-09,PTAC,0,,50,
13485313,42,2015-12-16,IFEE,0,,37,
13485313,1,2012-05-31,IEXX,0,,0,
13485313,2,2012-05-31,SCAN,0,,0,
13485313,3,2012-06-04,L194,0,,0,
13485313,5,2012-06-12,PGPC,0,,0,
13485313,8,2012-06-13,EML_NTR,0,,0,
