application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
14022511,34,2015-06-10,PA..,0,,0,
14170555,45,2016-02-16,PTAC,0,,41,
12911268,25,2012-05-24,XT/G,0,,0,
12911268,26,2012-05-24,ELC.,8,APPL,22,
12911268,27,2012-05-26,FWDX,0,,0,
12911268,28,2012-05-31,WIDS,7,APPL,26,
12911268,31,2012-05-31,IDSC,0,,0,
12911268,32,2012-07-30,CTNF,0,,0,
12911268,35,2012-08-02,EML_NTF,0,,0,
12911268,34,2012-08-02,MCTNF,0,,0,
12911268,36,2012-08-02,ELC_RVW,0,,0,
12911268,40,2013-01-31,A...,90,APPL,34,
12911268,38,2013-01-31,XT/G,0,,0,
12911268,39,2013-01-31,XT/G,0,,0,
12911268,41,2013-02-05,FWDX,0,,0,
12911268,42,2013-02-07,CTFR,0,,0,
12911268,44,2013-02-12,MCTFR,0,,0,
12911268,45,2013-02-12,EML_NTF,0,,0,
12911268,46,2013-02-12,ELC_RVW,0,,0,
12911268,48,2013-08-12,XT/G,0,,0,
14140628,69,2016-01-05,IFEE,0,,64,
14140628,2,2013-12-26,BIG.,0,,0,
14140628,1,2013-12-26,IEXX,0,,0,
14140628,4,2013-12-26,WIDS,0,,0,
14140628,16,2013-12-26,M844,0,,0,
14140628,6,2013-12-26,PDREQUST,0,,0,
14140628,3,2013-12-26,SCAN,0,,0,
14140628,5,2014-01-02,L194,0,,0,
14140628,8,2014-01-09,PGPC,0,,0,
14140628,12,2014-01-10,COMP,0,,0,
14140628,11,2014-01-10,EML_NTR,0,,0,
14140628,10,2014-01-10,EML_NTR,0,,0,
14140628,7,2014-01-10,FLRCPT.O,0,,0,
14140628,9,2014-01-10,PA..,0,,0,
14140628,13,2014-01-27,OIPE,0,,0,
14140628,14,2014-01-27,FTFI,0,,0,
14140628,15,2014-01-31,DOCK,0,,0,
14140628,17,2014-04-23,DOCK,0,,0,
14140628,18,2014-07-17,PG-ISSUE,0,,0,
14140628,19,2014-07-18,EML_NTR,0,,0,
14140628,20,2014-08-13,PD.RECVD,0,,0,
14140628,21,2014-09-19,IDSC,0,,0,
14140628,25,2014-09-26,CTNF,0,,0,
14140628,29,2014-10-14,MCTNF,0,,0,
14140628,31,2014-10-14,ELC_RVW,0,,0,
14140628,30,2014-10-14,EML_NTF,0,,0,
14140628,32,2014-12-18,A...,0,,0,
14140628,33,2014-12-22,FWDX,0,,0,
14140628,34,2015-02-25,CTFR,0,,0,
14140628,36,2015-03-05,MCTFR,0,,0,
14140628,37,2015-03-05,EML_NTF,0,,0,
14140628,38,2015-03-06,ELC_RVW,0,,0,
14140628,39,2015-05-11,BRCE,0,,0,
14140628,41,2015-05-11,RCEX,0,,0,
14130023,87.5,2016-02-16,PTA36M,0,,87.4,
14478685,22,2014-10-21,DOCK,0,,0,
14478685,23,2014-10-22,PD.RECVD,0,,0,
14478685,27,2014-10-22,RQPR,0,,0,
14478685,28,2014-11-18,C602,0,,0,
14478685,29,2015-01-29,PG-ISSUE,0,,0,
14478685,36,2015-04-02,CTRS,0,,0,
14478685,38,2015-04-03,MCTRS,0,,0,
14478685,39,2015-06-03,ELC.,0,,0,
14478685,40,2015-06-05,FWDX,0,,0,
14478685,41,2015-06-08,IDSC,0,,0,
14478685,42,2015-06-08,CTNF,0,,0,
14478685,44,2015-06-09,MCTNF,0,,0,
14478685,45,2015-08-31,CCRDY,0,,0,
14478685,46,2015-09-09,A...,0,,0,
14478685,47,2015-09-15,FWDX,0,,0,
14478685,50,2015-09-23,N/=.,0,,0,
14478685,49,2015-09-23,DVER,0,,0,
14307961,77,2016-02-16,PTAC,0,,0,
14307961,77.5,2016-02-16,PTA36M,0,,.5,
14221707,2,2014-03-21,BIG.,0,,0,
14221707,9,2014-03-21,PTA.RFE,0,,0,
14221707,14,2014-03-21,EIDS.,0,,0,
14221707,5,2014-03-26,L194,0,,0,
14221707,10,2014-04-14,PGPC,0,,0,
14221707,8,2014-04-15,COMP,0,,0,
14221707,7,2014-04-15,FLRCPT.O,0,,0,
14221707,11,2014-04-15,EML_NTR,0,,0,
14221707,12,2014-11-21,FTFS,0,,0,
14221707,13,2015-02-09,OIPE,0,,0,
14221707,15,2015-03-17,DOCK,0,,0,
14221707,16,2015-03-19,DOCK,0,,0,
14221707,17,2015-06-28,IDSC,0,,0,
14221707,21,2015-06-28,CTNF,0,,0,
14221707,24,2015-07-06,EML_NTF,0,,0,
14221707,25,2015-07-06,ELC_RVW,0,,0,
14221707,23,2015-07-06,MCTNF,46,PTO,.5,
14221707,26,2015-09-24,PG-ISSUE,0,,0,
14221707,27,2015-09-24,CCRDY,0,,0,
14221707,28,2015-09-25,EML_NTR,0,,0,
14221707,29,2015-10-06,A...,0,,0,
14221707,30,2015-10-13,FWDX,0,,0,
14221707,35,2015-10-19,EX.R,0,,0,
14221707,36,2015-10-19,EXET,0,,0,
