application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
13823467,39,2015-01-16,MCTNF,247,PTO,70.4,
13823467,40,2015-01-16,EML_NTF,0,,0,
13823467,41,2015-01-16,ELC_RVW,0,,0,
13823467,42,2015-04-16,A...,0,,0,
13823467,43,2015-04-19,FWDX,0,,0,
13823467,44,2015-07-31,CTFR,0,,0,
13823467,46,2015-08-06,MCTFR,0,,0,
13823467,47,2015-08-06,EML_NTF,0,,0,
13707976,.5,2012-12-07,EFILE,0,,0,
13707976,53,2015-10-22,MN/=.,0,,38,
13707976,79,2016-02-23,PTAC,0,,76,
13707976,74,2016-01-12,IFEE,0,,53,
13707976,66,2015-12-08,MCNOA,0,,0,
13707976,1,2012-12-07,IEXX,0,,0,
13707976,5,2012-12-07,APPERMS,0,,0,
13707976,4,2012-12-07,PDREQUST,0,,0,
13707976,2,2012-12-07,SCAN,0,,0,
13707976,3,2012-12-12,L194,0,,0,
13707976,7,2013-01-10,FLRCPT.O,0,,0,
13707976,6,2013-01-10,CPAP,0,,0,
13707976,8,2013-02-28,WIDS,0,,0,
13773696,66,2016-02-23,PTAC,0,,0,
13773696,66.5,2016-02-23,PTA36M,1,PTO,.5,
13525610,4,2012-06-21,L194,0,,0,
13525610,7,2012-07-02,PGPC,0,,0,
13525610,6,2012-07-03,FLRCPT.O,0,,0,
13525610,9,2012-07-03,COMP,0,,0,
13525610,8,2012-07-03,EML_NTR,0,,0,
13525610,10,2012-07-19,OIPE,0,,0,
13525610,13,2012-09-20,DOCK,0,,0,
13525610,14,2012-12-20,PG-ISSUE,0,,0,
13525610,15,2012-12-21,EML_NTR,0,,0,
13955444,25,2014-03-10,FTFI,0,,0,
13955444,24,2014-03-10,OIPE,0,,0,
13955444,31,2014-03-31,DOCK,0,,0,
13955444,32,2014-06-12,PG-ISSUE,0,,0,
13955444,33,2014-06-13,EML_NTR,0,,0,
13955444,34,2015-04-07,DOCK,0,,0,
13955444,35,2015-08-31,CCRDY,0,,0,
13955444,46,2015-10-01,EX.R,0,,0,
13955444,47,2015-10-08,N/=.,0,,0,
13955444,48,2015-10-08,DVER,0,,0,
13955444,52,2015-10-16,MN/=.,381,PTO,.5,
13955444,53,2015-10-16,EML_NTF,0,,0,
13955444,54,2015-10-16,ELC_RVW,0,,0,
13955444,57,2016-01-18,IFEE,0,,0,
13955444,58,2016-01-18,N084,0,,0,
13653474,11,2012-11-06,CPAP,0,,0,
13653474,14,2012-12-17,ADDFLFEE,0,,0,
13653474,21,2012-12-17,PTA.RFE,0,,0,
13653474,13,2012-12-17,CORRDRW,0,,0,
13653474,17,2012-12-27,COMP,0,,0,
13653474,16,2012-12-27,PGPW,0,,0,
13653474,15,2012-12-27,FLRCPT.U,0,,0,
13653474,19,2015-06-11,L197,0,,0,
13653474,20,2015-06-11,L130,0,,0,
13653474,18,2015-06-11,L197,0,,0,
13653474,23,2015-06-18,PG-PB-DT,0,,0,
13653474,22,2015-06-18,PGPC,0,,0,
13653474,24,2015-06-19,FTFI,0,,0,
13653474,25,2015-06-19,OIPE,0,,0,
13653474,26,2015-06-22,DOCK,0,,0,
13653474,27,2015-07-03,CTRS,0,,0,
13653474,29,2015-07-07,MCTRS,567,PTO,.5,
13653474,30,2015-07-30,ELC.,0,,0,
13653474,31,2015-08-07,FWDX,0,,0,
13653474,32,2015-09-06,CTNF,0,,0,
14002269,84,2015-11-09,MN/=.,20,,72,
14002269,84,2015-11-09,MN/=.,0,,72,
14002269,93,2016-02-23,PTAC,0,,89,
14002269,72,2015-10-21,RCEX,0,,56,
14002269,88,2016-01-15,IFEE,0,,84,
14002269,7,2013-09-05,ELC_RVW,0,,0,
