application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
10736848,101,2011-05-10,APBR,0,,0,
10736848,103,2011-05-10,FWDX,0,,0,
10736848,104,2011-07-18,APEA,0,,0,
10736848,106,2011-07-26,MAPEA,0,,0,
10736848,107,2011-07-26,EML_NTF,0,,0,
10736848,108,2011-08-03,PST_CRD,0,,0,
10736848,109,2011-08-10,PACC,0,,0,
10736848,110,2011-08-10,TCRD,0,,0,
10736848,112,2011-09-14,PEAC,0,,0,
10736848,114,2011-09-19,MPEAC,0,,0,
10736848,116,2011-09-26,APRB,0,,0,
10736848,115,2011-09-27,TCWD,0,,0,
10736848,117,2011-09-27,FWDX,0,,0,
10736848,118,2011-12-04,RBNE,0,,0,
10736848,120,2011-12-12,MRBNE,0,,0,
10736848,121,2011-12-12,EML_NTR,0,,0,
10736848,122,2011-12-12,APWD,0,,0,
11752918,.5,2007-05-23,EFILE,0,,0,
11752918,149,2016-02-03,MN/=.,1780,,42,
11752918,35,2010-12-22,MCTFR,0,,32,
11752918,61,2013-02-13,MCTFR,0,,52,
11752918,75,2013-06-21,MCTNF,0,,69,
11752918,91,2014-01-03,MCTNF,0,,81,
11752918,105,2014-07-01,MCTFR,0,,99,
11752918,131,2015-10-23,MCTFR,0,,126,
11752918,149,2016-02-03,MN/=.,0,,137,
11752918,163,2016-03-15,PTAC,0,,155,
11752918,32,2010-10-12,A...,0,,27,
11752918,42,2011-03-22,RCEX,0,,35,
11752918,52,2012-10-22,A...,0,,49,
11752918,69,2013-04-18,RCEX,0,,61,
11752918,81,2013-09-18,A...,0,,75,
11752918,99,2014-03-06,A...,0,,91,
11752918,106,2014-10-01,N/AP,0,,105,
11752918,126,2015-07-24,A...,0,,118,
11752918,137,2016-01-11,A.NE,0,,131,
11752918,153,2016-02-09,IFEE,0,,149,
11752918,108,2014-12-01,AP.B,0,,106,
11752918,1,2007-05-23,IEXX,0,,0,
11752918,56,2007-05-23,NPRQ,0,,0,
13719554,41,2015-10-02,A.NE,0,,40,
13719554,82,2016-02-05,IFEE,0,,76,
13719554,2,2012-12-19,SCAN,0,,0,
13719554,1,2012-12-19,IEXX,0,,0,
13719554,4,2012-12-19,PDREQUST,0,,0,
13719554,3,2012-12-23,L194,0,,0,
13719554,6,2013-01-19,PGPC,0,,0,
13719554,7,2013-01-22,PA..,0,,0,
13719554,8,2013-01-22,COMP,0,,0,
13719554,5,2013-01-22,FLRCPT.O,0,,0,
13719554,9,2013-01-31,OIPE,0,,0,
13719554,10,2013-02-01,DOCK,0,,0,
13719554,46,2013-04-23,IDSC,0,,0,
13719554,13,2013-04-23,M844,0,,0,
13719554,11,2013-04-23,WIDS,0,,0,
13719554,47,2013-05-09,IDSC,0,,0,
13719554,12,2013-05-09,WIDS,0,,0,
13388272,39,2014-05-30,CTNF,0,,0,
13388272,29,2014-05-30,IDSC,0,,0,
13388272,33,2014-05-30,IDSC,0,,0,
13388272,30,2014-05-30,IDSC,0,,0,
