application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
09855512,17,2001-12-19,R1021,0,,0,
09855512,18,2001-12-19,SENT,0,,0,
09855512,19,2002-01-10,R1021,0,,0,
09855512,20,2002-01-18,IFEE,0,,0,
09855512,23,2002-01-18,N084,0,,0,
09855512,24,2002-02-04,PILS,0,,0,
09855512,25,2002-02-05,R1021,0,,0,
09855512,26,2002-03-05,PTAC,0,,0,
09523668,18,2001-05-23,BCPA,0,,0,
09523668,19,2001-05-23,FCPA,0,,0,
09523668,20,2001-05-23,ABN3,0,,0,
09523668,21,2001-05-23,MABN3,0,,0,
09523668,22,2001-05-23,ACPA,0,,0,
09523668,23,2001-06-05,FWDX,0,,0,
09523668,24,2001-07-13,CTNF,0,,0,
09523668,25,2001-07-13,MCTNF,0,,0,
09523668,26,2001-10-15,A...,2,APPL,25,
09523668,27,2001-10-22,FWDX,0,,0,
09523668,28,2001-11-21,CTFR,0,,0,
09523668,29,2001-12-03,MCTFR,0,,0,
09523668,30,2002-01-22,SCAN,0,,0,
09523668,31,2002-02-05,A.NE,0,,0,
09523668,32,2002-02-07,FWDX,0,,0,
09523668,34,2002-02-13,N/=.,0,,0,
09523668,35,2002-02-13,N/DR,0,,0,
09523668,36,2002-02-13,MN/DR,0,,0,
09523668,37,2002-02-13,MN/=.,0,,0,
09864579,15,2001-05-24,DRWF,0,,0,
09864579,14,2001-05-24,DRWM,0,,0,
09864579,11,2001-09-27,R1021,0,,0,
09864579,13,2001-10-02,SENT,0,,0,
09864579,16,2001-11-19,N084,0,,0,
09864579,12,2002-01-02,IFEE,0,,0,
09864579,17,2002-01-22,PILS,0,,0,
09864579,18,2002-01-23,R1021,0,,0,
09864579,19,2002-03-05,PTAC,0,,0,
09907622,9,2001-07-19,SMAL,0,,0,
09907622,15,2001-10-05,R1021,0,,0,
09907622,19,2001-10-10,SENT,0,,0,
09907622,11,2001-10-19,FPET,0,,0,
09907622,12,2001-10-19,PET.,0,,0,
09907622,13,2001-10-19,BIG.,0,,0,
09907622,14,2001-11-01,MPTGR,0,,0,
09907622,16,2002-01-07,DRWR,57,APPL,16,
09907622,17,2002-01-07,IFEE,0,,0,
09907622,18,2002-01-07,DRWI,0,,0,
09907622,23,2002-01-07,N084,0,,0,
