application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
09337682,36,2003-01-30,SENT,0,,0,
09337682,37,2003-02-27,DRWR,83,APPL,37,
09337682,41,2003-02-27,DRWM,0,,0,
09337682,42,2003-02-27,DRWF,0,,0,
09337682,38,2003-02-27,DRWI,0,,0,
09337682,39,2003-03-14,R1021,0,,0,
09337682,40,2003-04-14,IFEE,0,,0,
09337682,43,2003-04-14,N084,0,,0,
09337682,44,2003-04-23,PILS,0,,0,
09337682,45,2003-04-25,R1021,0,,0,
09337682,46,2003-05-20,PTAC,0,,0,
09858822,6,2001-05-16,A.PE,0,,0,
09858822,1,2001-05-16,IEXX,0,,0,
09858822,2,2001-05-23,SCAN,0,,0,
09858822,3,2001-07-12,C.AD,0,,0,
09858822,4,2001-07-13,OIPE,0,,0,
09858822,5,2001-07-17,DOCK,0,,0,
09858822,7,2002-03-26,DOCK,0,,0,
09858822,8,2002-05-01,CTNF,0,,0,
09858822,9,2002-05-02,MCTNF,0,,0,
09858822,10,2002-10-15,XT/G,0,,0,
09858822,11,2002-10-15,A...,74,APPL,9,
09858822,12,2002-11-07,FWDX,0,,0,
09858822,13,2002-12-11,CTNF,0,,0,
09858822,14,2002-12-12,MCTNF,0,,0,
09858822,15,2003-03-12,A...,0,,0,
09858822,16,2003-03-27,FWDX,0,,0,
09858822,18,2003-04-30,N/=.,0,,0,
09858822,19,2003-05-01,MN/=.,0,,0,
10003842,23,2001-12-04,DRWM,0,,0,
10003842,24,2001-12-04,DRWF,0,,0,
10003842,17,2003-03-06,D1220,0,,0,
10003842,18,2003-03-07,R1021,0,,0,
10003842,19,2003-03-10,SENT,0,,0,
10003842,20,2003-03-10,SENT,0,,0,
10003842,22,2003-04-08,IFEE,0,,0,
10003842,25,2003-04-08,N084,0,,0,
10003842,21,2003-04-09,R1021,0,,0,
10003842,26,2003-04-18,PILS,0,,0,
10003842,27,2003-04-22,R1021,0,,0,
10003842,28,2003-05-20,PTAC,0,,0,
09961575,21,2001-09-24,DRWM,0,,0,
09961575,22,2001-09-24,DRWF,0,,0,
09961575,16,2003-03-05,D1220,0,,0,
09961575,17,2003-03-06,R1021,0,,0,
09961575,18,2003-03-07,SENT,0,,0,
09961575,19,2003-03-11,IFEE,0,,0,
09961575,23,2003-03-11,N084,0,,0,
09961575,20,2003-04-15,C.AD,0,,0,
09961575,24,2003-04-15,PILS,0,,0,
09961575,25,2003-04-17,R1021,0,,0,
09961575,26,2003-05-20,PTAC,0,,0,
09907556,1,2001-07-17,IEXX,0,,0,
09907556,2,2001-07-28,SCAN,0,,0,
09907556,3,2001-09-05,C.AD,0,,0,
09907556,4,2001-09-07,INCD,0,,0,
09907556,5,2001-11-14,COMP,0,,0,
09907556,6,2001-11-14,OIPE,0,,0,
09907556,7,2001-11-24,DOCK,0,,0,
