application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
09593767,18,2003-10-09,M844,0,,0,
09593767,16,2003-10-14,A...,5,APPL,14,
09593767,17,2003-10-31,FWDX,0,,0,
09593767,19,2003-12-17,DOCK,0,,0,
09593767,20,2003-12-18,CTFR,0,,0,
09593767,21,2003-12-23,MCTFR,0,,0,
09593767,23,2004-04-27,WAMD,0,,0,
09593767,22,2004-04-27,BRCE,0,,0,
09593767,24,2004-04-27,XT/G,0,,0,
09593767,26,2004-04-27,RCEX,0,,0,
09593767,29,2004-05-06,FWDX,0,,0,
09593767,25,2004-05-06,ABN9,0,,0,
09593767,27,2004-05-06,FWDX,0,,0,
09593767,31,2004-07-08,N/=.,0,,0,
09593767,32,2004-07-09,MN/=.,0,,0,
10458445,18,2003-06-09,RCAP,0,,0,
10458445,8,2003-06-09,M844,0,,0,
10458445,1,2003-06-09,IEXX,0,,0,
10458445,2,2003-06-19,L194,0,,0,
10458445,3,2003-07-15,COMP,0,,0,
10458445,4,2003-07-15,OIPE,0,,0,
10458445,5,2003-07-16,ROIPE,0,,0,
10458445,6,2003-07-16,COMP,0,,0,
10458445,7,2003-07-16,WROIPE,0,,0,
10458445,9,2003-07-24,DOCK,0,,0,
10458445,10,2003-12-11,CTRS,0,,0,
10458445,11,2003-12-15,MCTRS,0,,0,
10458445,12,2004-01-12,ELC.,0,,0,
10458445,14,2004-01-12,C614,0,,0,
10458445,13,2004-01-16,FWDX,0,,0,
10458445,15,2004-01-20,CTNF,0,,0,
10458445,16,2004-01-23,MCTNF,0,,0,
10458445,19,2004-04-26,A...,3,APPL,16,
10458445,17,2004-04-26,WAMD,0,,0,
10458445,20,2004-05-11,FWDX,0,,0,
10458445,21,2004-05-11,TSSCOMP,0,,0,
10458445,24,2004-07-09,N/=.,0,,0,
10458445,25,2004-07-13,MN/=.,0,,0,
09892024,22,2003-06-09,A...,56,APPL,19,
09892024,23,2003-06-20,FWDX,0,,0,
09892024,24,2003-08-25,CTNF,0,,0,
09892024,25,2003-08-25,MCTNF,0,,0,
09892024,26,2003-09-05,M844,0,,0,
