application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11001086,15,2006-08-22,FWDX,0,,0,
11001086,17,2006-09-11,N/=.,0,,0,
11001086,19,2006-09-12,MN/=.,0,,0,
10470018,28,2006-08-08,N084,0,,0,
10470018,27,2006-08-09,IFEE,0,,0,
09875861,44,2006-08-01,N084,0,,0,
09875861,43,2006-08-01,IFEE,0,,0,
09875861,45,2006-08-04,PILS,0,,0,
09875861,46,2006-08-04,D1935,0,,0,
09875861,48,2006-09-19,PTAC,0,,0,
09875861,48.5,2006-08-30,PTA36M,0,PTO,0,
10792694,8,2004-08-18,COMP,0,,0,
10792694,9,2004-08-18,OIPE,0,,0,
10792694,10,2004-08-20,ROIPE,0,,0,
10792694,11,2004-08-20,W/OA,0,,0,
10792694,18,2004-11-17,M844,0,,0,
10792694,35,2004-11-17,IDSC,0,,0,
10792694,19,2004-12-01,M844,0,,0,
10792694,36,2004-12-01,IDSC,0,,0,
10792694,20,2005-03-18,M844,0,,0,
10792694,37,2005-03-18,IDSC,0,,0,
10792694,21,2005-06-29,M844,0,,0,
10792694,38,2005-06-29,IDSC,0,,0,
10792694,12,2005-09-09,COMP,0,,0,
10792694,13,2005-09-09,WROIPE,0,,0,
10792694,22,2005-10-05,M844,0,,0,
10792694,39,2005-10-05,IDSC,0,,0,
10792694,23,2005-10-12,DOCK,0,,0,
10792694,24,2005-10-12,TSSCOMP,0,,0,
10792694,25,2005-11-07,M844,0,,0,
10792694,40,2005-11-07,IDSC,0,,0,
10792694,26,2005-11-15,CTNF,0,,0,
10792694,27,2005-11-18,MCTNF,197,PTO,-1,
10792694,28,2005-11-30,M844,0,,0,
10792694,41,2005-11-30,IDSC,0,,0,
10792694,29,2005-12-28,M844,0,,0,
10792694,42,2005-12-28,IDSC,0,,0,
10792694,30,2006-02-03,M844,0,,0,
10792694,34,2006-02-03,IDSC,0,,0,
10792694,31,2006-02-15,C614,0,,0,
10792694,32,2006-02-15,A...,0,,0,
10792694,33,2006-03-21,FWDX,0,,0,
10792694,44,2006-05-10,CTFR,0,,0,
10792694,45,2006-05-11,MCTFR,0,,0,
10792694,46,2006-08-11,A.NE,0,,0,
10792694,47,2006-08-17,FWDX,0,,0,
10792694,49,2006-08-25,N/=.,0,,0,
10792694,51,2006-08-30,MN/=.,0,,0,
10860316,46,2006-03-09,D1935,0,,0,
10860316,45,2006-03-09,PILS,0,,0,
10860316,49,2006-06-26,PUBTC,0,,0,
10860316,51,2006-08-16,TCPB,0,,0,
10860316,52,2006-09-19,PTAC,80,PTO,44,
10636744,32,2006-03-20,EXIN,0,,0,
10636744,34,2006-03-20,EX.A,0,,0,
10636744,33,2006-03-20,CNOA,0,,0,
10636744,35,2006-03-21,DOCK,0,,0,
10636744,41,2006-04-12,MEX.A,0,,0,
10636744,39,2006-04-12,EX.A,0,,0,
10636744,40,2006-04-12,MEX.A,0,,0,
10636744,42,2006-04-12,MCNOA,0,,0,
10636744,45,2006-04-20,IFEE,0,,0,
10636744,46,2006-04-20,N084,0,,0,
10636744,49,2006-05-05,D1935,0,,0,
10636744,48,2006-05-05,PILS,0,,0,
10636744,51,2006-07-03,MEXIN,0,,0,
10636744,52,2006-09-19,PTAC,30,PTO,46,
10636744,52.5,2006-08-30,PTA36M,0,PTO,0,
10470018,29,2006-08-15,PILS,0,,0,
10470018,30,2006-08-21,D1935,0,,0,
10470018,33,2006-09-19,PTAC,0,,0,
10470018,33.5,2006-08-30,PTA36M,0,PTO,0,
10181561,56,2006-08-08,IFEE,0,,0,
10181561,57,2006-08-08,BIG.,0,,0,
10181561,58,2006-08-08,N084,0,,0,
10181561,60,2006-08-17,D1935,0,,0,
10181561,59,2006-08-17,PILS,0,,0,
10181561,62,2006-09-19,PTAC,0,,0,
10181561,62.5,2006-08-30,PTA36M,107,PTO,0,
11205887,20,2006-05-15,SENT,0,,0,
11205887,21,2006-05-22,IFEE,0,,0,
11205887,27,2006-05-22,N084,0,,0,
11205887,22,2006-06-06,R1021,0,,0,
11205887,23,2006-06-09,R1021,0,,0,
11205887,24,2006-06-12,R1021,0,,0,
11205887,26,2006-08-01,R1021,0,,0,
11205887,25,2006-08-01,R1021,0,,0,
11205887,29,2006-08-01,D1935,0,,0,
11205887,30,2006-08-01,D1935,0,,0,
11205887,28,2006-08-01,PILS,0,,0,
11205887,31,2006-08-02,R1021,0,,0,
11205887,32,2006-08-02,R1021,0,,0,
11205887,33,2006-09-19,PTAC,0,,0,
10357522,1,2003-02-03,IEXX,0,,0,
10357522,2,2003-02-14,SCAN,0,,0,
10357522,3,2003-04-05,SCAN,0,,0,
10357522,5,2003-04-11,INCD,0,,0,
10357522,11,2003-05-27,M844,0,,0,
10357522,6,2003-06-09,OATHDECL,0,,0,
10357522,7,2003-06-09,ADDFLFEE,0,,0,
10357522,12,2003-06-09,M844,0,,0,
10357522,8,2003-06-19,COMP,0,,0,
