application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
10569004,2,2006-03-12,L194,0,,0,
10569004,3,2006-08-08,M903,0,,0,
10569004,4,2006-08-08,OIPE,0,,0,
10569004,8,2007-02-21,C604,0,,0,
10569004,9,2007-06-14,TSSCOMP,0,,0,
10569004,10,2007-06-14,DOCK,0,,0,
10569004,11,2007-06-19,CTNF,0,,0,
10569004,12,2007-06-20,MCTNF,60,PTO,-1,
10670412,71,2007-08-23,D1935,0,,0,
10670412,74,2007-09-18,PTAC,0,,0,
10670412,74.5,2007-08-29,PTA36M,88,PTO,0,
09748642,92,2007-09-18,PTAC,0,,0,
09748642,92.5,2007-08-29,PTA36M,0,PTO,0,
11390367,20,2007-07-12,PG-ISSUE,0,,0,
11390367,22,2007-07-18,REAS,0,,0,
11390367,23,2007-08-07,IFEE,0,,0,
11390367,24,2007-08-07,N084,0,,0,
11390367,25,2007-08-13,PILS,0,,0,
11390367,26,2007-08-14,D1935,0,,0,
11390367,28,2007-09-18,PTAC,0,,0,
11008170,50,2007-08-09,IFEE,0,,0,
11008170,51,2007-08-09,N084,0,,0,
11008170,52,2007-08-20,PILS,0,,0,
11008170,53,2007-08-20,D1935,0,,0,
11008170,55,2007-09-18,PTAC,0,,0,
11443585,37,2007-08-27,N/=.,0,,0,
11443585,39,2007-08-28,MEXIN,0,,0,
11443585,40,2007-08-28,MEX.A,0,,0,
11443585,41,2007-08-28,MN/=.,0,,0,
10569004,13,2007-07-06,C.AD,0,,0,
10569004,14,2007-08-20,WIDS,0,,0,
10569004,15,2007-08-20,A...,0,,0,
10569004,17,2007-08-20,C614,0,,0,
10569004,18,2007-08-20,M844,0,,0,
10569004,19,2007-08-20,RCAP,0,,0,
10569004,21,2007-08-20,IDSC,0,,0,
10569004,16,2007-08-21,FWDX,0,,0,
10569004,23,2007-08-22,EXIN,0,,0,
10569004,24,2007-08-24,EX.A,0,,0,
10569004,25,2007-08-25,DVER,0,,0,
10569004,26,2007-08-25,N/=.,0,,0,
10569004,28,2007-08-28,MEX.A,0,,0,
10569004,29,2007-08-28,MN/=.,0,,0,
11504409,1,2006-08-15,IEXX,0,,0,
11504409,8,2006-08-15,WIDS,0,,0,
11504409,8.7,2006-08-15,M844,0,,0,
11504409,9,2006-08-15,RCAP,0,,0,
11504409,10,2006-08-15,RQPR,0,,0,
11504409,15,2006-08-15,IDSC,0,,0,
11504409,2,2006-08-20,SCAN,0,,0,
11504409,3,2006-08-22,L194,0,,0,
11504409,5,2006-08-31,OIPE,0,,0,
11504409,4,2006-09-01,COMP,0,,0,
11504409,6,2006-09-01,ROIPE,0,,0,
11504409,7,2006-09-01,WROIPE,0,,0,
11504409,11,2006-09-02,TSSCOMP,0,,0,
11504409,12,2006-10-23,DOCK,0,,0,
11504409,13,2007-01-18,DOCK,0,,0,
11504409,14,2007-01-23,DOCK,0,,0,
11504409,16,2007-03-21,DOCK,0,,0,
11504409,17,2007-03-29,CTNF,0,,0,
11504409,18,2007-04-02,MCTNF,0,,0,
11504409,19,2007-04-12,PG-ISSUE,0,,0,
11504409,20,2007-07-02,A...,0,,0,
11504409,21,2007-07-05,FWDX,0,,0,
11504409,23,2007-08-20,DVER,0,,0,
11504409,24,2007-08-24,N/=.,0,,0,
11504409,26,2007-08-28,MN/=.,0,,0,
11499932,1,2006-08-07,IEXX,0,,0,
11499932,2,2006-08-11,SCAN,0,,0,
11499932,3,2006-08-14,L194,0,,0,
11499932,4,2006-08-22,COMP,0,,0,
11499932,5,2006-08-22,OIPE,0,,0,
11499932,6,2006-08-30,TSSCOMP,0,,0,
11499932,7,2006-11-15,RCAP,0,,0,
11499932,8,2006-11-15,WIDS,0,,0,
11499932,8.7,2006-11-15,M844,0,,0,
11499932,10,2006-11-15,IDSC,0,,0,
11499932,9,2006-11-21,DOCK,0,,0,
11499932,11,2006-11-29,DOCK,0,,0,
11499932,12,2007-01-25,PG-ISSUE,0,,0,
11499932,13,2007-04-09,CTNF,0,,0,
11499932,14,2007-04-11,MCTNF,0,,0,
11499932,15,2007-08-13,XT/G,0,,0,
11499932,16,2007-08-13,A...,33,APPL,14,
11499932,18,2007-08-13,C614,0,,0,
11499932,17,2007-08-20,FWDX,0,,0,
11499932,22,2007-08-24,DVER,0,,0,
11499932,23,2007-08-27,N/=.,0,,0,
11499932,25,2007-08-28,MN/=.,0,,0,
10474552,1,2003-10-10,IEXX,0,,0,
10474552,4,2003-10-10,371COMP,0,,0,
10474552,6,2003-10-10,A.PE,0,,0,
10474552,2,2004-03-03,M903,0,,0,
10474552,3,2004-03-03,OIPE,0,,0,
10474552,9,2004-03-04,WIDS,0,,0,
10474552,9.7,2004-03-04,M844,0,,0,
10474552,11,2004-03-04,IDSC,0,,0,
10474552,5,2004-03-19,L194,0,,0,
10474552,7,2004-05-07,DOCK,0,,0,
10474552,8,2004-05-07,TSSCOMP,0,,0,
10474552,10,2006-05-08,DOCK,0,,0,
10474552,12,2006-12-10,CTNF,0,,0,
10474552,13,2006-12-12,MCTNF,732,PTO,-1,
10474552,16,2007-03-08,EXIN,0,,0,
11128198,38,2007-07-04,EML_NTF,0,,0,
11128198,39,2007-07-06,ELC_RVW,0,,0,
11128198,42,2007-08-15,IFEE,0,,0,
11128198,43,2007-08-15,N084,0,,0,
11128198,44,2007-08-16,PILS,0,,0,
11128198,45,2007-08-17,D1935,0,,0,
11128198,47,2007-09-18,PTAC,0,,0,
10499963,44,2007-08-14,IFEE,0,,0,
10499963,45,2007-08-14,N084,0,,0,
10499963,46,2007-08-17,PILS,0,,0,
