application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
10905477,29,2006-08-17,FWDX,0,,0,
10905477,30,2006-10-27,CTFR,0,,0,
10905477,31,2006-10-30,MCTFR,0,,0,
10905477,32,2007-01-02,A.NE,0,,0,
10905477,33,2007-01-18,FWDX,0,,0,
10905477,34,2007-02-05,CTAV,0,,0,
10905477,35,2007-02-07,MCTAV,0,,0,
10905477,36,2007-02-21,BRCE,0,,0,
10905477,37,2007-02-21,XT/G,0,,0,
10905477,39,2007-02-21,RCEX,22,APPL,31,
10905477,38,2007-02-27,ABN9,0,,0,
10905477,40,2007-02-27,FWDX,0,,0,
10905477,42,2007-02-27,FWDX,0,,0,
10905477,43,2007-03-05,CTNF,0,,0,
10905477,44,2007-03-12,MCTNF,0,,0,
10905477,45,2007-05-14,A...,0,,0,
10905477,46,2007-05-17,FWDX,0,,0,
10905477,47,2007-07-23,CTFR,0,,0,
10905477,48,2007-07-26,MCTFR,0,,0,
10905477,49,2007-09-26,A.NE,0,,0,
10905477,50,2007-09-28,FWDX,0,,0,
10905477,51,2007-10-30,BRCE,0,,0,
10905477,53,2007-10-30,RCEX,4,APPL,48,
10905477,52,2007-11-06,ABN9,0,,0,
10905477,54,2007-11-06,FWDX,0,,0,
10905477,55,2007-11-26,CTNF,0,,0,
10905477,56,2007-11-28,MCTNF,0,,0,
10905477,57,2008-02-21,A...,0,,0,
10905477,58,2008-04-10,FWDX,0,,0,
10905477,60,2008-07-09,N/=.,0,,0,
10905477,61,2008-07-09,DVER,0,,0,
10905477,64,2008-08-01,MN/=.,41,PTO,57,
11114529,1,2005-04-26,IEXX,0,,0,
11114529,9,2005-04-26,A.PE,0,,0,
11114529,10,2005-04-26,WIDS,0,,0,
11114529,10.7,2005-04-26,M844,0,,0,
11114529,11,2005-04-26,RCAP,0,,0,
11114529,12,2005-04-26,RQPR,0,,0,
11114529,16,2005-04-26,IDSC,0,,0,
11114529,2,2005-05-05,SCAN,0,,0,
11114529,3,2005-05-11,L194,0,,0,
11114529,5,2005-05-18,OIPE,0,,0,
11114529,4,2005-05-19,COMP,0,,0,
11114529,6,2005-05-19,ROIPE,0,,0,
11114529,8,2005-05-19,WROIPE,0,,0,
11114529,7,2005-05-20,COMP,0,,0,
11114529,13,2006-12-28,TSSCOMP,0,,0,
11114529,14,2007-01-29,DOCK,0,,0,
11114529,17,2007-09-10,CTNF,0,,0,
11114529,18,2007-09-11,MCTNF,442,PTO,-1,
11114529,19,2007-12-10,A...,0,,0,
11114529,19.1,2007-12-10,A.I.,0,,0,
