application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
12127431,78,2010-03-01,IDSC,0,,0,
12127431,82,2010-03-28,N/=.,0,,0,
12127431,83,2010-03-28,DVER,0,,0,
12127431,85,2010-03-31,MN/=.,0,,0,
12127431,89,2010-04-06,IFEE,0,,0,
12127431,90,2010-04-06,N084,0,,0,
12127431,91,2010-04-09,PILS,0,,0,
12127431,92,2010-04-16,D1935,0,,0,
12127431,95,2010-05-25,PTAC,0,,0,
12127431,95.5,2009-08-06,PTA36M,0,PTO,0,
10794981,1,2004-03-04,IEXX,0,,0,
10794981,2,2004-03-26,SCAN,0,,0,
10794981,4,2004-04-05,L194,0,,0,
10794981,18,2004-04-29,RCAP,0,,0,
10794981,19,2004-04-29,WIDS,0,,0,
10794981,19.7,2004-04-29,M844,0,,0,
10794981,35,2004-04-29,IDSC,0,,0,
10794981,5,2004-05-06,WAMD,0,,0,
10794981,23,2004-05-06,A.PE,0,,0,
10794981,24,2004-05-11,LET.,0,,0,
10794981,7,2004-05-26,INCD,0,,0,
10794981,8,2004-06-17,OATHDECL,0,,0,
10794981,9,2004-06-17,ADDFLFEE,0,,0,
10794981,26,2004-06-17,C602,0,,0,
10794981,10,2004-07-22,COMP,0,,0,
10794981,11,2004-07-22,OIPE,0,,0,
10794981,12,2004-07-23,ROIPE,0,,0,
10794981,13,2004-07-23,COMP,0,,0,
10794981,14,2004-07-23,WROIPE,0,,0,
10794981,15,2004-07-23,ROIPE,0,,0,
10794981,16,2004-07-23,WROIPE,0,,0,
10794981,17,2004-09-27,DOCK,0,,0,
10794981,20,2004-09-27,TSSCOMP,0,,0,
10794981,22,2005-02-11,WIDS,0,,0,
10794981,22.7,2005-02-11,M844,0,,0,
10794981,25,2005-02-11,RCAP,0,,0,
10794981,36,2005-02-11,IDSC,0,,0,
10794981,21,2005-04-14,RCAP,0,,0,
10794981,27,2005-08-19,WIDS,0,,0,
10794981,27.7,2005-08-19,M844,0,,0,
10794981,37,2005-08-19,IDSC,0,,0,
10794981,28,2005-10-06,DOCK,0,,0,
10794981,29,2005-11-22,WIDS,0,,0,
10794981,29.7,2005-11-22,EIDS.,0,,0,
10794981,38,2005-11-22,IDSC,0,,0,
10794981,30,2006-03-17,BIG.,0,,0,
10794981,31,2006-03-17,LET.,0,,0,
10794981,32,2006-05-07,DOCK,0,,0,
10794981,33,2006-10-05,DOCK,0,,0,
10794981,34,2007-05-01,DOCK,0,,0,
10794981,39,2007-07-20,CTNF,0,,0,
10794981,40,2007-07-23,MCTNF,669,PTO,-1,
10794981,41,2008-01-23,XT/G,0,,0,
10794981,42,2008-01-23,A...,92,APPL,40,
10794981,43,2008-02-06,FWDX,0,,0,
10794981,44,2008-04-09,CTFR,0,,0,
10794981,45,2008-04-10,MCTFR,0,,0,
10794981,46,2008-04-14,PA..,0,,0,
10794981,47,2008-06-10,A.NE,0,,0,
10794981,48,2008-06-19,FWDX,0,,0,
10794981,49,2008-06-23,CTAV,0,,0,
10794981,50,2008-07-01,MCTAV,0,,0,
10794981,51,2008-07-09,BRCE,0,,0,
10794981,53,2008-07-09,RCEX,0,,0,
10794981,52,2008-07-14,ABN9,0,,0,
10794981,54,2008-07-14,FWDX,0,,0,
10794981,56,2008-07-14,FWDX,0,,0,
10794981,57,2008-09-04,CTNF,0,,0,
10794981,58,2008-09-11,MCTNF,0,,0,
10794981,59,2009-02-11,XT/G,0,,0,
10794981,60,2009-02-11,A...,62,APPL,58,
10794981,61,2009-03-31,FWDX,0,,0,
10794981,62,2009-05-07,CTFR,0,,0,
10794981,63,2009-05-07,MCTFR,0,,0,
10794981,64,2009-10-07,XT/G,0,,0,
10794981,65,2009-10-07,N/AP,61,APPL,63,
12009635,2,2008-01-18,WIDS,0,,0,
12009635,7,2008-01-18,CLAIM,0,,0,
12009635,14,2008-01-18,A.PE,0,,0,
12009635,15,2008-01-18,M844,0,,0,
12009635,16,2008-01-18,RCAP,0,,0,
10794981,66,2009-11-27,C.AD,0,,0,
10794981,67,2009-12-07,PA..,0,,0,
10794981,68,2009-12-07,EML_NTR,0,,0,
10794981,69,2010-01-07,BRCE,0,,0,
10794981,70,2010-01-07,WIDS,0,,0,
10794981,71,2010-01-07,XT/G,0,,0,
10794981,73,2010-01-07,RCEX,92,,65,
10794981,76,2010-01-07,M844,0,APPL,73,
10794981,77,2010-01-07,RCAP,0,,0,
10794981,78,2010-01-07,IDSC,0,,0,
10794981,72,2010-01-13,ABN9,0,,0,
10794981,75,2010-01-13,FWDX,0,,0,
10794981,82,2010-01-26,WIDS,0,,0,
10794981,83,2010-01-26,IDSC,0,,0,
10794981,85,2010-02-16,EX.A,0,,0,
10794981,86,2010-02-17,N/=.,0,,0,
10794981,87,2010-02-17,DVER,0,,0,
10794981,89,2010-02-23,MN/=.,0,,0,
10794981,96,2010-04-08,IFEE,0,,0,
10794981,97,2010-04-08,N084,0,,0,
10794981,98,2010-04-12,PILS,0,,0,
10794981,99,2010-04-16,D1935,0,,0,
10794981,102,2010-05-25,PTAC,0,,0,
10794981,102.5,2008-07-08,PTA36M,492,PTO,0,
10794981,40,2007-07-23,MCTNF,141,,-1,
12009635,20,2008-01-18,IDSC,0,,0,
12009635,1,2008-01-22,IEXX,0,,0,
12009635,3,2008-02-01,SCAN,0,,0,
12009635,4,2008-02-06,L194,0,,0,
12009635,5,2008-02-21,FLRCPT.O,0,,0,
12009635,6,2008-02-21,INCD,0,,0,
12009635,8,2008-05-27,CORRSPEC,0,,0,
12009635,9,2008-05-27,FLFEE,6,APPL,6,
12009635,10,2008-06-09,COMP,0,,0,
12009635,11,2008-06-09,FLRCPT.U,0,,0,
12009635,12,2008-06-09,PGPC,0,,0,
12009635,13,2008-06-20,OIPE,0,,0,
12009635,17,2008-09-02,TSSCOMP,0,,0,
12009635,18,2008-09-11,DOCK,0,,0,
12009635,19,2008-09-18,PG-ISSUE,0,,0,
12009635,21,2008-10-27,CTNF,0,,0,
12009635,22,2008-10-29,MCTNF,0,,0,
12009635,23,2009-03-05,FLRCPT.C,0,,0,
12009635,24,2009-03-30,XT/G,0,,0,
12009635,25,2009-03-30,A...,60,APPL,22,
12009635,26,2009-05-16,FWDX,0,,0,
12009635,30,2009-07-20,CTNF,0,,0,
12009635,31,2009-07-24,MCTNF,0,,0,
12009635,32,2009-10-20,A...,0,,0,
12009635,33,2009-11-02,FWDX,0,,0,
12009635,41,2010-01-05,DVER,0,,0,
12009635,42,2010-01-05,DOCK,0,,0,
12009635,43,2010-01-05,N/=.,0,,0,
12009635,45,2010-01-11,MN/=.,0,,0,
12009635,48,2010-04-09,IFEE,0,,0,
12009635,49,2010-04-09,N084,0,,0,
12009635,50,2010-04-14,PILS,0,,0,
12009635,51,2010-04-16,D1935,0,,0,
12009635,53,2010-05-25,PTAC,0,,0,
12009635,53.5,2010-05-25,PTA36M,0,PTO,0,
11063454,1,2005-02-23,IEXX,0,,0,
11063454,2,2005-03-08,SCAN,0,,0,
11063454,3,2005-03-11,L194,0,,0,
11063454,5,2005-03-17,OIPE,0,,0,
11063454,4,2005-03-18,COMP,0,,0,
11063454,6,2005-03-18,ROIPE,0,,0,
11063454,7,2005-03-18,COMP,0,,0,
11063454,8,2005-03-18,WROIPE,0,,0,
11063454,9,2005-06-13,DOCK,0,,0,
11063454,10,2005-06-13,TSSCOMP,0,,0,
11063454,11,2007-03-22,DOCK,0,,0,
11063454,12,2007-04-09,DOCK,0,,0,
11063454,13,2007-08-28,WIDS,0,,0,
11063454,15,2007-08-28,M844,0,,0,
11063454,16,2007-08-28,RCAP,0,,0,
11063454,31,2007-08-28,IDSC,0,,0,
11063454,14,2007-08-29,WIDS,0,,0,
11063454,17,2007-08-29,M844,0,,0,
11063454,30,2007-08-29,IDSC,0,,0,
11063454,18,2007-10-05,DOCK,0,,0,
11063454,19,2007-12-19,WIDS,0,,0,
11063454,20,2007-12-19,M844,0,,0,
11063454,21,2007-12-19,RCAP,0,,0,
11063454,29,2007-12-19,IDSC,0,,0,
11063454,22,2008-02-19,WIDS,0,,0,
11063454,23,2008-02-19,A.PE,0,,0,
11063454,24,2008-02-19,M844,0,,0,
11063454,25,2008-02-19,RCAP,0,,0,
11063454,26,2008-02-19,C614,0,,0,
11063454,28,2008-02-19,IDSC,0,,0,
11063454,27,2008-05-30,DOCK,0,,0,
11063454,34,2008-06-13,CTRS,0,,0,
11063454,35,2008-06-16,MCTRS,671,PTO,-1,
11063454,36,2008-07-09,ELC.,0,,0,
11063454,37,2008-08-13,FWDX,0,,0,
11063454,38,2008-09-02,CTRS,0,,0,
11063454,39,2008-09-05,MCTRS,0,,0,
11063454,40,2008-10-03,ELC.,0,,0,
11063454,41,2008-10-19,FWDX,0,,0,
11063454,42,2008-12-04,CTNF,0,,0,
11063454,43,2008-12-05,MCTNF,0,,0,
11063454,44,2009-03-09,WIDS,0,,0,
11063454,45,2009-03-09,M844,0,,0,
11063454,49,2009-03-09,IDSC,0,,0,
11063454,46,2009-04-13,XT/G,0,,0,
11063454,47,2009-04-13,A...,39,APPL,43,
11063454,48,2009-05-07,FWDX,0,,0,
11063454,50,2009-07-09,CTFR,0,,0,
11063454,51,2009-07-13,MCTFR,0,,0,
11063454,52,2009-11-06,XT/G,0,,0,
11063454,53,2009-11-06,A.NE,0,,0,
11063454,54,2009-11-09,FWDX,0,,0,
11063454,55,2009-11-17,CTAV,0,,0,
11063454,56,2009-11-18,MCTAV,0,,0,
11063454,57,2009-12-15,BRCE,0,,0,
11063454,58,2009-12-15,XT/G,0,,0,
11063454,60,2009-12-15,RCEX,63,APPL,51,
11063454,59,2009-12-17,ABN9,0,,0,
11063454,62,2009-12-17,FWDX,0,,0,
11063454,64,2010-01-11,N/=.,0,,0,
11063454,65,2010-01-11,DVER,0,,0,
11063454,67,2010-01-12,MN/=.,0,,0,
11063454,70,2010-04-07,IFEE,0,,0,
11063454,71,2010-04-07,N084,0,,0,
11063454,72,2010-04-12,PILS,0,,0,
11063454,73,2010-04-15,D1935,0,,0,
11063454,75,2010-05-25,PTAC,0,,0,
11063454,75.5,2009-12-14,PTA36M,660,PTO,0,
11063454,35,2008-06-16,MCTRS,114,,-1,
12086239,11,2008-06-14,371COMP,0,,0,
12086239,3,2008-06-22,SCAN,0,,0,
12086239,4,2008-06-22,L194,0,,0,
12086239,5,2008-11-05,M905,0,,0,
12086239,33,2009-01-08,DVER,0,,0,
12086239,8,2009-03-18,M903,0,,0,
12086239,9,2009-03-18,FLRCPT.O,0,,0,
12086239,10,2009-03-18,PGPC,0,,0,
12086239,12,2009-03-24,OIPE,0,,0,
12086239,17,2009-05-18,TSSCOMP,0,,0,
12086239,18,2009-06-02,DOCK,0,,0,
12086239,26,2009-06-04,CTNF,0,,0,
12086239,27,2009-06-05,MCTNF,0,,0,
12086239,28,2009-06-25,PG-ISSUE,0,,0,
12086239,29,2009-09-14,A...,9,APPL,27,
12086239,30,2009-10-21,FWDX,0,,0,
12086239,32,2010-01-08,N/=.,0,,0,
12086239,35,2010-01-13,MN/=.,0,,0,
12086239,41,2010-04-13,N084,0,,0,
12086239,40,2010-04-13,IFEE,0,,0,
12086239,42,2010-04-16,PILS,0,,0,
12086239,43,2010-04-19,D1935,0,,0,
12086239,45,2010-05-25,PTAC,0,,0,
12086239,45.5,2010-05-25,PTA36M,0,PTO,0,
11107914,1,2005-04-18,IEXX,0,,0,
11107914,9,2005-04-18,RQPR,0,,0,
11107914,2,2005-05-01,SCAN,0,,0,
11107914,3,2005-05-09,L194,0,,0,
11107914,4,2005-05-16,INCD,0,,0,
11107914,5,2005-08-11,OATHDECL,0,,0,
11107914,6,2005-08-11,ADDFLFEE,0,,0,
11107914,10,2005-08-11,A.PE,0,,0,
11107914,11,2005-08-11,WIDS,0,,0,
11107914,11.7,2005-08-11,M844,0,,0,
11107914,40,2005-08-11,IDSC,0,,0,
11107914,7,2005-08-31,COMP,0,,0,
11107914,8,2005-08-31,OIPE,0,,0,
11107914,12,2006-02-28,TSSCOMP,0,,0,
11107914,13,2006-04-04,DOCK,0,,0,
11107914,15,2007-10-04,DOCK,0,,0,
11107914,16,2007-11-06,CTRS,0,,0,
