application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11976378,1,2007-10-24,IEXX,0,,0,
11976378,2,2007-10-24,WIDS,0,,0,
11976378,5,2007-10-24,PDREQUST,0,,0,
11976378,9,2007-10-24,M844,0,,0,
11976378,10,2007-10-24,RCAP,0,,0,
11976378,24,2007-10-24,IDSC,0,,0,
11976378,3,2007-11-02,SCAN,0,,0,
11976378,4,2007-11-13,L194,0,,0,
11976378,7,2007-12-01,PGPC,0,,0,
11976378,6,2007-12-03,FLRCPT.O,0,,0,
11976378,8,2008-01-28,OIPE,0,,0,
11976378,11,2008-02-23,TSSCOMP,0,,0,
11976378,12,2008-05-01,PG-ISSUE,0,,0,
11976378,13,2008-05-01,WIDS,0,,0,
11976378,14,2008-05-01,M844,0,,0,
11976378,15,2008-05-01,RCAP,0,,0,
11976378,26,2008-05-01,IDSC,0,,0,
11976378,16,2008-07-24,DOCK,0,,0,
11976378,17,2008-09-25,WIDS,0,,0,
11976378,18,2008-09-25,M844,0,,0,
11976378,25,2008-09-25,IDSC,0,,0,
11976378,19,2010-06-09,DOCK,0,,0,
11976378,20,2010-06-10,DOCK,0,,0,
11976378,28,2010-07-01,DOCK,0,,0,
11976378,29,2010-07-01,N/=.,0,,0,
11976378,30,2010-07-07,DVER,0,,0,
11976378,33,2010-07-16,MN/=.,569,PTO,-1,
11976378,38,2010-07-28,M327,0,,0,
11976378,39,2010-07-29,MM327,0,,0,
11976378,41,2010-10-18,IFEE,0,,0,
11719018,8,2007-05-11,371COMP,0,,0,
11719018,3,2007-05-17,SCAN,0,,0,
11719018,4,2007-05-17,L194,0,,0,
11719018,7,2008-11-21,PGPC,0,,0,
11719018,5,2008-11-24,M903,0,,0,
11719018,6,2008-11-24,FLRCPT.O,0,,0,
11719018,9,2008-11-24,EML_NTR,0,,0,
11719018,10,2008-11-24,EML_NTR,0,,0,
11719018,11,2008-12-10,OIPE,0,,0,
11719018,12,2009-03-05,PG-ISSUE,0,,0,
11719018,13,2009-03-06,EML_NTR,0,,0,
11719018,17,2009-06-10,TSSCOMP,0,,0,
11719018,18,2010-06-07,TI1050,0,,0,
11719018,19,2010-07-01,TI1050,0,,0,
11719018,20,2010-07-07,DOCK,0,,0,
11719018,29,2010-07-16,N/=.,0,,0,
11719018,30,2010-07-16,DVER,0,,0,
11081124,1,2005-03-15,IEXX,0,,0,
11081124,18,2005-03-15,WIDS,0,,0,
11081124,18.7,2005-03-15,M844,0,,0,
11081124,21,2005-03-15,RCAP,0,,0,
11081124,27,2005-03-15,IDSC,0,,0,
11081124,2,2005-03-28,SCAN,0,,0,
11081124,3,2005-04-06,L198,0,,0,
11081124,4,2005-05-05,L128,0,,0,
11081124,5,2005-05-09,INCD,0,,0,
11081124,6,2005-12-02,OATHDECL,0,,0,
11081124,7,2005-12-02,SES,0,,0,
11081124,8,2005-12-02,ADDFLFEE,115,APPL,5,
11081124,11,2005-12-02,PET.,0,,0,
11081124,9,2005-12-12,COMP,0,,0,
11081124,10,2005-12-12,OIPE,0,,0,
11081124,12,2005-12-12,ROIPE,0,,0,
11081124,19,2006-04-18,WIDS,0,,0,
11081124,19.7,2006-04-18,M844,0,,0,
11081124,26,2006-04-18,IDSC,0,,0,
11081124,13,2006-04-27,MPTDI,0,,0,
11081124,14,2006-09-26,COMP,0,,0,
11081124,15,2006-09-26,WROIPE,0,,0,
11081124,16,2006-09-26,ROIPE,0,,0,
11081124,17,2006-09-26,WROIPE,0,,0,
11081124,20,2006-09-29,TSSCOMP,0,,0,
11081124,22,2007-03-19,PG-ISSUE,0,,0,
11081124,23,2007-03-19,EML_NTF,0,,0,
11081124,24,2007-03-27,PST_CRD,0,,0,
11081124,25,2007-06-07,DOCK,0,,0,
11081124,28,2007-06-11,CTNF,0,,0,
11081124,29,2007-06-26,MCTNF,407,PTO,-1,
11081124,30,2007-06-26,EML_NTF,0,,0,
11081124,31,2007-06-27,ELC_RVW,0,,0,
11081124,32,2007-09-26,A...,0,,0,
12004232,2,2007-12-19,WIDS,0,,0,
12004232,11,2007-12-19,PDREQUST,0,,0,
12004232,17,2007-12-19,C614,0,,0,
12004232,20,2007-12-19,M844,0,,0,
12004232,27,2007-12-19,M844,0,,0,
12004232,38,2007-12-19,IDSC,0,,0,
12004232,1,2007-12-21,IEXX,0,,0,
12004232,4,2008-01-11,SCAN,0,,0,
12004232,5,2008-01-15,L194,0,,0,
12004232,6,2008-01-15,L194,0,,0,
12004232,7,2008-01-25,COMP,0,,0,
12004232,8,2008-01-25,FLRCPT.O,0,,0,
12004232,9,2008-01-25,PGPC,0,,0,
12004232,10,2008-02-19,OIPE,0,,0,
12004232,13,2008-03-20,CFRPT,0,,0,
12004232,12,2008-04-08,FLRCPT.C,0,,0,
12004232,24,2008-06-06,RQPR,0,,0,
12004232,22,2008-07-17,PG-ISSUE,0,,0,
12004232,23,2009-03-02,WIDS,0,,0,
12004232,25,2009-03-02,M844,0,,0,
12004232,37,2009-03-02,IDSC,0,,0,
12004232,26,2009-06-20,TSSCOMP,0,,0,
12004232,28,2009-06-24,C.ADB,0,,0,
12004232,29,2009-07-29,DOCK,0,,0,
12004232,30,2009-08-31,DOCK,0,,0,
12004232,31,2009-10-16,WIDS,0,,0,
12004232,34,2009-10-16,M844,0,,0,
12004232,35,2009-10-16,RCAP,0,,0,
12004232,36,2009-10-16,IDSC,0,,0,
12004232,32,2010-01-29,DOCK,0,,0,
12004232,33,2010-01-29,DOCK,0,,0,
12004232,39,2010-03-23,CTNF,0,,0,
12004232,40,2010-03-24,MCTNF,398,PTO,-1,
12004232,41,2010-06-05,A...,0,,0,
12004232,42,2010-07-20,FWDX,0,,0,
11081124,34,2007-09-26,C602,0,,0,
11081124,33,2007-10-09,FWDX,0,,0,
11081124,35,2007-12-26,CTNF,0,,0,
11081124,36,2008-01-02,MCTNF,0,,0,
11081124,37,2008-01-04,EML_NTF,0,,0,
11081124,38,2008-01-05,ELC_RVW,0,,0,
11081124,39,2008-03-27,A...,0,,0,
11081124,40,2008-04-26,FWDX,0,,0,
11081124,41,2008-07-07,CTFR,0,,0,
11081124,42,2008-07-14,MCTFR,0,,0,
11081124,43,2008-07-14,EML_NTF,0,,0,
11081124,44,2008-07-14,ELC_RVW,0,,0,
11081124,45,2008-09-11,A.NE,0,,0,
11081124,47,2008-09-11,A.NE,0,,0,
11081124,48,2008-09-11,A.NE,0,,0,
11081124,46,2008-09-18,FWDX,0,,0,
11081124,49,2008-10-06,DOCK,0,,0,
11081124,50,2008-10-14,CTNF,0,,0,
11081124,51,2008-10-20,MCTNF,0,,0,
11081124,52,2008-10-20,EML_NTF,0,,0,
11081124,53,2008-10-20,ELC_RVW,0,,0,
11081124,54,2009-01-07,A...,0,,0,
11081124,55,2009-01-29,FWDX,0,,0,
11081124,56,2009-04-24,CTFR,0,,0,
11081124,57,2009-04-29,MCTFR,0,,0,
11081124,58,2009-04-29,EML_NTF,0,,0,
11081124,59,2009-04-29,ELC_RVW,0,,0,
11081124,60,2009-06-29,A.NE,0,,0,
11081124,65,2009-06-29,A.NE,0,,0,
11081124,61,2009-07-10,FWDX,0,,0,
11081124,62,2009-07-20,CTAV,0,,0,
11081124,63,2009-07-23,MCTAV,0,,0,
11081124,64,2009-07-23,EML_NTR,0,,0,
11081124,66,2009-07-25,FWDX,0,,0,
11081124,67,2009-07-28,BRCE,0,,0,
11081124,69,2009-07-28,RCEX,0,,0,
11081124,68,2009-07-29,ABN9,0,,0,
11081124,70,2009-07-29,FWDX,0,,0,
11081124,72,2009-07-29,FWDX,0,,0,
11081124,73,2009-10-06,DOCK,0,,0,
11081124,74,2009-10-13,CTNF,0,,0,
11081124,75,2009-10-16,MCTNF,0,,0,
11081124,76,2009-10-16,EML_NTF,0,,0,
11081124,77,2009-10-16,ELC_RVW,0,,0,
11081124,78,2010-01-15,A...,0,,0,
11468441,1,2006-08-30,IEXX,0,,0,
11468441,2,2006-09-13,SCAN,0,,0,
11468441,3,2006-09-15,L194,0,,0,
11468441,5,2006-10-17,INCD,0,,0,
11468441,6,2006-10-27,OATHDECL,0,,0,
11468441,7,2006-10-27,FLFEE,0,,0,
11468441,8,2006-11-07,COMP,0,,0,
11468441,9,2006-11-07,OIPE,0,,0,
11468441,10,2006-11-07,ROIPE,0,,0,
11468441,11,2006-11-07,WROIPE,0,,0,
11468441,13,2007-03-08,PG-ISSUE,0,,0,
11468441,14,2007-03-28,DOCK,0,,0,
11468441,15,2008-03-25,WIDS,0,,0,
11468441,16,2008-03-25,M844,0,,0,
11468441,17,2008-03-25,A.PE,0,,0,
11468441,26,2008-03-25,IDSC,0,,0,
11468441,18,2009-04-17,CTRS,0,,0,
11468441,19,2009-04-17,MCTRS,535,PTO,-1,
11468441,20,2009-05-15,ELC.,0,,0,
11468441,21,2009-06-17,FWDX,0,,0,
11468441,22,2009-08-25,CTRS,0,,0,
11468441,23,2009-08-26,MCTRS,0,,0,
11468441,24,2009-09-28,ELC.,0,,0,
11468441,25,2009-11-11,FWDX,0,,0,
11468441,27,2010-01-19,CTNF,0,,0,
11468441,28,2010-01-22,MCTNF,0,,0,
11468441,29,2010-01-22,EML_NTF,0,,0,
11468441,30,2010-01-22,ELC_RVW,0,,0,
11468441,31,2010-07-22,XT/G,0,,0,
11468441,32,2010-07-22,A...,91,APPL,28,
11468441,33,2010-07-27,FWDX,0,,0,
11468441,34,2010-08-18,DOCK,0,,0,
11468441,39,2010-09-23,EX.A,0,,0,
11468441,40,2010-09-23,DVER,0,,0,
11468441,41,2010-09-23,DOCK,0,,0,
11468441,42,2010-09-23,N/=.,0,,0,
11468441,44,2010-09-28,MN/=.,0,,0,
11186140,23,2008-05-15,MCTRS,603,PTO,-1,
11186140,24,2008-06-10,ELC.,0,,0,
11186140,25,2008-07-01,FWDX,0,,0,
11186140,26,2008-10-01,CTNF,0,,0,
11186140,27,2008-10-06,MCTNF,0,,0,
11186140,28,2009-02-12,PET.,0,,0,
11186140,32,2009-03-06,XT/G,0,,0,
11186140,33,2009-03-06,A...,59,APPL,27,
11186140,29,2009-03-17,C.AD,0,,0,
11186140,30,2009-03-20,P033,0,,0,
11186140,31,2009-03-20,MP033,0,,0,
11186140,34,2009-05-14,FWDX,0,,0,
11186140,35,2009-06-11,C.AD,0,,0,
11186140,36,2009-06-17,PA..,0,,0,
11186140,37,2009-07-16,CTRS,0,,0,
11186140,38,2009-07-17,MCTRS,0,PTO,33,
11186140,39,2009-08-14,ELC.,0,,0,
11186140,40,2009-09-21,FWDX,0,,0,
11186140,42,2009-11-19,EXIN,0,,0,
11186140,41,2009-11-23,CTFR,0,,0,
11186140,43,2009-12-04,MCTFR,0,,0,
11186140,44,2010-03-24,EXIN,0,,0,
11186140,45,2010-03-26,MEXIN,0,,0,
11186140,46,2010-04-05,BRCE,0,,0,
11186140,47,2010-04-05,WIDS,0,,0,
11186140,48,2010-04-05,XT/G,0,,0,
11186140,50,2010-04-05,RCEX,32,APPL,43,
11186140,53,2010-04-05,M844,0,,0,
11186140,54,2010-04-05,RCAP,0,,0,
11186140,55,2010-04-05,IDSC,0,,0,
11186140,49,2010-04-08,ABN9,0,,0,
11186140,52,2010-04-08,FWDX,0,,0,
11186140,58,2010-06-23,N/=.,0,,0,
11186140,59,2010-06-23,DVER,0,,0,
11186140,62,2010-06-25,MN/=.,0,,0,
11186140,64,2010-07-29,BRCE,0,,0,
11186140,65,2010-07-29,WIDS,0,,0,
11186140,67,2010-07-29,RCEX,0,,0,
11186140,69,2010-07-29,M844,0,,0,
11186140,70,2010-07-29,RCAP,0,,0,
11186140,71,2010-07-29,IDSC,0,,0,
11822405,1,2007-07-05,IEXX,0,,0,
11822405,2,2007-07-05,WIDS,0,,0,
11822405,11,2007-07-05,RQPR,0,,0,
11822405,12,2007-07-05,M844,0,,0,
11822405,25,2007-07-05,IDSC,0,,0,
11822405,3,2007-07-18,SCAN,0,,0,
11822405,4,2007-07-18,L194,0,,0,
11822405,8,2007-07-28,PGPC,0,,0,
11822405,7,2007-07-30,COMP,0,,0,
11822405,9,2007-11-13,OIPE,0,,0,
11822405,10,2007-12-05,WIDS,0,,0,
11822405,13,2007-12-05,M844,0,,0,
11822405,14,2007-12-05,RQPR,0,,0,
11822405,16,2007-12-05,M844,0,,0,
11822405,24,2007-12-05,IDSC,0,,0,
11822405,15,2007-12-17,TSSCOMP,0,,0,
11822405,17,2008-01-31,PG-ISSUE,0,,0,
11822405,18,2008-05-29,TI1050,0,,0,
11822405,19,2009-07-27,TI1050,0,,0,
11822405,20,2009-09-11,TI1050,0,,0,
11822405,21,2009-10-09,TI1050,0,,0,
11822405,22,2009-10-14,DOCK,0,,0,
11822405,23,2009-10-26,DOCK,0,,0,
11822405,28,2010-02-05,CTNF,0,,0,
11822405,29,2010-02-16,MCTNF,529,PTO,-1,
11822405,30,2010-05-17,A...,1,APPL,29,
11822405,31,2010-05-30,FWDX,0,,0,
11822405,34,2010-08-03,DVER,0,,0,
11822405,35,2010-08-03,N/=.,0,,0,
11822405,37,2010-08-05,MN/=.,0,,0,
11822405,39,2010-09-01,PUBTC,0,,0,
11822405,40,2010-09-08,M327,0,,0,
11822405,41,2010-09-09,MM327,0,,0,
11822405,43,2010-10-18,IFEE,0,,0,
11822405,44,2010-10-18,N084,0,,0,
11822405,45,2010-10-19,PILS,0,,0,
11822405,47,2010-10-20,D1935,0,,0,
11822405,46,2010-10-20,D1935,0,,0,
11848183,1,2007-08-30,IEXX,0,,0,
11848183,2,2007-08-30,WIDS,0,,0,
11848183,10,2007-08-30,EIDS.,0,,0,
11848183,25,2007-08-30,IDSC,0,,0,
11848183,3,2007-08-31,SCAN,0,,0,
11848183,4,2007-09-02,L194,0,,0,
11848183,5,2007-09-11,COMP,0,,0,
11848183,6,2007-09-11,PGPC,0,,0,
11848183,7,2007-12-05,OIPE,0,,0,
11848183,8,2008-01-04,TI1050,0,,0,
11848183,9,2008-02-25,DOCK,0,,0,
11848183,11,2008-03-14,TSSCOMP,0,,0,
11848183,12,2009-03-05,PG-ISSUE,0,,0,
11848183,13,2009-03-06,EML_NTR,0,,0,
11848183,14,2010-03-02,CTRS,0,,0,
11848183,15,2010-03-11,MCTRS,497,PTO,-1,
11848183,16,2010-03-11,EML_NTF,0,,0,
11848183,17,2010-03-11,ELC_RVW,0,,0,
11848183,18,2010-05-05,XT/G,0,,0,
11848183,19,2010-05-05,ELC.,0,,0,
11288078,71,2010-08-16,EX.A,0,,0,
11288078,73,2010-08-17,N/=.,0,,0,
11288078,74,2010-08-17,DVER,0,,0,
11288078,76,2010-08-19,MN/=.,0,,0,
11288078,81,2010-10-11,EXIN,0,,0,
11288078,80,2010-10-12,M327,0,,0,
11288078,82,2010-10-14,MM327,0,,0,
11288078,84,2010-10-26,N084,0,,0,
11288078,83,2010-10-26,IFEE,0,,0,
11288078,86,2010-10-28,D1935,0,,0,
11288078,85,2010-10-28,PILS,0,,0,
11288078,88,2010-11-30,PTAC,0,,0,
11288078,88.5,2008-10-26,PTA36M,0,PTO,0,
11668198,25,2007-08-02,PG-ISSUE,0,,0,
11668198,26,2008-05-15,TI1050,0,,0,
11668198,27,2008-05-17,TI1050,0,,0,
11668198,28,2008-05-21,TI1050,0,,0,
11668198,29,2008-07-10,DOCK,0,,0,
11668198,30,2009-06-01,DOCK,0,,0,
11668198,31,2009-12-18,CTRS,0,,0,
11668198,32,2009-12-24,MCTRS,635,PTO,-1,
11668198,33,2009-12-24,EML_NTF,0,,0,
11668198,34,2009-12-24,ELC_RVW,0,,0,
11668198,35,2010-02-23,XT/G,0,,0,
11668198,36,2010-02-23,ELC.,0,,0,
11668198,37,2010-03-15,FWDX,0,,0,
11668198,41,2010-03-24,CTNF,0,,0,
11668198,42,2010-03-26,MCTNF,0,,0,
11668198,43,2010-03-26,EML_NTF,0,,0,
11668198,44,2010-03-26,ELC_RVW,0,,0,
11668198,45,2010-05-18,EXIN,0,,0,
11668198,46,2010-05-25,MEXIN,0,,0,
11668198,47,2010-05-25,EML_NTR,0,,0,
11668198,48,2010-06-25,C614,0,,0,
11668198,49,2010-06-25,A...,0,,0,
11668198,50,2010-06-29,FWDX,0,,0,
11668198,53,2010-07-01,EXIN,0,,0,
11668198,52,2010-07-26,EX.A,0,,0,
11668198,54,2010-07-26,N/=.,0,,0,
11668198,55,2010-07-26,DVER,0,,0,
11668198,57,2010-07-28,MN/=.,0,,0,
11668198,66,2010-10-25,IFEE,0,,0,
11668198,67,2010-10-25,N084,0,,0,
11668198,68,2010-10-26,PILS,0,,0,
11668198,69,2010-10-27,D1935,0,,0,
11668198,70,2010-10-27,D1935,0,,0,
11668198,72,2010-11-30,PTAC,0,,0,
11668198,72.5,2010-11-30,PTA36M,305,PTO,0,
12164919,1,2008-06-30,IEXX,0,,0,
12164919,2,2008-06-30,SCAN,0,,0,
12164919,3,2008-07-08,L194,0,,0,
12164919,6,2008-07-18,INCD,0,,0,
12164919,7,2008-07-18,FLRCPT.O,0,,0,
12164919,8,2008-07-18,PG-RQST,0,,0,
12164919,9,2008-07-21,OATHDECL,0,,0,
12164919,10,2008-07-21,ADDFLFEE,0,,0,
12164919,11,2008-07-31,COMP,0,,0,
12164919,12,2008-07-31,FLRCPT.U,0,,0,
12164919,13,2008-07-31,PGPC,0,,0,
12164919,14,2008-08-12,OIPE,0,,0,
12164919,15,2008-10-10,TSSCOMP,0,,0,
12164919,16,2008-10-16,DOCK,0,,0,
12164919,17,2009-01-08,DOCK,0,,0,
12164919,21,2009-12-11,CTNF,0,,0,
12164919,22,2009-12-16,MCTNF,108,PTO,-1,
12164919,23,2009-12-16,EML_NTF,0,,0,
12164919,24,2009-12-16,ELC_RVW,0,,0,
12164919,25,2009-12-31,PG-ISSUE,0,,0,
12164919,26,2010-01-01,EML_NTR,0,,0,
12164919,27,2010-06-16,XT/G,0,,0,
12164919,28,2010-06-16,A...,92,APPL,22,
12164919,29,2010-06-24,FWDX,0,,0,
12164919,31,2010-07-19,DVER,0,,0,
12164919,33,2010-07-19,N/=.,0,,0,
12164919,34,2010-07-23,MN/=.,0,,0,
12164919,39,2010-10-25,IFEE,0,,0,
12164919,40,2010-10-25,N084,2,APPL,34,
12164919,41,2010-10-25,SMAL,0,,0,
12164919,42,2010-10-26,PILS,0,,0,
12164919,43,2010-10-27,D1935,0,,0,
12164919,45,2010-11-30,PTAC,0,,0,
12164919,45.5,2010-11-30,PTA36M,0,PTO,0,
12142116,1,2008-06-19,IEXX,0,,0,
12142116,2,2008-06-19,SCAN,0,,0,
12142116,3,2008-06-24,L194,0,,0,
12142116,4,2008-07-03,CPAP,0,,0,
12142116,5,2008-07-03,FLRCPT.O,0,,0,
12142116,6,2008-07-07,CORRSPEC,0,,0,
12142116,7,2008-07-07,ADDFLFEE,0,,0,
12142116,8,2008-07-14,COMP,0,,0,
11848183,20,2010-05-12,FWDX,0,,0,
11848183,21,2010-05-12,C.AD,0,,0,
11848183,26,2010-06-21,CTEQ,0,,0,
11848183,27,2010-06-25,MCTEQ,0,,0,
11848183,28,2010-06-25,EML_NTF,0,,0,
11848183,29,2010-06-25,ELC_RVW,0,,0,
11848183,30,2010-06-28,A.QU,0,,0,
11848183,31,2010-07-06,FWDX,0,,0,
11848183,35,2010-07-14,EX.A,0,,0,
11848183,36,2010-07-14,N/=.,0,,0,
11848183,37,2010-07-14,DVER,0,,0,
11848183,39,2010-07-19,MN/=.,0,,0,
11848183,43,2010-07-20,ELC_RVW,0,,0,
11848183,46,2010-10-18,IFEE,0,,0,
11848183,47,2010-10-18,N084,0,,0,
11848183,48,2010-10-27,PILS,0,,0,
11848183,50,2010-10-28,D1935,0,,0,
11848183,49,2010-10-28,C.AD,0,,0,
11848183,52,2010-11-30,PTAC,0,,0,
11848183,52.5,2010-11-30,PTA36M,92,PTO,0,
11288078,1,2005-11-29,IEXX,0,,0,
11288078,10,2005-11-29,A.PE,0,,0,
11288078,11,2005-11-29,WIDS,0,,0,
11288078,11.7,2005-11-29,M844,0,,0,
11288078,12,2005-11-29,RQPR,0,,0,
11288078,14,2005-11-29,RCAP,0,,0,
11288078,18,2005-11-29,IDSC,0,,0,
11288078,2,2005-12-06,SCAN,0,,0,
11288078,3,2005-12-15,L194,0,,0,
