application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
12670356,27,2010-10-06,DOCK,0,,0,
12670356,28,2010-12-03,FLRCPT.C,0,,0,
12670356,29,2010-12-03,EML_NTR,0,,0,
12670356,30,2010-12-20,WIDS,0,,0,
12670356,31,2010-12-20,M844,0,,0,
12670356,32,2010-12-20,RCAP,0,,0,
12670356,38,2010-12-20,IDSC,0,,0,
12670356,41,2011-04-25,CTNF,0,,0,
12670356,42,2011-04-29,MCTNF,0,,0,
12670356,43,2011-04-29,EML_NTF,0,,0,
12670356,44,2011-04-29,ELC_RVW,0,,0,
12670356,45,2011-07-26,WIDS,0,,0,
12670356,46,2011-07-26,A...,0,,0,
12670356,48,2011-07-26,M844,0,APPL,46,
12670356,49,2011-07-26,IDSC,0,,0,
12670356,47,2011-08-04,FWDX,0,,0,
12670356,51,2011-10-02,EX.R,0,,0,
12670356,52,2011-10-09,DVER,0,,0,
12670356,54,2011-10-09,N/=.,0,,0,
12670356,57,2011-10-13,MN/=.,0,,0,
12670356,.5,2008-07-18,NEFILE,0,,0,
12670356,62,2011-11-29,N084,0,,0,
12670356,61,2011-11-29,IFEE,0,,0,
12670356,64,2011-12-01,D1935,0,,0,
12670356,63,2011-12-01,PILS,0,,0,
12393192,1,2009-02-26,IEXX,0,,0,
12393192,2,2009-02-26,SCAN,0,,0,
12393192,3,2009-02-26,WIDS,0,,0,
12393192,8,2009-02-26,EIDS.,0,,0,
12393192,12,2009-02-26,IDSC,0,,0,
12393192,4,2009-02-27,L194,0,,0,
12393192,5,2009-03-11,FLRCPT.O,0,,0,
12393192,6,2009-03-11,OIPE,0,,0,
12393192,7,2009-05-05,DOCK,0,,0,
12393192,9,2009-05-20,TSSCOMP,0,,0,
12393192,10,2009-06-18,PG-ISSUE,0,,0,
12393192,11,2010-11-04,DOCK,0,,0,
12393192,16,2011-02-28,CTNF,0,,0,
12393192,17,2011-03-01,MCTNF,309,PTO,.5,
12670356,67,2012-01-03,PTAC,0,,0,
12670356,67.5,2012-01-03,PTA36M,0,PTO,67.4,
12670356,67.4,2010-01-25,COMMN,0,,0,
12393192,18,2011-06-23,XT/G,0,,0,
12393192,19,2011-06-23,A...,22,APPL,17,
12393192,20,2011-06-30,FWDX,0,,0,
12393192,22,2011-09-14,EX.A,0,,0,
12393192,23,2011-09-14,EX.R,0,,0,
12393192,24,2011-09-14,EXIE,0,,0,
12393192,25,2011-09-14,N/=.,0,,0,
12393192,26,2011-09-14,DVER,0,,0,
12393192,32,2011-09-16,MN/=.,0,,0,
12393192,.5,2009-02-26,EFILE,0,,0,
12393192,35,2011-12-02,IFEE,0,,0,
12393192,36,2011-12-02,N084,0,,0,
12393192,38,2011-12-06,D1935,0,,0,
12393192,37,2011-12-06,PILS,0,,0,
12393192,40,2012-01-03,PTAC,0,,0,
12393192,40.5,2012-01-03,PTA36M,0,PTO,.5,
12604985,1,2009-10-23,IEXX,0,,0,
12604985,4,2009-10-23,CRFL,0,,0,
12604985,2,2009-10-26,SCAN,0,,0,
12604985,3,2009-10-31,L194,0,,0,
