application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
13317845,2,2011-11-03,SCAN,0,,0,
13317845,3,2011-11-03,L194,0,,0,
13317845,5,2011-11-17,FLRCPT.O,0,,0,
13317845,6,2011-11-17,CPAP,0,,0,
13317845,7,2011-12-21,WIDS,0,,0,
13317845,8,2011-12-21,CORRSPEC,0,,0,
13317845,9,2011-12-21,ADDFLFEE,0,,0,
13317845,14,2011-12-21,A.PE,0,,0,
13317845,15,2011-12-21,EIDS.,0,,0,
13317845,16,2011-12-21,RCAP,0,,0,
13317845,17,2011-12-21,A.PE,0,,0,
13317845,21,2011-12-21,IDSC,0,,0,
13317845,10,2011-12-29,FLRCPT.U,0,,0,
13317845,11,2011-12-29,PGPC,0,,0,
13317845,12,2012-01-19,OIPE,0,,0,
13317845,18,2012-01-23,RQPR,0,,0,
13317845,13,2012-02-03,FLRCPT.C,0,,0,
13317845,19,2012-02-08,DOCK,0,,0,
13317845,26,2012-03-21,EX.R,0,,0,
13317845,27,2012-03-26,N/=.,0,,0,
12375673,8,2009-10-14,OATHDECL,0,,0,
12375673,9,2009-10-14,ADDFLFEE,0,,0,
12375673,13,2009-10-14,371COMP,0,,0,
12375673,12,2009-10-30,PGPC,0,,0,
12375673,10,2009-11-02,M903,0,,0,
12375673,11,2009-11-02,FLRCPT.O,0,,0,
12375673,14,2009-11-02,EML_NTR,0,,0,
12375673,15,2009-11-02,EML_NTR,0,,0,
12375673,16,2009-11-17,OIPE,0,,0,
12375673,17,2010-02-11,PG-ISSUE,0,,0,
12375673,18,2010-02-12,EML_NTR,0,,0,
12375673,23,2010-04-20,DOCK,0,,0,
12375673,24,2010-10-27,DOCK,0,,0,
12375673,25,2010-11-02,DOCK,0,,0,
12375673,30,2010-12-17,CTNF,0,,0,
12375673,31,2010-12-22,MCTNF,8,PTO,13,
12375673,32,2010-12-22,EML_NTF,0,,0,
12375673,33,2010-12-22,ELC_RVW,0,,0,
12375673,34,2011-04-20,XT/G,0,,0,
12375673,35,2011-04-20,A...,29,APPL,31,
12375673,36,2011-05-04,FWDX,0,,0,
12375673,39,2011-05-13,EX.A,0,,0,
12375673,40,2011-05-13,DVER,0,,0,
12375673,41,2011-05-13,DOCK,0,,0,
12375673,42,2011-05-13,N/=.,0,,0,
12375673,44,2011-05-18,MN/=.,0,,0,
12375673,45,2011-05-18,MEX.A,0,,0,
12375673,46,2011-05-18,EML_NTF,0,,0,
12375673,47,2011-05-18,EML_NTR,0,,0,
12375673,48,2011-05-18,ELC_RVW,0,,0,
12375673,50,2011-06-24,M327-D,0,,0,
12375673,51,2011-06-28,MM327-D,0,,0,
12375673,52,2011-06-28,EML_NTR,0,,0,
12375673,53,2011-07-07,BRCE,0,,0,
13317845,28,2012-03-26,DVER,0,,0,
13317845,32,2012-03-28,MN/=.,0,,0,
13317845,.5,2011-10-31,EFILE,0,,0,
13317845,33,2012-04-05,PG-ISSUE,0,,0,
13317845,36,2012-06-14,IFEE,0,,0,
