application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
13453625,22,2012-11-02,EML_NTR,0,,0,
13453625,23,2013-06-05,DOCK,0,,0,
13453625,25,2013-06-17,CTNF,0,,0,
13453625,28,2013-06-26,MCTNF,3,PTO,.5,
13453625,29,2013-06-26,EML_NTF,0,,0,
13453625,30,2013-06-26,ELC_RVW,0,,0,
13453625,31,2013-09-05,A...,0,,0,
13453625,32,2013-09-17,FWDX,0,,0,
13453625,36,2013-09-18,EX.A,0,,0,
13453625,37,2013-09-18,DOCK,0,,0,
13453625,38,2013-09-18,N/=.,0,,0,
13453625,39,2013-09-18,DVER,0,,0,
13453625,43,2013-09-20,MN/=.,0,,0,
13453625,.5,2012-04-23,EFILE,0,,0,
13453625,47,2013-10-24,IFEE,0,,0,
13453625,49,2013-10-24,N084,0,,0,
13453625,51,2013-10-31,D1935,0,,0,
11613817,36,2010-03-25,MAPCP,0,,0,
11613817,38,2010-04-20,AP.B,0,,0,
11613817,37,2010-04-21,APBR,0,,0,
11613817,39,2010-04-27,FWDX,0,,0,
11613817,40,2010-05-03,EXIN,0,,0,
11613817,41,2010-06-10,MEXIN,0,,0,
11613817,42,2010-07-06,LET.,0,,0,
11613817,43,2010-07-27,APEA,0,,0,
11613817,44,2010-07-28,MAPEA,0,,0,
11613817,45,2010-08-07,PACC,0,,0,
11613817,46,2010-09-21,APRB,0,,0,
11613817,47,2010-09-27,FWDX,0,,0,
11613817,48,2010-09-30,RBNE,0,,0,
11613817,49,2010-10-01,MRBNE,0,,0,
11613817,50,2010-10-04,APWD,0,,0,
11613817,51,2010-10-12,APAS,0,,0,
11613817,52,2010-10-12,AP_DK_M,0,,0,
11613817,54,2013-05-09,APDR,0,,0,
11613817,55,2013-05-09,MAPDR,1187,PTO,33,
11613817,57,2013-07-29,EX.A,0,,0,
11613817,58,2013-07-30,N/=.,0,,0,
11613817,59,2013-07-30,DVER,0,,0,
11613817,63,2013-07-31,MN/=.,0,,0,
11613817,.5,2006-12-20,EFILE,0,,0,
11613817,55,2013-05-09,MAPDR,1187,,33,
11613817,66,2013-10-25,IFEE,0,,0,
11613817,67,2013-10-25,N084,0,,0,
11613817,68,2013-10-25,BIG.,0,,0,
11613817,69,2013-10-29,PILS,0,,0,
11613817,70,2013-10-30,D1935,0,,0,
11613817,72,2013-11-26,PTAC,0,,0,
11613817,72.5,2013-11-26,PTA36M,250,PTO,.5,
11613817,55,2013-05-09,MAPDR,1186,,33,
10687289,164,2013-08-14,MM327-D,0,,0,
10687289,165,2013-08-14,EML_NTR,0,,0,
10687289,169,2013-10-23,N084,0,,0,
10687289,167,2013-10-23,IFEE,0,,0,
10687289,168,2013-10-23,DRWF,35,APPL,0,
10687289,171,2013-10-31,D1935,0,,0,
10687289,170,2013-10-31,PILS,0,,0,
10687289,173,2013-11-26,PTAC,0,,0,
10687289,173.5,2006-01-26,PTA36M,0,PTO,.5,
12610000,1,2009-10-30,IEXX,0,,0,
12610000,3,2009-10-30,WIDS,0,,0,
12610000,4,2009-10-30,WIDS,0,,0,
12610000,14,2009-10-30,M844,0,,0,
12610000,15,2009-10-30,RCAP,0,,0,
12610000,16,2009-10-30,EIDS.,0,,0,
12610000,28,2009-10-30,IDSC,0,,0,
12610000,29,2009-10-30,IDSC,0,,0,
12610000,2,2009-10-31,SCAN,0,,0,
12610000,5,2009-11-04,L194,0,,0,
12610000,6,2009-11-17,FLRCPT.O,0,,0,
12610000,7,2009-11-17,INCD,0,,0,
12610000,8,2010-01-15,OATHDECL,0,,0,
12610000,9,2010-01-15,ADDFLFEE,0,,0,
12610000,11,2010-01-25,PGPC,0,,0,
12610000,10,2010-01-26,FLRCPT.U,0,,0,
12610000,12,2010-02-17,OIPE,0,,0,
12610000,13,2010-05-06,PG-ISSUE,0,,0,
12610000,17,2010-12-16,WIDS,0,,0,
12610000,18,2010-12-16,EIDS.,0,,0,
12610000,27,2010-12-16,IDSC,0,,0,
12610000,19,2011-07-18,DOCK,0,,0,
12610000,20,2011-07-28,DOCK,0,,0,
12610000,21,2011-08-19,WIDS,0,,0,
12610000,26,2011-08-19,IDSC,0,,0,
12610000,33,2011-08-19,EIDS.,0,,0,
12610000,30,2011-09-09,CTNF,0,,0,
12610000,32,2011-09-14,MCTNF,258,PTO,.5,
12610000,34,2011-12-13,A...,0,,0,
12610000,35,2011-12-16,FWDX,0,,0,
12610000,39,2012-09-24,CTNF,0,,0,
12610000,41,2012-09-26,MCTNF,166,PTO,34,
12610000,42,2012-12-21,A...,0,,0,
13453625,50,2013-10-31,PILS,0,,0,
13453625,53,2013-11-26,PTAC,0,,0,
13453625,53.5,2013-11-26,PTA36M,0,PTO,.5,
12610000,43,2013-01-07,FWDX,0,,0,
12610000,44,2013-02-08,WIDS,0,,0,
12610000,45,2013-02-08,EIDS.,49,APPL,42,
12610000,46,2013-02-08,IDSC,0,,0,
12610000,50,2013-04-04,CTFR,0,,0,
12610000,52,2013-04-05,MCTFR,0,,0,
12610000,53,2013-05-16,EXAT,0,,0,
12610000,54,2013-05-16,EXIA,0,,0,
12610000,57,2013-05-21,MEXAT,0,,0,
12610000,58,2013-05-21,LET.,0,,0,
12610000,59,2013-06-13,LET.,0,,0,
12610000,60,2013-06-25,BRCE,0,,0,
12610000,61,2013-06-25,WIDS,0,,0,
12610000,63,2013-06-25,RCEX,0,,0,
12610000,66,2013-06-25,EIDS.,0,,0,
12610000,67,2013-06-25,IDSC,0,,0,
12610000,62,2013-06-26,ABN9,0,,0,
12610000,65,2013-06-26,FWDX,0,,0,
12610000,72,2013-07-25,EX.R,0,,0,
12610000,73,2013-07-26,N/=.,0,,0,
12610000,74,2013-07-26,DVER,0,,0,
12610000,78,2013-07-29,MN/=.,0,,0,
12610000,.5,2009-10-30,EFILE,0,,0,
12610000,80,2013-08-12,PUBTC,0,,0,
12610000,81,2013-08-21,TCPB,0,,0,
12610000,82,2013-08-23,PUBTC,0,,0,
12610000,84,2013-09-11,TCPB,0,,0,
12610000,86,2013-10-07,WIDS,0,,0,
12610000,89,2013-10-07,IDSC,0,,0,
12610000,87,2013-10-07,M844,51,APPL,0,
