application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
13107201,20,2011-09-21,IDSC,0,,0,
13107201,17,2011-11-17,PG-ISSUE,0,,0,
13107201,18,2012-03-09,DOCK,0,,0,
13107201,19,2012-09-10,DOCK,0,,0,
13107201,23,2012-09-27,CTNF,0,,0,
13107201,25,2012-09-28,MCTNF,77,PTO,.5,
13107201,26,2012-12-28,A...,0,,0,
13107201,27,2013-01-22,FWDX,0,,0,
13107201,28,2013-02-20,C.AD,0,,0,
13107201,29,2013-02-25,PA..,0,,0,
13107201,30,2013-02-25,EML_NTR,0,,0,
13107201,31,2013-04-01,CTFR,0,,0,
13107201,33,2013-04-05,MCTFR,0,,0,
13107201,34,2013-04-05,EML_NTF,0,,0,
13107201,35,2013-04-05,ELC_RVW,0,,0,
13107201,36,2013-06-26,BRCE,0,,0,
13107201,38,2013-06-26,RCEX,0,,0,
13107201,37,2013-06-27,ABN9,0,,0,
13107201,40,2013-06-27,FWDX,0,,0,
13107201,42,2013-12-05,EXIE,0,,0,
13107201,43,2013-12-06,EX.A,0,,0,
13107201,44,2013-12-06,EX.R,0,,0,
13107201,45,2013-12-07,N/=.,0,,0,
13107201,47,2013-12-07,DVER,0,,0,
13107201,54,2013-12-11,MN/=.,46,PTO,38,
13107201,.5,2011-05-13,EFILE,0,,0,
13107201,57,2013-12-19,PST_CRD,0,,0,
13107201,60,2014-03-10,IDSC,0,,0,
13107201,61,2014-03-10,CNOA,0,,0,
13107201,63,2014-03-11,IFEE,0,,0,
13107201,66,2014-03-11,N084,0,,0,
13107201,65,2014-03-17,EML_NTR,0,,0,
13107201,64,2014-03-17,MCNOA,0,,0,
13107201,67,2014-03-31,PILS,0,,0,
13107201,68,2014-03-31,D1935,0,,0,
13107201,70,2014-04-29,PTAC,0,,0,
13107201,70.5,2013-06-25,PTA36M,0,PTO,.5,
13403699,139,2014-04-02,EML_NTR,0,,0,
13403699,140,2014-04-29,PTAC,142,PTO,132,
13403699,140.5,2014-04-29,PTA36M,0,PTO,.5,
13876497,1,2013-03-28,IEXX,0,,0,
13876497,2,2013-03-28,BIG.,0,,0,
13876497,3,2013-03-28,L194,0,,0,
13876497,4,2013-03-28,WIDS,0,,0,
13876497,9,2013-03-28,371COMP,0,,0,
13876497,12,2013-03-28,A.PE,0,,0,
13876497,13,2013-03-28,LTDR,0,,0,
13876497,14,2013-03-28,C604,0,,0,
13876497,15,2013-03-28,M844,0,,0,
13876497,16,2013-03-28,RCAP,0,,0,
13876497,17,2013-03-28,RQPR,0,,0,
13876497,21,2013-03-28,IDSC,0,,0,
13876497,5,2013-04-17,M903,0,,0,
13876497,6,2013-04-17,FLRCPT.O,0,,0,
13876497,7,2013-04-17,PGPC,0,,0,
13876497,8,2013-04-17,FTFI,0,,0,
13876497,10,2013-05-03,FLRCPT.C,0,,0,
13876497,11,2013-05-03,OIPE,0,,0,
13876497,18,2013-06-07,DOCK,0,,0,
13876497,19,2013-07-25,PG-ISSUE,0,,0,
13876497,20,2013-11-22,DOCK,0,,0,
13876497,25,2014-01-24,EX.R,0,,0,
13876497,26,2014-01-29,N/=.,0,,0,
13876497,27,2014-01-29,DVER,0,,0,
13876497,31,2014-01-31,MN/=.,0,,0,
13876497,.5,2011-09-27,NEFILE,0,,0,
13876497,33,2014-03-06,IFEE,0,,0,
13876497,35,2014-03-06,N084,0,,0,
13876497,37,2014-03-27,D1935,0,,0,
13876497,36,2014-03-27,PILS,0,,0,
13876497,39,2014-04-29,PTAC,0,,0,
13876497,39.5,2014-04-29,PTA36M,0,PTO,39.4,
13876497,39.4,2013-03-28,COMMN,0,,0,
13816180,1,2013-02-08,IEXX,0,,0,
13816180,2,2013-02-08,L194,0,,0,
13816180,6,2013-02-08,371COMP,0,,0,
13816180,12,2013-02-08,A.PE,0,,0,
13816180,13,2013-02-08,RQPR,0,,0,
13816180,5,2013-02-19,PGPC,0,,0,
13816180,3,2013-02-20,M903,0,,0,
13816180,4,2013-02-20,FLRCPT.O,0,,0,
13816180,7,2013-02-20,EML_NTR,0,,0,
13816180,8,2013-02-20,EML_NTR,0,,0,
13816180,9,2013-03-12,OIPE,0,,0,
13816180,10,2013-03-25,WIDS,0,,0,
13816180,11,2013-03-25,EIDS.,0,,0,
13816180,28,2013-03-25,IDSC,0,,0,
13816180,14,2013-04-09,DOCK,0,,0,
13816180,15,2013-05-30,PG-ISSUE,0,,0,
13816180,16,2013-05-31,EML_NTR,0,,0,
13816180,17,2013-06-06,CTRS,0,,0,
13816180,19,2013-06-12,MCTRS,0,,0,
13816180,20,2013-06-12,EML_NTF,0,,0,
13816180,21,2013-06-12,ELC_RVW,0,,0,
13816180,22,2013-07-10,LET.,0,,0,
13816180,23,2013-07-12,ELC.,0,,0,
13816180,24,2013-07-16,FWDX,0,,0,
13816180,29,2013-07-19,CTNF,0,,0,
13816180,31,2013-07-25,MCTNF,0,,0,
13816180,32,2013-07-25,EML_NTF,0,,0,
13816180,33,2013-07-25,ELC_RVW,0,,0,
13816180,34,2013-10-16,A...,0,,0,
13816180,35,2013-10-22,FWDX,0,,0,
13816180,39,2013-11-12,EXIE,0,,0,
13816180,37,2013-11-19,EX.A,0,,0,
13816180,38,2013-11-19,EX.R,0,,0,
13816180,40,2013-12-12,DOCK,0,,0,
13816180,41,2013-12-12,N/=.,0,,0,
13816180,42,2013-12-12,DVER,0,,0,
13816180,48,2013-12-16,MN/=.,0,,0,
13816180,.5,2011-08-08,NEFILE,0,,0,
13816180,53,2014-03-12,IFEE,0,,0,
13816180,54,2014-03-12,N084,0,,0,
13816180,56,2014-04-02,D1935,0,,0,
13816180,55,2014-04-02,PILS,0,,0,
13491045,1,2012-06-07,IEXX,0,,0,
13491045,2,2012-06-07,SCAN,0,,0,
13491045,6,2012-06-07,CLAIM,0,,0,
13491045,3,2012-06-08,L194,0,,0,
13491045,4,2012-06-19,FLRCPT.O,0,,0,
13491045,5,2012-06-19,CPAP,0,,0,
13491045,7,2012-08-09,CORRDRW,0,,0,
13491045,8,2012-08-09,OATHDECL,0,,0,
13491045,9,2012-08-09,ADDFLFEE,0,,0,
13491045,15,2012-08-09,A.PE,0,,0,
13491045,12,2012-08-24,WIDS,0,,0,
13491045,16,2012-08-24,M844,0,,0,
13491045,24,2012-08-24,IDSC,0,,0,
13491045,10,2012-08-28,FLRCPT.U,0,,0,
13491045,11,2012-08-28,PGPC,0,,0,
13491045,13,2012-08-28,COMP,0,,0,
13491045,14,2012-09-12,OIPE,0,,0,
13491045,17,2012-09-28,DOCK,0,,0,
13491045,18,2012-12-14,DOCK,0,,0,
13491045,19,2013-09-10,CTRS,0,,0,
13491045,21,2013-09-12,MCTRS,36,PTO,.5,
13491045,22,2013-10-09,ELC.,0,,0,
13491045,23,2013-10-10,FWDX,0,,0,
13816180,58,2014-04-29,PTAC,0,,0,
13816180,58.5,2014-04-29,PTA36M,0,PTO,58.4,
13816180,58.4,2013-02-08,COMMN,0,,0,
13491045,28,2013-12-02,EX.A,0,,0,
13491045,29,2013-12-02,EX.R,0,,0,
13491045,30,2013-12-04,DVER,0,,0,
13491045,31,2013-12-04,DOCK,0,,0,
13491045,32,2013-12-04,N/=.,0,,0,
13491045,37,2013-12-09,MN/=.,0,,0,
13491045,.5,2012-06-07,EFILE,0,,0,
13491045,38,2013-12-12,PG-ISSUE,0,,0,
13491045,41,2014-03-07,IFEE,0,,0,
13491045,45,2014-03-07,LET.,54,APPL,0,
13491045,44,2014-03-07,MICR,0,,0,
13491045,42,2014-03-07,N084,0,,0,
13491045,43,2014-03-28,PILS,0,,0,
13491045,46,2014-03-31,D1935,0,,0,
13491045,48,2014-04-29,PTAC,0,,0,
13491045,48.5,2014-04-29,PTA36M,0,PTO,.5,
13060070,1,2011-02-22,IEXX,0,,0,
13060070,2,2011-02-22,L194,0,,0,
13060070,3,2011-02-22,WIDS,0,,0,
13060070,5,2011-02-22,CPYIA,0,,0,
13060070,6,2011-02-22,TRNIA,0,,0,
13667396,1,2012-11-02,IEXX,0,,0,
13667396,2,2012-11-02,SCAN,0,,0,
13667396,5,2012-11-02,CRFL,0,,0,
13667396,18,2012-11-02,A.PE,0,,0,
13667396,3,2012-11-05,L194,0,,0,
13667396,4,2012-11-19,CRFE,0,,0,
13060070,11,2011-02-22,371COMP,0,,0,
13060070,13,2011-02-22,M844,0,,0,
13060070,14,2011-02-22,RCAP,0,,0,
13060070,20,2011-02-22,IDSC,0,,0,
13060070,4,2011-06-17,M912,0,,0,
