application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
13662927,21,2014-02-13,A...,0,,0,
13662927,23,2014-02-13,EIDS.,0,,0,
13662927,22,2014-02-20,FWDX,0,,0,
13662927,24,2014-02-26,PA..,0,,0,
13662927,25,2014-03-27,IDSC,0,,0,
13662927,26,2014-04-01,CTFR,0,,0,
13662927,28,2014-04-02,MCTFR,0,,0,
13662927,29,2014-04-14,RAFC,0,,0,
13662927,30,2014-04-14,A.NE,0,,0,
13662927,31,2014-04-15,FWDX,0,,0,
13662927,34,2014-04-24,N/=.,0,,0,
13662927,33,2014-04-24,DVER,0,,0,
13662927,37,2014-04-25,MN/=.,0,,0,
13662927,40,2014-07-24,IFEE,0,,0,
13662927,41,2014-07-24,N084,0,,0,
13662927,42,2014-07-25,PILS,0,,0,
13359890,46,2014-04-28,IDSC,0,,0,
13359890,54,2014-04-28,N/=.,0,,0,
13359890,53,2014-04-28,DOCK,0,,0,
13359890,58,2014-04-30,MN/=.,0,,0,
13359890,60,2014-04-30,ELC_RVW,0,,0,
13359890,59,2014-04-30,EML_NTF,0,,0,
13359890,63,2014-07-25,IFEE,0,,0,
13359890,64,2014-07-25,N084,0,,0,
13359890,65,2014-07-31,PILS,0,,0,
13359890,66,2014-08-01,D1935,0,,0,
13359890,68,2014-09-02,PTAC,0,,0,
13359890,68.5,2014-04-20,PTA36M,0,,.5,
13359890,.5,2012-01-27,EFILE,0,,0,
13359890,68,2014-09-02,PTAC,135,,43,
13359890,30,2014-01-21,MCTFR,0,,26,
13359890,58,2014-04-30,MN/=.,0,,43,
13359890,68,2014-09-02,PTAC,0,,64,
13359890,26,2013-11-21,A...,0,,23,
13359890,35,2014-04-21,RCEX,0,,30,
13359890,64,2014-07-25,N084,0,,58,
13359890,1,2012-01-27,IEXX,0,,0,
13359890,2,2012-01-27,SCAN,0,,0,
13359890,16,2012-01-27,IDSC,0,,0,
13359890,11,2012-01-27,M844,0,,0,
13359890,5,2012-01-27,PDREQUST,0,,0,
13359890,3,2012-01-27,WIDS,0,,0,
13359890,4,2012-01-31,L194,0,,0,
13359890,7,2012-02-08,PGPC,0,,0,
13359890,8,2012-02-09,EML_NTR,0,,0,
13359890,9,2012-02-09,COMP,0,,0,
13359890,6,2012-02-09,FLRCPT.O,0,,0,
13359890,10,2012-02-27,OIPE,0,,0,
13862344,.5,2013-04-12,EFILE,0,,0,
13862344,98,2014-09-02,PTAC,96,,75,
13862344,35,2013-08-15,MCTNF,0,,.5,
13862344,56,2014-01-06,MCTNF,0,,47,
13862344,70,2014-04-11,MCTFR,0,,62,
13862344,88,2014-06-23,MN/=.,0,,75,
13862344,98,2014-09-02,PTAC,0,,93,
13862344,47,2013-10-25,A...,0,,35,
13862344,62,2014-01-22,A...,0,,56,
13862344,75,2014-05-30,RCEX,0,,70,
13862344,93,2014-07-16,N084,0,,88,
13862344,2,2013-04-12,BIG.,0,,0,
13862344,5,2013-04-12,PET.,0,,0,
13862344,8,2013-04-12,PDREQUST,0,,0,
13862344,9,2013-04-12,APPERMS,0,,0,
13862344,23,2013-04-12,A.PE,0,,0,
13862344,6,2013-04-12,TK1R,0,,0,
13359890,12,2012-03-11,DOCK,0,,0,
13359890,13,2012-08-02,PG-ISSUE,0,,0,
13359890,14,2012-08-03,EML_NTR,0,,0,
13359890,52,2012-09-04,RQPR,0,,0,
13359890,15,2013-01-02,DOCK,0,,0,
13359890,21,2013-08-23,CTNF,0,,0,
13359890,25,2013-08-29,ELC_RVW,0,,0,
13359890,23,2013-08-29,MCTNF,155,PTO,.5,
13359890,24,2013-08-29,EML_NTF,0,,0,
13359890,26,2013-11-21,A...,0,,0,
13359890,27,2013-11-22,FWDX,0,,0,
13359890,28,2014-01-14,CTFR,0,,0,
13359890,30,2014-01-21,MCTFR,0,,0,
