application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
13153284,43,2014-01-23,EXET,0,,0,
13153284,41,2014-01-23,CTAV,0,,0,
13153284,51,2014-01-28,EXET,0,,0,
13153284,50,2014-01-28,EXIE,0,,0,
13153284,56,2014-02-03,EML_NTR,0,,0,
13153284,55,2014-02-03,MCTAV,0,,0,
13153284,95,2014-11-20,D1935,0,,0,
13153284,98,2014-12-16,PTAC,0,,0,
13153284,98.5,2014-12-16,PTA36M,0,,.5,
12784323,6,2010-05-28,CRFE,0,,0,
12784323,11,2010-06-04,EML_NTF,0,,0,
12784323,8,2010-06-04,CPAP,0,,0,
12784323,9,2010-06-04,FLRCPT.O,0,,0,
12784323,10,2010-06-04,PA..,0,,0,
12784323,13,2010-06-04,EML_NTR,0,,0,
12784323,14,2010-06-04,ELC_RVW,0,,0,
12784323,12,2010-06-04,EML_NTR,0,,0,
12784323,15,2010-09-02,CORRDRW,0,,0,
12784323,16,2010-09-02,ADDFLFEE,0,,0,
12784323,18,2010-09-23,OIPE,0,,0,
12784323,19,2010-09-24,EML_NTR,0,,0,
12784323,20,2010-09-24,COMP,0,,0,
12784323,17,2010-09-24,FLRCPT.U,0,,0,
12784323,21,2010-09-27,DOCK,0,,0,
12784323,23,2010-12-30,PG-ISSUE,0,,0,
12784323,24,2010-12-31,EML_NTR,0,,0,
12784323,25,2012-09-18,CTRS,0,,0,
12784323,28,2012-09-24,EML_NTF,0,,0,
12784323,27,2012-09-24,MCTRS,432,PTO,.5,
12784323,29,2012-09-24,ELC_RVW,0,,0,
12784323,31,2012-12-13,WIDS,0,,0,
12784323,36,2012-12-13,RCAP,0,,0,
12784323,32,2012-12-13,XT/G,0,,0,
12784323,35,2012-12-13,M844,0,,0,
12784323,55,2012-12-13,IDSC,0,,0,
12784323,57,2012-12-13,IDSC,0,,0,
12784323,30,2012-12-13,WIDS,0,,0,
12784323,33,2012-12-13,ELC.,0,,0,
12784323,34,2012-12-26,FWDX,0,,0,
12784323,37,2013-03-11,CTNF,0,,0,
12784323,39,2013-03-14,MCTNF,0,,0,
12784323,40,2013-03-14,EML_NTF,0,,0,
12784323,41,2013-03-14,ELC_RVW,0,,0,
12784323,42,2013-06-14,WIDS,0,,0,
12784323,43,2013-06-14,A...,0,,0,
