application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
13816853,63.4,2013-02-13,COMMN,0,,0,
13816853,39,2015-02-05,MN/=.,0,,25,
13816853,63,2015-04-28,PTAC,0,,57,
13816853,63.5,2015-04-28,PTA36M,0,,63.4,
14262924,18,2014-09-12,A...,0,,0,
14262924,19,2014-09-15,FWDX,0,,0,
14262924,20,2014-09-16,CTNF,0,,0,
14262924,22,2014-09-17,MCTNF,0,,0,
14262924,23,2014-11-06,PG-ISSUE,0,,0,
14262924,24,2014-12-10,A...,0,,0,
14262924,25,2014-12-17,FWDX,0,,0,
14262924,26,2014-12-19,CTFR,0,,0,
14262924,28,2014-12-23,MCTFR,0,,0,
14262924,29,2015-03-18,A.NE,0,,0,
14262924,30,2015-03-19,FWDX,0,,0,
14262924,35,2015-03-20,N/=.,0,,0,
14262924,36,2015-03-21,DVER,0,,0,
14262924,39,2015-03-23,MN/=.,0,,0,
14262924,41,2015-03-25,N084,0,,0,
14262924,40,2015-03-25,IFEE,0,,0,
14262924,42,2015-03-26,PILS,0,,0,
14262924,44,2015-04-01,D1935,0,,0,
14262924,47,2015-04-28,PTAC,0,,0,
14262924,47.5,2015-04-28,PTA36M,0,,.5,
13286607,.5,2011-11-01,EFILE,0,,0,
13816853,25,2014-12-22,A...,0,,22,
13816853,57,2015-03-20,N084,0,,39,
13816853,13,2013-02-13,A.PE,0,,0,
13816853,14,2013-02-13,RQPR,0,,0,
13816853,7,2013-02-13,371COMP,0,,0,
13816853,12,2013-02-13,RCAP,0,,0,
13816853,1,2013-02-13,IEXX,0,,0,
13816853,2,2013-02-13,L194,0,,0,
13816853,11,2013-02-13,M844,0,,0,
13816853,3,2013-02-13,WIDS,0,,0,
13816853,6,2013-02-26,PGPC,0,,0,
13816853,9,2013-02-27,EML_NTR,0,,0,
13816853,8,2013-02-27,EML_NTR,0,,0,
13816853,5,2013-02-27,FLRCPT.O,0,,0,
13816853,4,2013-02-27,M903,0,,0,
13816853,10,2013-03-20,OIPE,0,,0,
13816853,15,2013-04-27,DOCK,0,,0,
13816853,16,2013-06-06,PG-ISSUE,0,,0,
13816853,17,2013-06-07,EML_NTR,0,,0,
13286607,71,2015-02-12,MN/=.,126,,56,
13286607,30,2013-09-23,MCTFR,0,,22,
13286607,51,2014-08-11,MAPEA,0,,46,
13286607,84,2015-04-28,PTAC,0,,75,
13286607,56,2014-10-09,RCEX,0,,51,
13286607,75,2015-03-20,N084,0,,71,
13286607,2,2011-11-01,SCAN,0,,0,
13286607,1,2011-11-01,IEXX,0,,0,
13286607,3,2011-11-01,L194,0,,0,
13286607,5,2011-11-15,PGPC,0,,0,
13286607,4,2011-11-16,FLRCPT.O,0,,0,
13286607,6,2011-11-16,COMP,0,,0,
13286607,7,2011-12-06,OIPE,0,,0,
13286607,8,2011-12-12,DOCK,0,,0,
