application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
13614124,75,2015-02-24,EXAT,0,,0,
13614124,77,2015-02-24,EXIA,0,,0,
13614124,73,2015-02-24,EXAT,0,,0,
13614124,76,2015-02-24,EXAT,0,,0,
13614124,78,2015-02-24,EXAT,0,,0,
13614124,82,2015-02-24,A...,0,,0,
13614124,83,2015-02-27,FWDX,0,,0,
13614124,84,2015-03-04,MEXAT,0,,0,
13614124,85,2015-04-10,IDSC,0,,0,
13614124,86,2015-05-15,CTFR,0,,0,
13614124,88,2015-05-21,MCTFR,0,,0,
13614124,90,2015-05-21,ELC_RVW,0,,0,
13614124,89,2015-05-21,EML_NTF,0,,0,
13614124,91,2015-07-20,RAFC,0,,0,
13614124,92,2015-07-20,A.NE,0,,0,
13614124,93,2015-07-24,FWDX,0,,0,
13614124,95,2015-07-27,EX.R,0,,0,
13614124,96,2015-07-27,AFAC,0,,0,
13614124,97,2015-07-28,DVER,0,,0,
13614124,98,2015-07-28,N/=.,0,,0,
13614124,106,2015-08-03,EML_NTF,0,,0,
13614124,104,2015-08-03,MN/=.,0,,0,
13336873,99,2015-07-24,EX.A,0,,0,
13336873,100,2015-07-27,N/=.,0,,0,
13336873,101,2015-07-27,DVER,0,,0,
13336873,106,2015-07-31,EML_NTF,0,,0,
13336873,105,2015-07-31,MN/=.,0,,0,
13336873,108,2015-08-04,ELC_RVW,0,,0,
13336873,111,2015-09-02,M844,0,,0,
13336873,112,2015-09-02,RCAP,0,,0,
13336873,110,2015-09-02,WIDS,0,,0,
13336873,113,2015-09-03,PUBTC,0,,0,
14344090,56.5,2015-12-29,PTA36M,0,,56.4,
13993866,27,2013-12-11,PGPC,0,,0,
13993866,30,2013-12-12,EML_NTR,0,,0,
13993866,31,2013-12-12,EML_NTR,0,,0,
13614124,105,2015-08-03,MEXAT,0,,0,
13614124,107,2015-08-03,ELC_RVW,0,,0,
13614124,110,2015-10-16,WIDS,0,,0,
13614124,111,2015-10-16,M844,0,,0,
13614124,112,2015-10-19,PUBTC,0,,0,
13614124,114,2015-10-20,CNOA,0,,0,
