application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
09144938,54,2002-01-31,A.NE,0,,0,
09144938,55,2002-02-06,FWDX,0,,0,
09144938,56,2002-02-13,CTAV,0,,0,
09144938,57,2002-02-14,MCTAV,0,,0,
09144938,58,2002-03-08,BRCE,0,,0,
09144938,60,2002-03-08,RCEX,0,,0,
09144938,59,2002-03-22,ABN9,0,,0,
09144938,61,2002-03-22,FWDX,0,,0,
09144938,63,2002-04-09,N/=.,0,,0,
09144938,64,2002-04-09,N/DR,0,,0,
09144938,65,2002-04-10,MN/DR,0,,0,
09144938,66,2002-04-10,MN/=.,0,,0,
09598791,20,2000-06-21,DRWM,0,,0,
09598791,21,2000-06-21,DRWF,0,,0,
09598791,15,2002-02-20,D1220,0,,0,
09598791,16,2002-02-21,R1021,0,,0,
09598791,17,2002-02-21,SENT,0,,0,
09598791,18,2002-03-15,IFEE,0,,0,
09598791,18.5,2002-03-15,R85B,0,,0,
09598791,22,2002-03-15,N084,0,,0,
09598791,19,2002-03-20,R1021,0,,0,
09598791,23,2002-04-01,PILS,0,,0,
09598791,24,2002-04-02,R1021,0,,0,
09598791,25,2002-04-30,PTAC,0,,0,
09694838,25,2002-02-20,D1220,0,,0,
09694838,26,2002-02-21,R1021,0,,0,
09694838,27,2002-02-21,SENT,0,,0,
09694838,28,2002-03-06,IFEE,0,,0,
09694838,30,2002-03-06,N084,0,,0,
09694838,28.5,2002-03-06,R85B,0,,0,
09694838,29,2002-03-27,R1021,0,,0,
09694838,31,2002-03-28,PILS,0,,0,
09694838,32,2002-04-01,R1021,0,,0,
09694838,33,2002-04-30,PTAC,0,,0,
09934359,1,2001-08-21,IEXX,0,,0,
09934359,6,2001-08-21,M844,0,,0,
09934359,8,2001-08-21,A.PE,0,,0,
09934359,7,2001-08-21,M844,0,,0,
09934359,2,2001-08-30,SCAN,0,,0,
09934359,3,2001-09-20,C.AD,0,,0,
09934359,4,2001-09-21,OIPE,0,,0,
09934359,5,2001-10-19,DOCK,0,,0,
09934359,9,2001-12-14,CTNF,0,,0,
09934359,10,2001-12-18,MCTNF,0,,0,
09934359,11,2002-01-09,A.PE,0,,0,
09934359,12,2002-02-20,EXIN,0,,0,
09934359,13,2002-02-22,MEXIN,0,,0,
09934359,14,2002-03-05,A...,0,,0,
09934359,16,2002-03-05,LTDR,0,,0,
09934359,17,2002-03-05,LTDR,0,,0,
09934359,15,2002-03-15,FWDX,0,,0,
09934359,19,2002-04-10,N/=.,0,,0,
09934359,20,2002-04-10,MN/=.,0,,0,
09583853,21,2000-05-31,DRWM,0,,0,
09583853,22,2000-05-31,DRWF,0,,0,
09583853,16,2002-02-20,D1220,0,,0,
09583853,17,2002-02-22,R1021,0,,0,
09583853,18,2002-02-22,SENT,0,,0,
09583853,19,2002-03-08,IFEE,0,,0,
09583853,19.5,2002-03-08,R85B,0,,0,
09583853,23,2002-03-09,N084,0,,0,
09583853,20,2002-03-26,R1021,0,,0,
09583853,24,2002-03-29,PILS,0,,0,
09583853,25,2002-04-01,R1021,0,,0,
09583853,26,2002-04-30,PTAC,0,,0,
09851279,19,2001-05-08,DRWM,0,,0,
09851279,20,2001-05-08,DRWF,0,,0,
09851279,14,2002-02-21,D1220,0,,0,
09851279,15,2002-02-22,R1021,0,,0,
09851279,16,2002-02-22,SENT,0,,0,
09851279,17,2002-03-06,IFEE,0,,0,
09851279,17.5,2002-03-06,R85B,0,,0,
09851279,21,2002-03-06,N084,0,,0,
09851279,18,2002-03-26,R1021,0,,0,
09851279,22,2002-03-28,PILS,0,,0,
09851279,23,2002-03-29,R1021,0,,0,
09851279,24,2002-04-30,PTAC,0,,0,
09447237,13,2001-04-11,BCPA,0,,0,
09447237,14,2001-04-11,XT/G,0,,0,
09447237,15,2001-04-11,FCPA,0,,0,
09447237,16,2001-04-11,ABN3,0,,0,
09447237,20,2001-04-11,SA..,0,,0,
09447237,17,2001-04-11,MABN3,0,,0,
09447237,18,2001-04-11,ACPA,0,,0,
09447237,19,2001-04-18,FWDX,0,,0,
09447237,21,2001-04-18,FWDX,0,,0,
09447237,22,2001-04-26,CTNF,0,,0,
09933747,1,2001-08-22,IEXX,0,,0,
09933747,2,2001-08-27,SCAN,0,,0,
09933747,3,2001-09-21,C.AD,0,,0,
09933747,4,2001-09-21,C.AD,0,,0,
09933747,5,2001-09-21,C.AD,0,,0,
09933747,6,2001-09-24,C.AD,0,,0,
09933747,7,2001-09-24,OIPE,0,,0,
09447237,23,2001-04-27,MCTNF,0,,0,
09447237,24,2001-05-02,A.PE,0,,0,
09447237,25,2001-05-29,CTFR,0,,0,
09447237,26,2001-05-30,MCTFR,0,,0,
09447237,27,2001-09-10,DOCK,0,,0,
