application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
09835794,6,2001-07-31,OIPE,0,,0,
09835794,7,2001-09-05,DOCK,0,,0,
09835794,9,2001-11-01,C.AD,0,,0,
09835794,10,2002-05-01,CTRS,0,,0,
09835794,11,2002-05-01,MCTRS,0,,0,
09835794,12,2002-06-11,ELC.,0,,0,
09835794,13,2002-06-24,FWDX,0,,0,
09835794,14,2002-07-11,CTNF,0,,0,
09835794,15,2002-07-15,MCTNF,0,,0,
09835794,16,2002-10-15,A...,0,,0,
09835794,19,2002-10-15,C602,0,,0,
09835794,18,2002-10-15,LTDR,0,,0,
09835794,17,2002-10-30,FWDX,0,,0,
09835794,20,2003-01-11,CTNF,0,,0,
09835794,21,2003-01-13,MCTNF,0,,0,
09835794,22,2003-04-21,A...,8,APPL,21,
09835794,22.1,2003-04-21,A.I.,0,,0,
09835794,24,2003-04-21,C602,0,,0,
09835794,23,2003-05-01,FWDX,0,,0,
09835794,25,2003-05-09,NINA,0,,0,
09835794,26,2003-05-22,A...,31,APPL,22,
09835794,27,2003-05-30,FWDX,0,,0,
09835794,30,2003-06-18,EXIN,0,,0,
09835794,28,2003-06-20,SA..,0,,0,
09835794,29,2003-06-21,FWDX,0,,0,
09835794,32,2003-06-27,DOCK,0,,0,
09835794,33,2003-06-27,N/=.,0,,0,
09835794,34,2003-06-30,MN/=.,0,,0,
09729385,3,2001-02-14,INCD,0,,0,
09729385,5,2001-02-14,COMP,0,,0,
09729385,4,2001-04-30,C.AD,0,,0,
09729385,6,2001-05-09,SCAN,0,,0,
09729385,7,2001-05-10,OIPE,0,,0,
09729385,8,2001-07-09,DOCK,0,,0,
09729385,9,2001-12-20,DOCK,0,,0,
09729385,10,2002-07-15,CTNF,0,,0,
09729385,11,2002-07-18,MCTNF,164,PTO,-1,
09729385,12,2002-10-23,A...,5,APPL,11,
09729385,13,2002-10-27,FWDX,0,,0,
09729385,14,2003-01-06,CTFR,0,,0,
09729385,15,2003-01-07,MCTFR,0,,0,
09729385,16,2003-03-05,A.NE,0,,0,
09729385,17,2003-03-07,FWDX,0,,0,
09729385,18,2003-03-14,CTAV,0,,0,
09729385,19,2003-03-14,MCTAV,0,,0,
09729385,21,2003-05-09,XT/G,0,,0,
09729385,20,2003-05-09,BRCE,0,,0,
09729385,23,2003-05-09,RCEX,0,,0,
09729385,22,2003-05-29,ABN9,0,,0,
09729385,26,2003-05-29,FWDX,0,,0,
09729385,24,2003-05-29,FWDX,0,,0,
09729385,28,2003-06-27,N/=.,0,,0,
09729385,29,2003-06-27,MN/=.,0,,0,
09407734,1,1999-10-05,IEXX,0,PTO,0,Y
09407734,2,1999-10-14,SCAN,0,PTO,0,Y
09407734,3,1999-10-19,OIPE,0,PTO,0,Y
09407734,5,1999-12-14,M844,0,PTO,0,Y
09407734,4,2000-02-03,DOCK,0,PTO,0,Y
09407734,6,2000-10-06,DOCK,0,PTO,0,Y
09407734,7,2001-03-13,M844,0,PTO,0,Y
09407734,8,2001-12-03,CTNF,0,PTO,0,Y
09407734,9,2001-12-06,MCTNF,0,PTO,0,Y
09407734,10,2002-01-02,DOCK,0,PTO,0,Y
09991354,1,2001-11-20,IEXX,0,,0,
09991354,2,2001-11-28,SCAN,0,,0,
09991354,3,2001-12-03,C.AD,0,,0,
09991354,7,2001-12-20,INCD,0,,0,
09991354,8,2002-02-19,OATHDECL,0,,0,
09991354,9,2002-02-19,ADDFLFEE,0,,0,
09991354,11,2002-03-12,COMP,0,,0,
09991354,12,2002-03-13,OIPE,0,,0,
09991354,14,2002-05-28,M844,0,,0,
09991354,13,2002-06-03,DOCK,0,,0,
09991354,15,2002-10-08,DOCK,0,,0,
09991354,16,2002-10-31,DOCK,0,,0,
09991354,17,2002-10-31,CTNF,0,,0,
09991354,18,2002-11-04,MCTNF,0,,0,
09991354,19,2003-01-13,A...,0,,0,
09991354,20,2003-01-17,FWDX,0,,0,
09991354,21,2003-01-28,DOCK,0,,0,
09991354,22,2003-03-20,CTNF,0,,0,
09991354,23,2003-03-24,MCTNF,0,,0,
09407734,11,2002-03-04,A...,0,PTO,0,Y
09407734,13,2002-03-04,M844,0,PTO,0,Y
09407734,12,2002-03-14,FWDX,0,PTO,0,Y
09407734,14,2002-06-03,CTNF,0,PTO,0,Y
09407734,15,2002-06-05,MCTNF,0,PTO,0,Y
09407734,16,2002-08-22,A...,0,PTO,0,Y
09407734,17,2002-09-04,FWDX,0,PTO,0,Y
09407734,18,2002-11-18,CTNF,0,PTO,0,Y
09407734,19,2002-11-20,MCTNF,0,PTO,0,Y
09407734,20,2003-02-20,A...,0,PTO,0,Y
09407734,21,2003-03-04,FWDX,0,PTO,0,Y
09407734,22,2003-04-08,DOCK,0,PTO,0,Y
09407734,28,2003-05-19,EXIN,0,PTO,0,Y
09407734,23,2003-05-19,CTFR,0,PTO,0,Y
09407734,24,2003-05-21,MCTFR,0,PTO,0,Y
09407734,25,2003-06-06,A.NE,0,PTO,0,Y
09407734,27,2003-06-06,LET.,0,PTO,0,Y
09407734,26,2003-06-13,FWDX,0,PTO,0,Y
09407734,30,2003-06-30,N/=.,0,PTO,0,Y
09407734,31,2003-06-30,MN/=.,0,PTO,0,Y
09991354,24,2003-06-11,A...,0,,0,
09991354,25,2003-06-19,FWDX,0,,0,
09991354,27,2003-06-30,N/=.,0,,0,
09991354,28,2003-06-30,MN/=.,0,,0,
09834993,1,2001-04-12,IEXX,0,,0,
09834993,7,2001-04-12,RQPR,0,,0,
09834993,8,2001-04-12,M844,0,,0,
09834993,2,2001-04-29,SCAN,0,,0,
09834993,3,2001-06-06,C.AD,0,,0,
09834993,4,2001-06-06,INCD,0,,0,
09834993,10,2001-10-01,M844,0,,0,
09834993,5,2001-10-05,COMP,29,APPL,4,
09834993,6,2001-10-08,OIPE,0,,0,
09834993,9,2001-11-14,DOCK,0,,0,
09834993,11,2001-12-13,DOCK,0,,0,
09834993,12,2002-01-02,DOCK,0,,0,
09834993,13,2002-04-12,M844,0,,0,
09834993,14,2002-06-06,CTRS,0,,0,
09834993,15,2002-06-07,MCTRS,0,,0,
09834993,16,2002-06-26,ELC.,0,,0,
09834993,17,2002-06-27,FWDX,0,,0,
09834993,18,2002-07-29,CTNF,0,,0,
09834993,19,2002-07-31,MCTNF,0,,0,
09834993,20,2002-09-12,M844,0,,0,
09834993,21,2002-12-02,M844,0,,0,
09805732,1,2001-03-13,IEXX,0,,0,
09805732,2,2001-04-04,SCAN,0,,0,
09805732,3,2001-05-16,C.AD,0,,0,
09805732,4,2001-05-17,COMP,0,,0,
09805732,7,2001-07-23,M844,0,,0,
09805732,8,2001-07-23,RQPR,0,,0,
09805732,5,2001-09-12,OIPE,0,,0,
09805732,6,2002-01-25,DOCK,0,,0,
09805732,9,2002-10-15,DOCK,0,,0,
09805732,10,2002-11-18,CTNF,0,,0,
09805732,11,2002-11-20,MCTNF,191,PTO,-1,
09805732,12,2003-02-24,LTDR,0,,0,
09805732,13,2003-02-24,A...,4,APPL,11,
09805732,14,2003-03-06,FWDX,0,,0,
09805732,15,2003-05-05,CTFR,0,,0,
09805732,16,2003-05-07,MCTFR,0,,0,
09805732,17,2003-05-21,EXIN,0,,0,
09805732,18,2003-06-03,MEXIN,0,,0,
09805732,19,2003-06-16,A.NE,0,,0,
09805732,20,2003-06-24,FWDX,0,,0,
09805732,22,2003-06-27,N/=.,0,,0,
09805732,23,2003-07-01,MN/=.,0,,0,
10127376,1,2002-04-22,IEXX,0,,0,
