application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11257392,21,2008-05-28,A...,0,,0,
11257392,22,2008-06-21,FWDX,0,,0,
11257392,23,2008-08-21,DOCK,0,,0,
11257392,25,2008-09-06,N/=.,0,,0,
11257392,27,2008-09-09,DVER,0,,0,
11257392,29,2008-09-10,MN/=.,0,,0,
10761975,57,2008-07-17,DRWF,29,APPL,0,
10761975,61,2008-08-15,DRWF,47,APPL,0,
10761975,58,2008-08-19,IFEE,0,,0,
10761975,59,2008-08-19,N084,0,,0,
10761975,62,2008-08-20,PILS,0,,0,
10761975,63,2008-08-21,D1935,0,,0,
10761975,65,2008-09-30,PTAC,0,,0,
11524544,1,2006-09-20,IEXX,0,,0,
11524544,9,2006-09-20,A.PE,0,,0,
11524544,10,2006-09-20,C614,0,,0,
11524544,11,2006-09-20,WIDS,0,,0,
11524544,11.7,2006-09-20,M844,0,,0,
11524544,12,2006-09-20,RCAP,0,,0,
10722796,1,2003-11-25,IEXX,0,,0,
10722796,14,2003-11-25,WIDS,0,,0,
10722796,14.7,2003-11-25,M844,0,,0,
10722796,2,2004-01-19,SCAN,0,,0,
10722796,4,2004-02-09,L194,0,,0,
10722796,8,2004-04-29,OATHDECL,0,,0,
10722796,9,2004-04-29,ADDFLFEE,0,,0,
10722796,11,2004-05-11,OIPE,0,,0,
10722796,10,2004-05-12,COMP,0,,0,
10934812,72,2008-07-17,IFEE,0,,0,
10934812,73,2008-07-17,N084,0,,0,
10934812,74,2008-07-21,PILS,0,,0,
10934812,78,2008-07-21,TCPB,0,,0,
10934812,76,2008-07-29,M327,0,,0,
10934812,77,2008-07-29,MM327,0,,0,
10934812,80,2008-08-21,DRWF,41,APPL,0,
10934812,81,2008-08-27,D1935,0,,0,
10934812,84,2008-09-30,PTAC,0,,0,
11524544,16,2006-09-20,IDSC,0,,0,
11524544,2,2006-09-26,SCAN,0,,0,
11524544,3,2006-09-29,L194,0,,0,
11524544,4,2006-10-11,COMP,0,,0,
11524544,5,2006-10-11,OIPE,0,,0,
11524544,6,2006-10-11,ROIPE,0,,0,
11524544,8,2006-10-11,WROIPE,0,,0,
11524544,7,2006-10-12,COMP,0,,0,
11524544,13,2006-10-25,TSSCOMP,0,,0,
11524544,14,2006-10-27,DOCK,0,,0,
11524544,15,2007-01-18,PG-ISSUE,0,,0,
11524544,17,2007-01-22,CTNF,0,,0,
11524544,18,2007-01-29,MCTNF,0,,0,
11524544,19,2007-04-02,A...,0,,0,
11524544,20,2007-04-13,FWDX,0,,0,
11524544,21,2007-06-25,CTFR,0,,0,
11524544,22,2007-08-30,MCTFR,28,PTO,19,
11524544,23,2007-11-07,A.NE,0,,0,
11524544,24,2007-11-15,FWDX,0,,0,
11524544,25,2008-02-01,CTAV,0,,0,
11524544,26,2008-02-04,MCTAV,0,,0,
11524544,27,2008-03-03,XT/G,0,,0,
11524544,28,2008-03-03,N/AP,0,,0,
11524544,29,2008-03-03,AP.C,0,,0,
11524544,30,2008-06-18,APCR,0,,0,
11524544,31,2008-06-19,MAPCR,0,,0,
11524544,32,2008-06-19,FWDX,0,,0,
11524544,34,2008-09-08,DVER,0,,0,
11524544,36,2008-09-08,N/=.,0,,0,
11524544,37,2008-09-09,MN/=.,186,PTO,23,
10722796,12,2004-05-12,ROIPE,0,,0,
10722796,13,2004-05-12,WROIPE,0,,0,
10722796,18,2004-06-01,RCAP,0,,0,
10722796,15,2004-06-02,DOCK,0,,0,
10722796,16,2004-06-02,TSSCOMP,0,,0,
10722796,19,2005-06-16,CTNF,0,,0,
10722796,20,2005-06-20,MCTNF,146,PTO,-1,
10722796,21,2005-09-22,A...,2,APPL,20,
10722796,23,2005-09-22,DIST,0,APPL,21,
10722796,22,2005-09-28,FWDX,0,,0,
10722796,24,2005-10-03,P574,0,,0,
10722796,25,2005-11-17,CTFR,0,,0,
10722796,26,2005-11-21,MCTFR,0,,0,
10722796,27,2006-02-21,A.NE,0,,0,
10722796,28,2006-02-27,FWDX,0,,0,
10722796,29,2006-03-01,CTAV,0,,0,
10722796,30,2006-03-02,MCTAV,0,,0,
10722796,32,2006-04-27,XT/G,0,,0,
10722796,33,2006-04-27,N/AP,65,APPL,26,
10722796,34,2006-06-08,AP.B,0,,0,
10722796,35,2006-06-13,FWDX,0,,0,
10722796,36,2006-07-22,APEA,0,,0,
10722796,37,2006-07-27,MAPEA,0,,0,
10722796,38,2006-10-02,APRB,0,,0,
