application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
12048809,59,2010-11-17,IFEE,0,,0,
12048809,61,2010-11-19,PILS,0,,0,
12048809,62,2010-11-19,D1935,0,,0,
12048809,63,2010-11-19,D1935,0,,0,
12048809,65,2010-12-28,PTAC,0,,0,
12048809,65.5,2010-07-25,PTA36M,0,PTO,.5,
11947421,.5,2007-11-29,EFILE,0,,0,
11947421,41,2010-11-19,IFEE,0,,0,
11947421,42,2010-11-19,N084,0,,0,
11947421,43,2010-11-23,PILS,0,,0,
11947421,44,2010-11-23,D1935,0,,0,
11947421,45,2010-11-23,D1935,0,,0,
11947421,47,2010-12-28,PTAC,0,,0,
11947421,47.5,2010-12-28,PTA36M,29,PTO,.5,
10564073,70,2010-12-28,PTAC,0,,0,
10564073,70.5,2009-09-23,PTA36M,256,PTO,70.4,
10564073,70.4,2006-01-10,COMMN,0,,0,
11820556,20,2009-09-17,IDSC,0,,0,
11820556,22,2009-09-17,EIDS.,0,,0,
11820556,21,2009-10-26,CTRS,0,,0,
11820556,23,2009-10-30,MCTRS,436,PTO,.5,
11820556,24,2009-10-30,EML_NTF,0,,0,
11820556,26,2009-11-03,ELC_RVW,0,,0,
11820556,27,2009-11-17,WIDS,0,,0,
11820556,28,2009-11-17,ELC.,0,,0,
11820556,30,2009-11-17,EIDS.,0,APPL,28,
11820556,35,2009-11-17,IDSC,0,,0,
11820556,29,2009-11-19,FWDX,0,,0,
11820556,36,2010-02-01,CTNF,0,,0,
11820556,37,2010-02-05,MCTNF,0,,0,
11820556,38,2010-02-05,EML_NTF,0,,0,
11820556,39,2010-02-09,ELC_RVW,0,,0,
11820556,40,2010-05-05,A...,0,,0,
11820556,41,2010-05-18,FWDX,0,,0,
11820556,42,2010-07-28,WIDS,0,,0,
11820556,43,2010-07-28,EIDS.,84,APPL,40,
11820556,44,2010-07-28,IDSC,0,,0,
11820556,46,2010-08-04,DVER,0,,0,
11820556,48,2010-08-04,N/=.,0,,0,
11820556,49,2010-08-20,MN/=.,0,,0,
11820556,.5,2007-06-20,EFILE,0,,0,
11820556,54,2010-08-28,PST_CRD,0,,0,
11820556,57,2010-11-11,IFEE,0,,0,
11820556,58,2010-11-11,N084,0,,0,
11820556,60,2010-11-12,D1935,0,,0,
11820556,59,2010-11-12,PILS,0,,0,
11820556,63,2010-12-28,PTAC,0,,0,
