application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11963028,2,2007-12-29,SCAN,0,,0,
11963028,3,2008-01-09,L194,0,,0,
11963028,5,2008-01-25,COMP,0,,0,
11963028,6,2008-01-25,FLRCPT.O,0,,0,
11963028,7,2008-01-25,PGPC,0,,0,
11963028,8,2008-01-25,FLRCPT.O,0,,0,
11963028,9,2008-01-25,FLRCPT.O,0,,0,
11963028,10,2008-01-25,FLRCPT.O,0,,0,
11963028,11,2008-02-11,FLRCPT.C,0,,0,
11963028,12,2008-03-14,OIPE,0,,0,
11963028,13,2008-07-03,PG-ISSUE,0,,0,
11963028,15,2008-08-21,TSSCOMP,0,,0,
11963028,16,2008-08-27,WIDS,0,,0,
11963028,19,2008-08-27,M844,0,,0,
11963028,21,2008-08-27,IDSC,0,,0,
11963028,17,2008-09-12,DOCK,0,,0,
11963028,18,2008-09-15,C.ADB,0,,0,
11963028,20,2009-05-28,DOCK,0,,0,
11963028,26,2009-06-30,CTNF,0,,0,
11963028,27,2009-06-30,MCTNF,129,PTO,.5,
12436262,28,2010-10-28,N/=.,0,,0,
12436262,29,2010-10-28,DVER,0,,0,
12436262,31,2010-10-29,MN/=.,0,,0,
12436262,33,2010-11-12,PG-ISSUE,0,,0,
12436262,34,2010-11-15,BRCE,0,,0,
12436262,36,2010-11-15,RCEX,0,,0,
12436262,39,2010-11-15,M844,0,,0,
12436262,40,2010-11-15,RCAP,0,,0,
12436262,41,2010-11-15,WIDS,0,,0,
12436262,42,2010-11-15,IDSC,0,,0,
12436262,35,2010-11-16,ABN9,0,,0,
12436262,38,2010-11-16,FWDX,0,,0,
12436262,43,2010-11-22,CTNF,0,,0,
12436262,44,2010-11-26,MCTNF,0,,0,
12436262,46,2011-02-25,A...,0,,0,
12436262,47,2011-03-03,FWDX,0,,0,
12436262,49,2011-03-23,DVER,0,,0,
12436262,51,2011-03-23,N/=.,0,,0,
12436262,52,2011-03-24,MN/=.,0,,0,
12436262,.5,2009-05-06,EFILE,0,,0,
12436262,54,2011-05-24,A.NA,32,APPL,59,
12436262,55,2011-06-20,N271,0,,0,
12436262,57,2011-06-23,IFEE,0,,0,
12436262,58,2011-06-23,N084,0,,0,
12436262,60,2011-06-24,PILS,0,,0,
12436262,61,2011-06-24,D1935,0,,0,
12436262,59,2011-06-24,MN271,0,,0,
12436262,63,2011-08-02,PTAC,0,,0,
12436262,63.5,2010-11-14,PTA36M,0,PTO,.5,
11963028,28,2009-11-25,XT/G,0,,0,
11963028,29,2009-11-25,A...,56,APPL,27,
11963028,30,2010-01-06,FWDX,0,,0,
11963028,31,2010-02-25,CTFR,0,,0,
11963028,32,2010-02-26,MCTFR,0,,0,
11963028,33,2010-05-25,BRCE,0,,0,
11963028,35,2010-05-25,RCEX,0,,0,
11963028,34,2010-05-26,ABN9,0,,0,
11963028,37,2010-05-26,FWDX,0,,0,
11963028,38,2010-06-14,CTNF,0,,0,
11963028,39,2010-06-22,MCTNF,0,,0,
11963028,40,2010-09-21,A...,0,,0,
11963028,41,2010-09-23,FWDX,0,,0,
11963028,42,2010-10-06,DOCK,0,,0,
11963028,43,2010-11-03,CTNF,0,,0,
11963028,44,2010-11-04,MCTNF,0,,0,
11963028,45,2011-02-23,XT/G,0,,0,
11963028,46,2011-02-23,A...,19,APPL,44,
11963028,47,2011-03-02,FWDX,0,,0,
11963028,49,2011-03-25,DOCK,0,,0,
11963028,50,2011-03-25,N/=.,0,,0,
11963028,51,2011-03-25,DVER,0,,0,
11963028,53,2011-03-28,MN/=.,0,,0,
11963028,.5,2007-12-21,EFILE,0,,0,
11963028,57,2011-06-27,N084,0,,0,
11963028,56,2011-06-27,IFEE,0,,0,
11963028,58,2011-06-30,PILS,0,,0,
11963028,59,2011-06-30,D1935,0,,0,
11963028,61,2011-08-02,PTAC,0,,0,
11963028,61.5,2010-05-24,PTA36M,0,PTO,.5,
12476306,1,2009-06-02,IEXX,0,,0,
12476306,2,2009-06-02,SCAN,0,,0,
12476306,3,2009-06-02,L194,0,,0,
12476306,4,2009-06-02,WIDS,0,,0,
12476306,5,2009-06-02,PDREQUST,0,,0,
12476306,10,2009-06-02,EIDS.,0,,0,
12476306,15,2009-06-02,IDSC,0,,0,
12476306,6,2009-06-18,FLRCPT.O,0,,0,
12065930,1,2008-03-06,IEXX,0,,0,
12065930,2,2008-03-06,WIDS,0,,0,
12065930,8,2008-03-06,371COMP,0,,0,
12065930,12,2008-03-06,A.PE,0,,0,
12065930,13,2008-03-06,EIDS.,0,,0,
12065930,16,2008-03-06,IDSC,0,,0,
12065930,71,2008-03-06,RQPR,0,,0,
12065930,3,2008-03-09,SCAN,0,,0,
12065930,4,2008-03-09,L194,0,,0,
12065930,7,2009-02-11,PGPC,0,,0,
12065930,5,2009-02-12,FLRCPT.O,0,,0,
12065930,6,2009-02-12,M903,0,,0,
12476306,7,2009-06-18,PGPC,0,,0,
12476306,8,2009-07-13,OIPE,0,,0,
12476306,11,2009-07-15,RQPR,0,,0,
12476306,9,2009-12-10,PG-ISSUE,0,,0,
12476306,12,2010-04-22,DOCK,0,,0,
12476306,19,2011-05-21,EX.R,0,,0,
12476306,20,2011-05-23,DVER,0,,0,
12476306,21,2011-05-25,DOCK,0,,0,
12476306,22,2011-05-25,N/=.,0,,0,
12476306,27,2011-05-26,MN/=.,297,PTO,.5,
12476306,.5,2009-06-02,EFILE,0,,0,
12476306,30,2011-06-20,N084,0,,0,
12476306,29,2011-06-20,IFEE,0,,0,
12476306,31,2011-06-24,PILS,0,,0,
12476306,32,2011-06-28,D1935,0,,0,
12476306,35,2011-08-02,PTAC,0,,0,
12476306,35.5,2011-08-02,PTA36M,0,PTO,.5,
12065930,9,2009-02-12,EML_NTR,0,,0,
12065930,10,2009-02-12,EML_NTR,0,,0,
12065930,11,2009-03-03,OIPE,0,,0,
12065930,14,2009-03-25,TSSCOMP,0,,0,
12065930,15,2009-03-25,DOCK,0,,0,
12065930,17,2009-03-28,CTNF,0,,0,
12065930,18,2009-04-02,MCTNF,0,,0,
12065930,19,2009-04-02,EML_NTF,0,,0,
12065930,20,2009-04-03,ELC_RVW,0,,0,
12065930,21,2009-05-21,PG-ISSUE,0,,0,
12065930,22,2009-05-22,EML_NTR,0,,0,
12065930,23,2009-06-26,A...,0,,0,
12065930,24,2009-08-12,FWDX,0,,0,
12065930,25,2009-10-26,CTFR,0,,0,
12065930,26,2009-10-29,MCTFR,3,PTO,23,
12065930,27,2009-10-29,EML_NTF,0,,0,
12065930,28,2009-10-29,ELC_RVW,0,,0,
12065930,29,2009-12-10,A.NE,0,,0,
12065930,31,2009-12-10,DIST,0,APPL,29,
12065930,30,2009-12-11,FWDX,0,,0,
12065930,32,2010-01-04,P574,0,,0,
12065930,33,2010-01-07,CTNF,0,,0,
